GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2016,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.860528862393406
2016,CH4,Commercial,Accommodation and Food Services,Old,2.1697906773732947
2016,CH4,Commercial,Educational Services,Old,5.409325851350101
2016,CH4,Commercial,Health Care and Social Assistance,Old,3.356016370114723
2016,CH4,Commercial,Information and Cultural Industries,Old,0.28408562894157335
2016,CH4,Commercial,Offices,Old,18.8897125557304
2016,CH4,Commercial,Other Services,Old,2.2098757825467126
2016,CH4,Commercial,Retail Trade,Old,6.821763889864367
2016,CH4,Commercial,Transportation and Warehousing,Old,1.2123908633145337
2016,CH4,Commercial,Wholesale Trade,Old,4.320926434669182
2016,CH4,Industry,,,16.313422066254397
2016,CH4,Public,Hospital,Old,1.6868410149761242
2016,CH4,Public,Municipality,Old,1.4704795085352642
2016,CH4,Public,Post-Secondary Institution,Old,2.705839989695974
2016,CH4,Public,School board,Old,2.7875090419253934
2016,CH4,Residential,Apartments,Old,79.16925960923835
2016,CH4,Residential,Single Attached,Old,44.955078863478235
2016,CH4,Residential,Single Detached,Old,108.25620841999942
2016,CO2,Commercial,"Arts, Entertainment and Recreation",Old,95316.21759599149
2016,CO2,Commercial,Accommodation and Food Services,Old,111334.51792212439
2016,CO2,Commercial,Educational Services,Old,279350.65686614264
2016,CO2,Commercial,Health Care and Social Assistance,Old,172944.63811288378
2016,CO2,Commercial,Information and Cultural Industries,Old,14478.880501273405
2016,CO2,Commercial,Offices,Old,982460.3044237122
2016,CO2,Commercial,Other Services,Old,113317.46471003577
2016,CO2,Commercial,Retail Trade,Old,351396.01722678705
2016,CO2,Commercial,Transportation and Warehousing,Old,62180.84958708997
2016,CO2,Commercial,Wholesale Trade,Old,221505.54564304778
2016,CO2,Industry,,,822364.5261167932
2016,CO2,Public,Hospital,Old,93826.88303192725
2016,CO2,Public,Municipality,Old,74762.42404880289
2016,CO2,Public,Post-Secondary Institution,Old,139562.31906967994
2016,CO2,Public,School board,Old,141304.77165045278
2016,CO2,Residential,Apartments,Old,1346293.4781678668
2016,CO2,Residential,Single Attached,Old,714521.5510757854
2016,CO2,Residential,Single Detached,Old,1624345.237703703
2016,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,95954.78182916704
2016,CO2e,Commercial,Accommodation and Food Services,Old,112086.09465930934
2016,CO2e,Commercial,Educational Services,Old,281235.1855335371
2016,CO2e,Commercial,Health Care and Social Assistance,Old,174136.0422625842
2016,CO2e,Commercial,Information and Cultural Industries,Old,14577.354687948608
2016,CO2e,Commercial,Offices,Old,989999.489259551
2016,CO2e,Commercial,Other Services,Old,114061.50167597375
2016,CO2e,Commercial,Retail Trade,Old,353725.2293211999
2016,CO2e,Commercial,Transportation and Warehousing,Old,62609.052082236594
2016,CO2e,Commercial,Wholesale Trade,Old,223018.23601297478
2016,CO2e,Industry,,,827287.0281344744
2016,CO2e,Public,Hospital,Old,94349.29818661111
2016,CO2e,Public,Municipality,Old,75207.82847091854
2016,CO2e,Public,Post-Secondary Institution,Old,140387.34835856364
2016,CO2e,Public,School board,Old,142149.09683908644
2016,CO2e,Residential,Apartments,Old,1355475.6556537605
2016,CO2e,Residential,Single Attached,Old,719460.5591118565
2016,CO2e,Residential,Single Detached,Old,1635696.8503901402
2016,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.0117219029037487
2016,N2O,Commercial,Accommodation and Food Services,Old,2.369164875705044
2016,N2O,Commercial,Educational Services,Old,5.942727599047556
2016,N2O,Commercial,Health Care and Social Assistance,Old,3.7615027044559373
2016,N2O,Commercial,Information and Cultural Industries,Old,0.3104308337833175
2016,N2O,Commercial,Offices,Old,23.968123732109216
2016,N2O,Commercial,Other Services,Old,2.3410388406191665
2016,N2O,Commercial,Retail Trade,Old,7.3354196400188
2016,N2O,Commercial,Transportation and Warehousing,Old,1.3514841846207564
