"Transportation sector GHG emissions per subsector, per end use (metric ton)"
t_periods,emissions_comm,Sub,Mode,Tech_type_1,Tech_type_2,Name,Emisions
2016,CO2,Passenger,Road,Truck,Passenger Light Trucks,Paid Ridershare,15889.538272018006
2016,CO2,Passenger,Road,Truck,Passenger Light Trucks,Taxi passenger,8712.533205849319
2016,CO2,Public,Marine,___,___,Fleet Services,4.360912519601053
2016,CO2,Public,Marine,___,___,Police Services,0.8312764414517555
2016,CO2,Public,Road,Inter-city Buses,Urban Bus ,Police Services,41.2991269945904
2016,CO2,Public,Road,Cars,___,Fleet Services,467.8018587798859
2016,CO2,Public,Road,Cars,___,Police Services,12020.609015044924
2016,CO2,Public,Road,Cars,___,Toronto Housing Company,2340.6921914981485
2016,CO2,Public,Road,Motorcycles,___,Police Services,33.27800513952078
2016,CO2,Public,Road,Truck,Heavy Trucks,Fleet Services,22070.510629606903
2016,CO2,Public,Road,Truck,Passenger Light Trucks,Fleet Services,27964.046112670283
2016,CO2,Public,Road,Truck,Passenger Light Trucks,Police Services,7872.526670355748
2016,CO2,Public,Road,Truck,Passenger Light Trucks,Toronto Housing Company,1679.7719139367623
2016,CO2,Public,Road,Truck,Medium Trucks,Fleet Services,7072.160213840729
2016,CO2,Public,Road,Truck,Medium Trucks,Police Services,817.7077145878548
2016,CO2,Public,Road,Truck,Medium Trucks,Toronto Housing Company,1072.2363863829753
2016,CO2e,Freight Transportation,Air,___,___,,2111.66816908668
2016,CO2e,Freight Transportation,Marine,___,___,,11169.92521342433
2016,CO2e,Freight Transportation,Rail,___,___,,48374.63745745713
2016,CO2e,Freight Transportation,Road,Truck,Heavy Trucks,,256065.39998931123
2016,CO2e,Freight Transportation,Road,Truck,Passenger Light Trucks,,1079319.3789663152
2016,CO2e,Freight Transportation,Road,Truck,Medium Trucks,,332277.11505119316
2016,CO2e,Long Distance,Air,___,___,,102981.02592080805
2016,CO2e,Long Distance,Rail,___,___,,75117.06194135798
2016,CO2e,Passenger,Rail,Regional,___,GO rail,119291.92673893484
2016,CO2e,Passenger,Rail,Regional,___,Up Express,5115.336531889743
2016,CO2e,Passenger,Rail,Subway,___,Subway,34922.290040080785
2016,CO2e,Passenger,Rail,Tramway,___,Streetcar,5424.325236939036
2016,CO2e,Passenger,Road,Inter-city Buses,Inter Urban Bus,Durham RT,219.2939652794971
2016,CO2e,Passenger,Road,Inter-city Buses,Inter Urban Bus,Go Bus,2783.093538140498
2016,CO2e,Passenger,Road,Inter-city Buses,Inter Urban Bus,Miway Bus,2464.5094141592554
2016,CO2e,Passenger,Road,Inter-city Buses,Inter Urban Bus,Viva Bus,344.5579899496402
2016,CO2e,Passenger,Road,Inter-city Buses,School Bus,___,5265.903351653569
2016,CO2e,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Bus,239553.54664779897
2016,CO2e,Passenger,Road,Inter-city Buses,Urban Bus ,TTC Wheel trans para,22841.95598296431
2016,CO2e,Passenger,Road,Cars,___,Auto driver,1630969.1264267878
2016,CO2e,Passenger,Road,Cars,___,Auto passenger,206590.93774392697
2016,CO2e,Passenger,Road,Cars,___,Paid Ridershare,12977.203542131443
2016,CO2e,Passenger,Road,Cars,___,Taxi passenger,22047.157561138243
2016,CO2e,Passenger,Road,Motorcycles,___,___,5350.577424289835
2016,CO2e,Passenger,Road,Truck,Passenger Light Trucks,Auto driver,2019736.6072935155
