GHG emissions per sector per period (metric ton)
t_periods,emissions_comm,main_sector,Emisions
2016,CH4,Building,303.8790554304015
2016,CH4,Energy,7.53053756485901
2016,CH4,Transportation,557.9413718682297
2016,CH4,Waste,67258.08766224922
2016,CO2,Building,7361266.283454096
2016,CO2,Energy,365047.8966574464
2016,CO2,Transportation,6475092.7518970305
2016,CO2,Waste,115443.0454353268
2016,CO2e,Building,7411416.632469901
2016,CO2e,Energy,1459534.9430630044
2016,CO2e,Transportation,6608568.504293843
2016,CO2e,Waste,1494223.1287571997
2016,N2O,Building,146.8754659454868
2016,N2O,Energy,7.123481480272038
2016,N2O,Transportation,225.34303956868362
2016,N2O,Waste,147.7455938439726
2017,CH4,Building,327.67471330632054
2017,CH4,Energy,6.891876953402644
2017,CH4,Transportation,558.8529284259228
2017,CH4,Waste,64937.41186562546
2017,CO2,Building,7384680.793538737
2017,CO2,Energy,334088.39198971586
2017,CO2,Transportation,6311913.201751013
2017,CO2,Waste,116336.88987514269
2017,CO2e,Building,7435493.425271658
2017,CO2e,Energy,1438644.7263501212
2017,CO2e,Transportation,6443700.248367063
2017,CO2e,Waste,1447466.8524131044
2017,N2O,Building,147.421015951357
2017,N2O,Energy,6.519343064029528
2017,N2O,Transportation,219.49249072931818
2017,N2O,Waste,153.52409897384703
2018,CH4,Building,1044.730755674059
2018,CH4,Energy,7.726769002214894
2018,CH4,Transportation,560.7295230700505
2018,CH4,Waste,62707.762382118366
2018,CO2,Building,7445660.383672073
2018,CO2,Energy,374560.3481721615
2018,CO2,Transportation,6326636.033608294
2018,CO2,Waste,117272.5191655862
2018,CO2e,Building,7514867.008560363
2018,CO2e,Energy,1494529.4487627218
2018,CO2e,Transportation,6459084.7822347265
2018,CO2e,Waste,1401769.5365062223
2018,N2O,Building,158.61503026555252
2018,N2O,Energy,7.309105812905983
2018,N2O,Transportation,221.58811122906695
2018,N2O,Waste,156.2669651400083
2019,CH4,Building,1101.5310540086623
2019,CH4,Energy,7.762434798933903
2019,CH4,Transportation,562.8451972679143
2019,CH4,Waste,60612.554339477196
2019,CO2,Building,7525391.738786641
2019,CO2,Energy,376289.2717666397
2019,CO2,Transportation,6360761.792874737
2019,CO2,Waste,118259.07622582334
2019,CO2e,Building,7596316.25012495
2019,CO2e,Energy,1502246.8714311814
2019,CO2e,Transportation,6493839.221164155
2019,CO2e,Waste,1357293.7776980342
2019,N2O,Building,160.37704430913377
2019,N2O,Energy,7.342843728721261
2019,N2O,Transportation,223.55423706380182
2019,N2O,Waste,153.54798126692626
2020,CH4,Building,1157.3564821920431
2020,CH4,Energy,7.798636426623038
2020,CH4,Transportation,520.0830859299577
2020,CH4,Waste,58537.28266067595
2020,CO2,Building,7568448.889791847
2020,CO2,Energy,378044.1701294293
2020,CO2,Transportation,6169663.913588069
2020,CO2,Waste,119198.93115761445
2020,CO2e,Building,7641013.159517822
2020,CO2e,Energy,1498194.9196538604
2020,CO2e,Transportation,6289574.2463469235
2020,CO2e,Waste,1314745.731626397
2020,N2O,Building,161.94558255008587
2020,N2O,Energy,7.377088511670443
2020,N2O,Transportation,228.25618623082892
2020,N2O,Waste,155.9922588751107
2021,CH4,Building,1200.8961361924564
2021,CH4,Energy,7.839476319958154
2021,CH4,Transportation,517.5431284502413
2021,CH4,Waste,56500.94309237275
2021,CO2,Building,7587690.16626027
2021,CO2,Energy,380023.9115533824
2021,CO2,Transportation,6386577.387652842
2021,CO2,Waste,120127.50117191873
2021,CO2e,Building,7661467.471256625
2021,CO2e,Energy,1387030.4153276368
2021,CO2e,Transportation,6497853.834548292
2021,CO2e,Waste,1270853.124334562
2021,N2O,Building,162.94794005473793
2021,N2O,Energy,7.415720843203662
2021,N2O,Transportation,199.47135136718913
2021,N2O,Waste,151.17685047603553
2022,CH4,Building,1243.887540708545
2022,CH4,Energy,8.093170647935915
2022,CH4,Transportation,518.2507095571154
2022,CH4,Waste,54581.87153782003
2022,CO2,Building,7580148.866069098
2022,CO2,Energy,392321.9155171937
2022,CO2,Transportation,6405462.378420099
2022,CO2,Waste,120792.61868087093
2022,CO2e,Building,7654850.95179986
2022,CO2e,Energy,1490305.8638461668
2022,CO2e,Transportation,6515130.459320397
2022,CO2e,Waste,1231057.2380333077
2022,N2O,Building,163.02163548954755
2022,N2O,Energy,7.655701964263708
2022,N2O,Transportation,194.16260119990943
2022,N2O,Waste,152.1602945071728
2023,CH4,Building,1114.5969435825007
2023,CH4,Energy,4.509000437814108
2023,CH4,Transportation,546.036165082821
2023,CH4,Waste,52441.42321184014
2023,CO2,Building,6927494.847337421
2023,CO2,Energy,218572.6808940587
2023,CO2,Transportation,6478216.8939984655
2023,CO2,Waste,121139.67123961021
2023,CO2e,Building,6995482.423966401
2023,CO2e,Energy,1684423.407908232
2023,CO2e,Transportation,6594883.009221345
2023,CO2e,Waste,1189518.7439854736
2023,N2O,Building,149.6008080998502
2023,N2O,Energy,4.265270684418757
2023,N2O,Transportation,215.46178402089933
2023,N2O,Waste,159.65629160404626
2024,CH4,Building,1004.08614958381
2024,CH4,Energy,7.180496008315018
2024,CH4,Transportation,559.6145674080136
2024,CH4,Waste,49943.75269003468
2024,CO2,Building,6377775.257259955
2024,CO2,Energy,343890.8550226817
2024,CO2,Transportation,6564654.538499901
2024,CO2,Waste,121886.10550544425
2024,CO2e,Building,6439908.131938793
2024,CO2e,Energy,1678664.4734741654
2024,CO2e,Transportation,6691142.494024977
2024,CO2e,Waste,1134230.7066125595
2024,N2O,Building,137.74183066305326
2024,N2O,Energy,6.792361088946645
