"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2017,N2O,Industry,Space Heating,0.8080082882067698
2017,N2O,Industry,Water Heating,3.115001696143261
2017,N2O,Public,Auxiliary Equipment,0.345400173032015
2017,N2O,Public,Space Cooling,0.2031247346745384
2017,N2O,Public,Space Heating,6.8153355903464865
2017,N2O,Public,Water Heating,0.9658457274492706
2017,N2O,Residential,Clothe Dryer,0.12462108203625734
2017,N2O,Residential,Range,0.08450479800270615
2017,N2O,Residential,Space Heating,54.12442230557309
2017,N2O,Residential,Water Heating,15.238738591651305
2018,CH4,Commercial,Auxiliary Equipment,4.387215014955972
2018,CH4,Commercial,Space Cooling,0.13528769800313145
2018,CH4,Commercial,Space Heating,35.53758157335129
2018,CH4,Commercial,Water Heating,5.988543955834733
2018,CH4,Industry,Industrial Processes,12.626129166027733
2018,CH4,Industry,Space Cooling,0.028702310182683138
2018,CH4,Industry,Space Heating,0.7664062030219618
2018,CH4,Industry,Water Heating,2.9300419363633092
2018,CH4,Public,Auxiliary Equipment,0.36737931544716296
2018,CH4,Public,Space Cooling,0.2759932825508379
2018,CH4,Public,Space Heating,7.2001884335392266
2018,CH4,Public,Water Heating,0.9709156558162144
2018,CH4,Residential,Clothe Dryer,0.08778662967641632
2018,CH4,Residential,Range,0.08933602293498932
2018,CH4,Residential,Space Heating,210.71440410043806
2018,CH4,Residential,Water Heating,762.624844375914
2018,CO2,Commercial,Auxiliary Equipment,245111.18645710556
2018,CO2,Commercial,Space Cooling,6315.246256193523
2018,CO2,Commercial,Space Heating,1817044.3340264151
2018,CO2,Commercial,Water Heating,305156.8121683607
2018,CO2,Industry,Industrial Processes,629786.3799227129
2018,CO2,Industry,Space Cooling,1464.593557429885
2018,CO2,Industry,Space Heating,40418.50629997663
2018,CO2,Industry,Water Heating,152603.45681594333
2018,CO2,Public,Auxiliary Equipment,18626.127914733446
2018,CO2,Public,Space Cooling,10747.682366732839
2018,CO2,Public,Space Heating,376470.29975761095
2018,CO2,Public,Water Heating,47760.6983343179
2018,CO2,Residential,Clothe Dryer,4479.49072511011
2018,CO2,Residential,Range,4558.551656790808
2018,CO2,Residential,Space Heating,2841714.875015463
2018,CO2,Residential,Water Heating,943402.142397176
2018,CO2e,Commercial,Auxiliary Equipment,248391.1968105111
2018,CO2e,Commercial,Space Cooling,6356.2238007534
2018,CO2e,Commercial,Space Heating,1828856.314833546
