regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2035,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2035,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2035,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2035,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2036,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2036,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2036,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2036,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2037,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2037,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2037,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2037,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2038,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2038,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2038,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2038,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2039,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2039,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2039,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2039,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2040,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2040,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2040,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2040,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2041,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2041,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2041,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2041,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2042,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2042,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2042,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2042,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2043,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2043,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2043,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2043,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2044,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2044,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2044,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2044,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2045,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2045,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2045,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2045,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2046,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2046,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2046,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2046,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2047,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2047,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2047,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2047,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2048,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2048,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2048,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2048,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2049,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2049,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2049,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2049,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
TO,2050,ADEMSLDWASGRBDR,SLDWASGRB,0.0,
TO,2050,ADEMSLDWASGRBDF,SLDWASGRB,0.0,
TO,2050,ADEMSLDWASGRBCP,SLDWASGRB,0.0,
TO,2050,ADEMSLDWASLDFGL,SLDWASLDFGL,1.0,
