regions,periods,input_comm,tech,TIS,ti_split_notes
TO,2025,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2026,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2026,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2026,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2026,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2026,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2026,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2026,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2026,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2026,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2026,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2026,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2026,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2026,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2026,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2027,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2027,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2027,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2027,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2027,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2027,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
TO,2027,ADEMWATWASWWHB,WATWASSTPWW,0.26,WaterWasteSplit Treatment PlantWaste water
TO,2027,ADEMWATWASWWNT,WATWASSTPWW,0.02,WaterWasteSplit Treatment PlantWaste water
TO,2027,ADEMWATWASPUMFW,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2027,WATWASELC,WATWASPUMFW,0.50,WaterWastePumpFresh water
TO,2027,ADEMWATWASFWRCH,WATWASSTPFW,0.25,WaterWasteSplit Treatment PlantFresh water
TO,2027,ADEMWATWASFWFJH,WATWASSTPFW,0.24,WaterWasteSplit Treatment PlantFresh water
TO,2027,ADEMWATWASFWRLC,WATWASSTPFW,0.29,WaterWasteSplit Treatment PlantFresh water
TO,2027,ADEMWATWASFWISD,WATWASSTPFW,0.21,WaterWasteSplit Treatment PlantFresh water
TO,2028,ADEMWATWASFWWW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2028,ADEMWATWASFWFW,WATWASFWSPL,0.50,WaterWasteSplitFresh water
TO,2028,ADEMWATWASPUMWW,WATWASPUMWW,0.97,WaterWastePumpWaste water
TO,2028,WATWASELC,WATWASPUMWW,0.03,WaterWastePumpWaste water
TO,2028,ADEMWATWASWWAB,WATWASSTPWW,0.56,WaterWasteSplit Treatment PlantWaste water
TO,2028,ADEMWATWASWWHC,WATWASSTPWW,0.16,WaterWasteSplit Treatment PlantWaste water
