comm_name,flag,comm_desc
SEECOMBDGDCOCWP,p,Secondary EnergyCommercialBuildingDistrict CoolingStorageInput Pipe
SEECOMBDGDCOCWPP,p,Secondary EnergyCommercialBuildingDistrict CoolingStorageOutput Pipe
SEECOMBDGDCOCWST,p,Secondary EnergyCommercialBuildingDistrict CoolingStorageHot Tank Storage
SEECOMBDGDHEHWC,p,Secondary EnergyCommercialBuildingDistrict HeatingHot Water Consumption
SEECOMBDGDHEHWP,p,Secondary EnergyCommercialBuildingDistrict HeatingInput Pipe
SEECOMBDGDHEHWPP,p,Secondary EnergyCommercialBuildingDistrict HeatingOutput Pipe
SEECOMBDGDHEHWSP,p,Secondary EnergyCommercialBuildingDistrict HeatingHot Pit Storage
SEECOMBDGDHEHWST,p,Secondary EnergyCommercialBuildingDistrict HeatingHot Tank Storage
SEECOMBDGDHEPRDGTULARMNGA,p,Secondary EnergyCommercialBuildingDistrict HeatingProductionGas TurbineLarge
SEECOMBDGDHEPRDGTUMEDMNGA,p,Secondary EnergyCommercialBuildingDistrict HeatingProductionGas TurbineMedium
SEECOMBDGDHEPRDGTUSMAMNGA,p,Secondary EnergyCommercialBuildingDistrict HeatingProductionGas TurbineSmall
SEECOMBDGDHEPRDICELARMNGA,p,Secondary EnergyCommercialBuildingDistrict HeatingProductionInternal Combustion EngineLarge
SEECOMBDGDHEPRDICEMEDMNGA,p,Secondary EnergyCommercialBuildingDistrict HeatingProductionInternal Combustion EngineMedium
SEECOMBDGDHEPRDICESMAMNGA,p,Secondary EnergyCommercialBuildingDistrict HeatingProductionInternal Combustion EngineSmall
SEEINDBDGDCOCWP,p,Secondary EnergyIndustrialBuildingDistrict CoolingStorageInput Pipe
SEEINDBDGDCOCWPP,p,Secondary EnergyIndustrialBuildingDistrict CoolingStorageOutput Pipe
SEEINDBDGDCOCWST,p,Secondary EnergyIndustrialBuildingDistrict CoolingStorageHot Tank Storage
SEEINDBDGDHEHWC,p,Secondary EnergyIndustrialBuildingDistrict HeatingHot Water Consumption
SEEINDBDGDHEHWP,p,Secondary EnergyIndustrialBuildingDistrict HeatingInput Pipe
SEEINDBDGDHEHWPP,p,Secondary EnergyIndustrialBuildingDistrict HeatingOutput Pipe
SEEINDBDGDHEHWSP,p,Secondary EnergyIndustrialBuildingDistrict HeatingHot Pit Storage
SEEINDBDGDHEHWST,p,Secondary EnergyIndustrialBuildingDistrict HeatingHot Tank Storage
SEEINDBDGDHEPRDGTULARMNGA,p,Secondary EnergyIndustrialBuildingDistrict HeatingProductionGas TurbineLarge
SEEINDBDGDHEPRDGTUMEDMNGA,p,Secondary EnergyIndustrialBuildingDistrict HeatingProductionGas TurbineMedium
SEEINDBDGDHEPRDGTUSMAMNGA,p,Secondary EnergyIndustrialBuildingDistrict HeatingProductionGas TurbineSmall
SEEINDBDGDHEPRDICELARMNGA,p,Secondary EnergyIndustrialBuildingDistrict HeatingProductionInternal Combustion EngineLarge
SEEINDBDGDHEPRDICEMEDMNGA,p,Secondary EnergyIndustrialBuildingDistrict HeatingProductionInternal Combustion EngineMedium
SEEINDBDGDHEPRDICESMAMNGA,p,Secondary EnergyIndustrialBuildingDistrict HeatingProductionInternal Combustion EngineSmall
SEEPUBBDGDCOCWP,p,Secondary EnergyPublicBuildingDistrict CoolingStorageInput Pipe
SEEPUBBDGDCOCWPP,p,Secondary EnergyPublicBuildingDistrict CoolingStorageOutput Pipe
SEEPUBBDGDCOCWST,p,Secondary EnergyPublicBuildingDistrict CoolingStorageHot Tank Storage
SEEPUBBDGDHEHWC,p,Secondary EnergyPublicBuildingDistrict HeatingHot Water Consumption
SEEPUBBDGDHEHWP,p,Secondary EnergyPublicBuildingDistrict HeatingInput Pipe
SEEPUBBDGDHEHWPP,p,Secondary EnergyPublicBuildingDistrict HeatingOutput Pipe
SEEPUBBDGDHEHWSP,p,Secondary EnergyPublicBuildingDistrict HeatingHot Pit Storage
SEEPUBBDGDHEHWST,p,Secondary EnergyPublicBuildingDistrict HeatingHot Tank Storage
SEEPUBBDGDHEPRDGTULARMNGA,p,Secondary EnergyPublicBuildingDistrict HeatingProductionGas TurbineLarge
SEEPUBBDGDHEPRDGTUMEDMNGA,p,Secondary EnergyPublicBuildingDistrict HeatingProductionGas TurbineMedium
SEEPUBBDGDHEPRDGTUSMAMNGA,p,Secondary EnergyPublicBuildingDistrict HeatingProductionGas TurbineSmall
SEEPUBBDGDHEPRDICELARMNGA,p,Secondary EnergyPublicBuildingDistrict HeatingProductionInternal Combustion EngineLarge
SEEPUBBDGDHEPRDICEMEDMNGA,p,Secondary EnergyPublicBuildingDistrict HeatingProductionInternal Combustion EngineMedium
SEEPUBBDGDHEPRDICESMAMNGA,p,Secondary EnergyPublicBuildingDistrict HeatingProductionInternal Combustion EngineSmall
SEERESBDGDCOCWP,p,Secondary EnergyResidentialBuildingDistrict CoolingStorageInput Pipe
SEERESBDGDCOCWPP,p,Secondary EnergyResidentialBuildingDistrict CoolingStorageOutput Pipe
SEERESBDGDCOCWST,p,Secondary EnergyResidentialBuildingDistrict CoolingStorageHot Tank Storage
SEERESBDGDHEHWC,p,Secondary EnergyResidentialBuildingDistrict HeatingHot Water Consumption
SEERESBDGDHEHWP,p,Secondary EnergyResidentialBuildingDistrict HeatingInput Pipe
SEERESBDGDHEHWPP,p,Secondary EnergyResidentialBuildingDistrict HeatingOutput Pipe
SEERESBDGDHEHWSP,p,Secondary EnergyResidentialBuildingDistrict HeatingHot Pit Storage
SEERESBDGDHEHWST,p,Secondary EnergyResidentialBuildingDistrict HeatingHot Tank Storage
SEERESBDGDHEPRDGTULARMNGA,p,Secondary EnergyResidentialBuildingDistrict HeatingProductionGas TurbineLarge
