regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,RESBDGELC,RESBDGDCOPRDDLAENWELC_EX,2015,SEERESBDGDCOCWP,1.0,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,RESBDGETHOS,RESBDGDCOPRDDLAENWELC_EX,2015,SEERESBDGDCOCWP,1.0,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,SEERESBDGDCOCWP,RESBDGDCOSTGHTSMEDCW_EX,2015,SEERESBDGDCOCWST,0.98,ResidentialBuildingDistrict CoolingStorageHot Tank StorageMedium
TO,SEERESBDGDHEHWP,RESBDGDHEAVGPIP___HW_EX,2015,SEERESBDGDHEHWPP,0.9,ResidentialBuildingDistrict HeatingToronto AveragePipe
TO,SEERESBDGDHEHWPP,RESBDGDHEAVGSUB___HW_EX,2015,RESBDGDHE,1.02,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,RESBDGELC,RESBDGDHEAVGSUB___HW_EX,2015,RESBDGDHE,1.02,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,SEERESBDGDHEHWPP,RESBDGDHEAVGSUB___HW_EX,2015,SEERESBDGDHEHWC,1.02,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,RESBDGELC,RESBDGDHEAVGSUB___HW_EX,2015,SEERESBDGDHEHWC,1.02,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,RESBDGNGA,RESBDGDHEPRDBOILARNGA_EX,2015,SEERESBDGDHEHWP,0.97,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,RESBDGBMTN,RESBDGDHEPRDBOILARNGA_EX,2015,SEERESBDGDHEHWP,0.97,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,RESBDGSGA,RESBDGDHEPRDBOILARNGA_EX,2015,SEERESBDGDHEHWP,0.97,ResidentialBuildingDistrict HeatingProductionBoilerLarge
