regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2016,SEECOMBDGDCOCWPP,COMBDGDCOAVGSUB___CW_EX,0.9705882352941176,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2016,COMBDGELC,COMBDGDCOAVGSUB___CW_EX,0.029411764705882353,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2016,COMBDGELC,COMBDGDCOPRDDLAENWELC_EX,0.985,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2016,COMBDGETHOS,COMBDGDCOPRDDLAENWELC_EX,0.015,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2016,SEECOMBDGDHEHWP,COMBDGDCOPRDHEPLARHWP_EX,0.985,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2016,COMBDGELC,COMBDGDCOPRDHEPLARHWP_EX,0.015,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2016,SEECOMBDGDHEHWPP,COMBDGDHEAVGSUB___HW_EX,0.9705882352941176,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2016,COMBDGELC,COMBDGDHEAVGSUB___HW_EX,0.029411764705882353,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2016,COMBDGNGA,COMBDGDHEPRDBOILARNGA_EX,0.95,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2016,COMBDGBMTN,COMBDGDHEPRDBOILARNGA_EX,0.05,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2016,PUBBDGELC,PUBBDGDCOAVGSUB___CW_EX,0.9705882352941176,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,2016,SEEPUBBDGDCOCWPP,PUBBDGDCOAVGSUB___CW_EX,0.029411764705882353,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,2016,SEEPUBBDGDHEHWP,PUBBDGDCOPRDHEPMEDHWP_EX,0.985,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2016,PUBBDGELC,PUBBDGDCOPRDHEPMEDHWP_EX,0.015,PublicBuildingDistrict CoolingProductionHeat PumpMedium
TO,2016,SEEPUBBDGDHEHWPP,PUBBDGDHEAVGSUB___HW_EX,0.9705882352941176,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,2016,PUBBDGELC,PUBBDGDHEAVGSUB___HW_EX,0.029411764705882353,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,2016,PUBBDGNGA,PUBBDGDHEPRDBOILARNGA_EX,0.95,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,2016,PUBBDGBMTN,PUBBDGDHEPRDBOILARNGA_EX,0.05,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,2016,SEERESBDGDCOCWPP,RESBDGDCOAVGSUB___CW_EX,0.9705882352941176,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,2016,RESBDGELC,RESBDGDCOAVGSUB___CW_EX,0.029411764705882353,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,2016,RESBDGELC,RESBDGDCOPRDDLAENWELC_EX,0.985,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2016,RESBDGETHOS,RESBDGDCOPRDDLAENWELC_EX,0.015,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2016,SEERESBDGDHEHWP,RESBDGDCOPRDHEPLARHWP_EX,0.985,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2016,RESBDGELC,RESBDGDCOPRDHEPLARHWP_EX,0.015,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2016,SEERESBDGDHEHWPP,RESBDGDHEAVGSUB___HW_EX,0.9705882352941176,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,2016,RESBDGELC,RESBDGDHEAVGSUB___HW_EX,0.029411764705882353,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,2016,RESBDGNGA,RESBDGDHEPRDBOILARNGA_EX,0.95,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,2016,RESBDGBMTN,RESBDGDHEPRDBOILARNGA_EX,0.05,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,2017,SEECOMBDGDCOCWPP,COMBDGDCOAVGSUB___CW_EX,0.9705882352941176,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2017,COMBDGELC,COMBDGDCOAVGSUB___CW_EX,0.029411764705882353,CommercialBuildingDistrict CoolingToronto AverageSubstation
TO,2017,COMBDGELC,COMBDGDCOPRDDLAENWELC_EX,0.985,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2017,COMBDGETHOS,COMBDGDCOPRDDLAENWELC_EX,0.015,CommercialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2017,SEECOMBDGDHEHWP,COMBDGDCOPRDHEPLARHWP_EX,0.985,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2017,COMBDGELC,COMBDGDCOPRDHEPLARHWP_EX,0.015,CommercialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2017,SEECOMBDGDHEHWPP,COMBDGDHEAVGSUB___HW_EX,0.9705882352941176,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2017,COMBDGELC,COMBDGDHEAVGSUB___HW_EX,0.029411764705882353,CommercialBuildingDistrict HeatingToronto AverageSubstation
TO,2017,COMBDGNGA,COMBDGDHEPRDBOILARNGA_EX,0.95,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2017,COMBDGBMTN,COMBDGDHEPRDBOILARNGA_EX,0.05,CommercialBuildingDistrict HeatingProductionBoilerLarge
TO,2017,PUBBDGELC,PUBBDGDCOAVGSUB___CW_EX,0.9705882352941176,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,2017,SEEPUBBDGDCOCWPP,PUBBDGDCOAVGSUB___CW_EX,0.029411764705882353,PublicBuildingDistrict CoolingToronto AverageSubstation
TO,2017,SEEPUBBDGDHEHWP,PUBBDGDCOPRDHEPMEDHWP_EX,0.985,PublicBuildingDistrict CoolingProductionHeat PumpMedium
