"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,NewOld,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2016,Residential,Old,Other Appliances,Other,___,Electricity,Standard,TJ,3602.173435153556
2016,Residential,Old,Clothe Dryer,___,___,Electricity,Standard,TJ,1796.1095036844756
2016,Residential,Old,Clothe Dryer,___,___,Natural Gas,Standard,TJ,124.11453373497123
2016,Residential,Old,Clothe Washer,___,___,Electricity,Standard,TJ,93.31189304590369
2016,Residential,Old,Dish Washer,___,___,Electricity,Standard,TJ,125.65134630290495
2016,Residential,Old,Freezer,___,___,Electricity,Standard,TJ,339.7069067253861
2016,Residential,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,107.56670399802435
2016,Residential,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,786.8673704708024
2016,Residential,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,230.9026052584172
2016,Residential,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,741.626340806498
2016,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,3.4725008009799643
2016,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.4665563341104413
2016,Residential,Old,Range,___,___,Electricity,Standard,TJ,1389.598640833531
2016,Residential,Old,Range,___,___,Natural Gas,Standard,TJ,96.03530320132349
2016,Residential,Old,Refrigerator,___,___,Electricity,Standard,TJ,1067.9895107560596
2016,Residential,Old,Space Cooling,Central,___,Electricity,Standard,TJ,10210.878468687943
2016,Residential,Old,Space Cooling,Room,___,Electricity,Standard,TJ,612.8037823967679
2016,Residential,Old,Space Cooling,___,___,District Cooling,___,TJ,81.61875084968239
2016,Residential,Old,Space Heating,Furnace,___,Biomass,Standard,TJ,149.7412198681838
2016,Residential,Old,Space Heating,Furnace,___,Wood Pellet,Standard,TJ,0.1836200606314531
2016,Residential,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,0.16454219159062256
2016,Residential,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,581.0542000074963
2016,Residential,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,38570.57130584106
2016,Residential,Old,Space Heating,Furnace,___,Natural Gas,Medium,TJ,12389.79992066543
2016,Residential,Old,Space Heating,Furnace,___,Propane,Standard,TJ,0.18462141550480007
2016,Residential,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,3919.990003166414
2016,Residential,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,1975.8399655454714
2016,Residential,Old,Space Heating,___,___,District Heating,___,TJ,78.42512987500702
2016,Residential,Old,Water Heating,___,___,Biomass,Standard,TJ,4.808181642464963
2016,Residential,Old,Water Heating,___,___,Wood Pellet,Standard,TJ,5.0040969273174944
2016,Residential,Old,Water Heating,___,___,District Heating,___,TJ,952.5303214013668
2016,Residential,Old,Water Heating,___,___,Electricity,Standard,TJ,767.5498413845374
2016,Residential,Old,Water Heating,___,___,Kerosene,Standard,TJ,4.741154591844656
2016,Residential,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,91.46785898987592
2016,Residential,Old,Water Heating,___,___,Natural Gas,Standard,TJ,15642.381603109383
2016,Residential,Old,Water Heating,___,___,Propane,Standard,TJ,4.934188033358805
2017,Commercial,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,17311.0393222522
2017,Commercial,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,1731.0086918435168
2017,Commercial,Old,Auxiliary Equipment,___,___,Propane,Standard,TJ,964.2445836199105
2017,Commercial,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,2166.9316962292437
2017,Commercial,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,1316.892067417319
2017,Commercial,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,9665.65763845957
2017,Commercial,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2828.5315885891146
2017,Commercial,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9082.69997128716
2017,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,41.75947022058723
2017,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,54.81779482390614
2017,Commercial,Old,Space Cooling,___,___,District Cooling,___,TJ,1289.9444233880267
2017,Commercial,Old,Space Cooling,___,___,Electricity,Standard,TJ,9399.52114772024
2017,Commercial,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,436.78506797512074
2017,Commercial,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,1.4213428794545575
2017,Commercial,Old,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,2.3526393166474113
2017,Commercial,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,2.3527652014520397
2017,Commercial,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,160.77491885185026
2017,Commercial,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,5.757396734127768
2017,Commercial,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,30062.326936149577
2017,Commercial,Old,Space Heating,Furnace,___,Propane,Standard,TJ,651.6529293729294
2017,Commercial,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,454.91571759090425
2017,Commercial,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,1440.9426607679402
2017,Commercial,Old,Space Heating,___,___,District Heating,___,TJ,2819.72162627707
2017,Commercial,Old,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1463.7223425002253
2017,Commercial,Old,Water Heating,___,___,District Heating,___,TJ,452.1578289331142
2017,Commercial,Old,Water Heating,___,___,Electricity,Standard,TJ,246.6588712273564
2017,Commercial,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,4.8291118334783825
2017,Commercial,Old,Water Heating,___,___,Kerosene,Standard,TJ,4.829277155443758
2017,Commercial,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,187.37950124581045
2017,Commercial,Old,Water Heating,___,___,Natural Gas,Standard,TJ,4924.171827671167
2017,Commercial,Old,Water Heating,___,___,Propane,Standard,TJ,69.25420717761372
2017,Industry,,Industrial Processes,Self produced,,Mix Energy,,TJ,30563.234632277505
2017,Industry,,Lighting,Self produced,,Mix Energy,,TJ,650.2815879189868
2017,Industry,,Space Cooling,Self produced,,Mix Energy,,TJ,1408.943440491139
2017,Industry,,Space Heating,Self produced,,Mix Energy,,TJ,1560.6758110715834
2017,Industry,,Water Heating,Self produced,,Mix Energy,,TJ,4083.768372199059
2017,Public,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2026.0825360310773
2017,Public,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,250.34914044833437
2017,Public,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,511.1520526913652
2017,Public,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.04752524498251
2017,Public,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,633.4411112775325
2017,Public,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,185.58738460080042
2017,Public,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,595.5008388081897
2017,Public,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.764152115012894
2017,Public,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.5185083189095208
2017,Public,Old,Space Cooling,___,___,District Cooling,___,TJ,247.2137765565056
2017,Public,Old,Space Cooling,___,___,Electricity,Standard,TJ,4183.187534341057
2017,Public,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,551.0032749925386
2017,Public,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,289.9054476287018
2017,Public,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,268.8316623064299
2017,Public,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,0.005472381131903249
2017,Public,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5834.348329734663
2017,Public,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,495.24822291666266
2017,Public,Old,Space Heating,___,___,District Heating,___,TJ,1495.6873897058551
2017,Public,Old,Water Heating,___,___,District Heating,___,TJ,304.67345134472276
2017,Public,Old,Water Heating,___,___,Electricity,Standard,TJ,10.086044072050566
2017,Public,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.6812016857940186
2017,Public,Old,Water Heating,___,___,Kerosene,Standard,TJ,0.6812017248112501
2017,Public,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,18.293756681428036
2017,Public,Old,Water Heating,___,___,Natural Gas,Standard,TJ,865.2700467157294
2017,Residential,Old,Other Appliances,Other,___,Electricity,Standard,TJ,3633.1511227027104
2017,Residential,Old,Clothe Dryer,___,___,Electricity,Standard,TJ,1812.6824652777645
2017,Residential,Old,Clothe Dryer,___,___,Natural Gas,Standard,TJ,124.05501252718533
2017,Residential,Old,Clothe Washer,___,___,Electricity,Standard,TJ,94.11435169289558
2017,Residential,Old,Dish Washer,___,___,Electricity,Standard,TJ,126.7319160576585
2017,Residential,Old,Freezer,___,___,Electricity,Standard,TJ,342.6283000841322
2017,Residential,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,97.2696720243621
2017,Residential,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,791.2171387199464
2017,Residential,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,229.60746995015853
2017,Residential,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,737.3089385077315
2017,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,13.278105224580214
2017,Residential,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,12.99966851967594
2017,Residential,Old,Range,___,___,Electricity,Standard,TJ,1434.5076966094202
2017,Residential,Old,Range,___,___,Natural Gas,Standard,TJ,63.90232307811281
2017,Residential,Old,Refrigerator,___,___,Electricity,Standard,TJ,1077.1739500468946
2017,Residential,Old,Space Cooling,Central,___,Electricity,Standard,TJ,10300.18607730294
