regions,periods,tech,output_comm,to_split,to_split_notes
TO,2016,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2017,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2018,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2019,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2020,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2021,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2022,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2023,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2024,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2025,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2026,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2027,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2028,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2029,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2030,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2031,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2032,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2033,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2034,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
TO,2035,PUBBDGPSINewSHHEP___HIGELC_23,EUEPUBBDGPSINewSC,0.1,PublicBuildingPost-Secondary InstitutionNewSpace HeatingHeat PumpHigh EfficiencyElectricity2023
