comm_name,flag,comm_desc
SEEPUBBDGPSINewSHHEP___HIGGEOM,p,SecondaryEnergyMix for PUBBDGPSINewSHHEP___HIGGEO
SEEPUBBDGPSINewSHHEP___ESRGEOM,p,SecondaryEnergyMix for PUBBDGPSINewSHHEP___ESRGEO
SEEPUBBDGPSINewSHHEP___STDGEOM,p,SecondaryEnergyMix for PUBBDGPSINewSHHEP___STDGEO
SEEPUBBDGMUNNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for PUBBDGMUNNewSHHEP___HIGGEO
SEEPUBBDGMUNNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for PUBBDGMUNNewSHHEP___ESRGEO
SEEPUBBDGMUNNewSHHEP___STDGEOM,p,SecondaryEnergyMix for PUBBDGMUNNewSHHEP___STDGEO
SEEPUBBDGHSPNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for PUBBDGHSPNewSHHEP___HIGGEO
SEEPUBBDGHSPNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for PUBBDGHSPNewSHHEP___ESRGEO
SEEPUBBDGHSPNewSHHEP___STDGEOM,p,SecondaryEnergyMix for PUBBDGHSPNewSHHEP___STDGEO
SEEPUBBDGSBDNewSHHEP___HIGGEOM,p,SecondaryEnergyMix for PUBBDGSBDNewSHHEP___HIGGEO
SEEPUBBDGSBDNewSHHEP___ESRGEOM,p,SecondaryEnergyMix for PUBBDGSBDNewSHHEP___ESRGEO
SEEPUBBDGSBDNewSHHEP___STDGEOM,p,SecondaryEnergyMix for PUBBDGSBDNewSHHEP___STDGEO
SEEPUBBDGPSIOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for PUBBDGPSIOldSHHEP___HIGGEO
SEEPUBBDGPSIOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for PUBBDGPSIOldSHHEP___ESRGEO
SEEPUBBDGPSIOldSHHEP___STDGEOM,p,SecondaryEnergyMix for PUBBDGPSIOldSHHEP___STDGEO
SEEPUBBDGMUNOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for PUBBDGMUNOldSHHEP___HIGGEO
SEEPUBBDGMUNOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for PUBBDGMUNOldSHHEP___ESRGEO
SEEPUBBDGMUNOldSHHEP___STDGEOM,p,SecondaryEnergyMix for PUBBDGMUNOldSHHEP___STDGEO
SEEPUBBDGHSPOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for PUBBDGHSPOldSHHEP___HIGGEO
SEEPUBBDGHSPOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for PUBBDGHSPOldSHHEP___ESRGEO
SEEPUBBDGHSPOldSHHEP___STDGEOM,p,SecondaryEnergyMix for PUBBDGHSPOldSHHEP___STDGEO
SEEPUBBDGSBDOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for PUBBDGSBDOldSHHEP___HIGGEO
SEEPUBBDGSBDOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for PUBBDGSBDOldSHHEP___ESRGEO
SEEPUBBDGSBDOldSHHEP___STDGEOM,p,SecondaryEnergyMix for PUBBDGSBDOldSHHEP___STDGEO
