regions,periods,tech,maxact,maxact_unites,max_act_notes
TO,2040,COMBDGAFSNewWH______STDHFO_16,0,,
TO,2040,COMBDGAFSNewWH______STDKER_16,0,,
TO,2040,COMBDGAFSNewWH______STDLFO_16,0,,
TO,2040,COMBDGAFSNewWH______STDNGA_16,0,,
TO,2040,COMBDGAFSNewWH______STDPRO_16,0,,
TO,2040,COMBDGAFSNewWHSTHBCKSTDELC_23,0,,
TO,2040,COMBDGAFSNewWHSTHBCKSTDNGA_23,0,,
TO,2040,COMBDGAFSNewWHSYS___ESRPRO_23,0,,
TO,2040,COMBDGAFSNewWHSYS___STDBMA_23,0,,
TO,2040,COMBDGAFSNewWHSYS___STDBWP_23,0,,
TO,2040,COMBDGAFSNewWHSYS___STDHFO_23,0,,
TO,2040,COMBDGAFSNewWHSYS___STDKER_23,0,,
TO,2040,COMBDGAFSNewWHSYS___STDLFO_23,0,,
TO,2040,COMBDGAFSNewWHWTK___ESRNGA_23,0,,
TO,2040,COMBDGAFSNewWHWTK___HIGELC_23,0,,
TO,2040,COMBDGAFSNewWHWTK___HIGNGA_23,0,,
TO,2040,COMBDGAFSNewWHWTK___STDELC_23,0,,
TO,2040,COMBDGAFSNewWHWTK___STDNGA_23,0,,
TO,2040,COMBDGAFSOldSHFUR___ESRNGA_23,0,,
TO,2040,COMBDGAFSOldSHFUR___ESRPRO_23,0,,
TO,2040,COMBDGAFSOldSHFUR___HIGHFO_23,0,,
TO,2040,COMBDGAFSOldSHFUR___HIGLFO_23,0,,
TO,2040,COMBDGAFSOldSHFUR___HIGNGA_16,0,,
TO,2040,COMBDGAFSOldSHFUR___HIGNGA_23,0,,
TO,2040,COMBDGAFSOldSHFUR___HIGPRO_23,0,,
TO,2040,COMBDGAFSOldSHFUR___STDELC_16,0,,
TO,2040,COMBDGAFSOldSHFUR___STDELC_23,0,,
TO,2040,COMBDGAFSOldSHFUR___STDHFO_16,0,,
TO,2040,COMBDGAFSOldSHFUR___STDHFO_23,0,,
TO,2040,COMBDGAFSOldSHFUR___STDKER_16,0,,
TO,2040,COMBDGAFSOldSHFUR___STDKER_23,0,,
TO,2040,COMBDGAFSOldSHFUR___STDLFO_16,0,,
TO,2040,COMBDGAFSOldSHFUR___STDLFO_23,0,,
TO,2040,COMBDGAFSOldSHFUR___STDNGA_16,0,,
TO,2040,COMBDGAFSOldSHFUR___STDNGA_23,0,,
TO,2040,COMBDGAFSOldSHFUR___STDPRO_16,0,,
TO,2040,COMBDGAFSOldSHFUR___STDPRO_23,0,,
TO,2040,COMBDGAFSOldSHFURLARSTDHH2_23,0,,
TO,2040,COMBDGAFSOldSHFURMEDSTDHH2_23,0,,
TO,2040,COMBDGAFSOldSHFURSMASTDHH2_23,0,,
TO,2040,COMBDGAFSOldSHHEP___STDNGA_23,0,,
TO,2040,COMBDGAFSOldSHPLT___STDELC_16,0,,
TO,2040,COMBDGAFSOldSHPLT1000WSTDELC_23,0,,
TO,2040,COMBDGAFSOldSHPLT1500WSTDELC_23,0,,
TO,2040,COMBDGAFSOldSHPLT500WSTDELC_23,0,,
TO,2040,COMBDGAFSOldWH______STDELC_16,0,,
TO,2040,COMBDGAFSOldWH______STDHFO_16,0,,
TO,2040,COMBDGAFSOldWH______STDKER_16,0,,
TO,2040,COMBDGAFSOldWH______STDLFO_16,0,,
TO,2040,COMBDGAFSOldWH______STDNGA_16,0,,
TO,2040,COMBDGAFSOldWH______STDPRO_16,0,,
TO,2040,COMBDGAFSOldWHSTHBCKSTDELC_23,0,,
TO,2040,COMBDGAFSOldWHSTHBCKSTDNGA_23,0,,
TO,2040,COMBDGAFSOldWHSYS___ESRPRO_23,0,,
TO,2040,COMBDGAFSOldWHSYS___STDBMA_23,0,,
TO,2040,COMBDGAFSOldWHSYS___STDBWP_23,0,,
TO,2040,COMBDGAFSOldWHSYS___STDHFO_23,0,,
TO,2040,COMBDGAFSOldWHSYS___STDKER_23,0,,
TO,2040,COMBDGAFSOldWHSYS___STDLFO_23,0,,
TO,2040,COMBDGAFSOldWHWTK___ESRNGA_23,0,,
TO,2040,COMBDGAFSOldWHWTK___HIGELC_23,0,,
TO,2040,COMBDGAFSOldWHWTK___HIGNGA_23,0,,
TO,2040,COMBDGAFSOldWHWTK___STDELC_23,0,,
TO,2040,COMBDGAFSOldWHWTK___STDNGA_23,0,,
TO,2040,COMBDGEDSNewSHFUR___ESRNGA_23,0,,
TO,2040,COMBDGEDSNewSHFUR___ESRPRO_23,0,,
TO,2040,COMBDGEDSNewSHFUR___HIGHFO_23,0,,
TO,2040,COMBDGEDSNewSHFUR___HIGLFO_23,0,,
TO,2040,COMBDGEDSNewSHFUR___HIGNGA_16,0,,
TO,2040,COMBDGEDSNewSHFUR___HIGNGA_23,0,,
TO,2040,COMBDGEDSNewSHFUR___HIGPRO_23,0,,
TO,2040,COMBDGEDSNewSHFUR___STDELC_16,0,,
TO,2040,COMBDGEDSNewSHFUR___STDELC_23,0,,
TO,2040,COMBDGEDSNewSHFUR___STDHFO_16,0,,
TO,2040,COMBDGEDSNewSHFUR___STDHFO_23,0,,
TO,2040,COMBDGEDSNewSHFUR___STDKER_16,0,,
TO,2040,COMBDGEDSNewSHFUR___STDKER_23,0,,
