comm_name,flag,comm_desc
ADEMPASTRAEXIHSROABUS,p,Aggregated DemandPassengerTransportationExternal INHome SchoolRoadInter-city Buses
ADEMPASTRAEXIHSROACAR,p,Aggregated DemandPassengerTransportationExternal INHome SchoolRoadCars
ADEMPASTRAEXIHSROATRU,p,Aggregated DemandPassengerTransportationExternal INHome SchoolRoadTruck
ADEMPASTRAEXIHSROAMOR,p,Aggregated DemandPassengerTransportationExternal INHome SchoolRoadMotorcycles
ADEMPASTRAEXIHSROAWAL,p,Aggregated DemandPassengerTransportationExternal INHome SchoolRoadWalk
ADEMPASTRAEXIHSROABIK,p,Aggregated DemandPassengerTransportationExternal INHome SchoolRoadBicycle
ADEMPASTRAEXIHORAIREG,p,Aggregated DemandPassengerTransportationExternal INHome OtherRailRegional
ADEMPASTRAEXIHORAISUB,p,Aggregated DemandPassengerTransportationExternal INHome OtherRailSubway
ADEMPASTRAEXIHORAITRM,p,Aggregated DemandPassengerTransportationExternal INHome OtherRailTramway
ADEMPASTRAEXIHOROABUS,p,Aggregated DemandPassengerTransportationExternal INHome OtherRoadInter-city Buses
ADEMPASTRAEXIHOROACAR,p,Aggregated DemandPassengerTransportationExternal INHome OtherRoadCars
ADEMPASTRAEXIHOROATRU,p,Aggregated DemandPassengerTransportationExternal INHome OtherRoadTruck
ADEMPASTRAEXIHOROAMOR,p,Aggregated DemandPassengerTransportationExternal INHome OtherRoadMotorcycles
ADEMPASTRAEXIHOROAWAL,p,Aggregated DemandPassengerTransportationExternal INHome OtherRoadWalk
ADEMPASTRAEXIHOROABIK,p,Aggregated DemandPassengerTransportationExternal INHome OtherRoadBicycle
ADEMPASTRAEXINHRAIREG,p,Aggregated DemandPassengerTransportationExternal INNon Home basedRailRegional
ADEMPASTRAEXINHRAISUB,p,Aggregated DemandPassengerTransportationExternal INNon Home basedRailSubway
ADEMPASTRAEXINHRAITRM,p,Aggregated DemandPassengerTransportationExternal INNon Home basedRailTramway
ADEMPASTRAEXINHROABUS,p,Aggregated DemandPassengerTransportationExternal INNon Home basedRoadInter-city Buses
ADEMPASTRAEXINHROACAR,p,Aggregated DemandPassengerTransportationExternal INNon Home basedRoadCars
ADEMPASTRAEXINHROATRU,p,Aggregated DemandPassengerTransportationExternal INNon Home basedRoadTruck
ADEMPASTRAEXINHROAMOR,p,Aggregated DemandPassengerTransportationExternal INNon Home basedRoadMotorcycles
ADEMPASTRAEXINHROAWAL,p,Aggregated DemandPassengerTransportationExternal INNon Home basedRoadWalk
ADEMPASTRAEXINHROABIK,p,Aggregated DemandPassengerTransportationExternal INNon Home basedRoadBicycle
ADEMPASTRAEXOHWRAIREG,p,Aggregated DemandPassengerTransportationExternal OUTHome WorkRailRegional
ADEMPASTRAEXOHWRAISUB,p,Aggregated DemandPassengerTransportationExternal OUTHome WorkRailSubway
ADEMPASTRAEXOHWRAITRM,p,Aggregated DemandPassengerTransportationExternal OUTHome WorkRailTramway
ADEMPASTRAEXOHWROABUS,p,Aggregated DemandPassengerTransportationExternal OUTHome WorkRoadInter-city Buses
ADEMPASTRAEXOHWROACAR,p,Aggregated DemandPassengerTransportationExternal OUTHome WorkRoadCars
ADEMPASTRAEXOHWROATRU,p,Aggregated DemandPassengerTransportationExternal OUTHome WorkRoadTruck
ADEMPASTRAEXOHWROAMOR,p,Aggregated DemandPassengerTransportationExternal OUTHome WorkRoadMotorcycles
ADEMPASTRAEXOHWROAWAL,p,Aggregated DemandPassengerTransportationExternal OUTHome WorkRoadWalk
ADEMPASTRAEXOHWROABIK,p,Aggregated DemandPassengerTransportationExternal OUTHome WorkRoadBicycle
ADEMPASTRAEXOHSRAIREG,p,Aggregated DemandPassengerTransportationExternal OUTHome SchoolRailRegional
ADEMPASTRAEXOHSRAISUB,p,Aggregated DemandPassengerTransportationExternal OUTHome SchoolRailSubway
ADEMPASTRAEXOHSRAITRM,p,Aggregated DemandPassengerTransportationExternal OUTHome SchoolRailTramway
ADEMPASTRAEXOHSROABUS,p,Aggregated DemandPassengerTransportationExternal OUTHome SchoolRoadInter-city Buses
ADEMPASTRAEXOHSROACAR,p,Aggregated DemandPassengerTransportationExternal OUTHome SchoolRoadCars
ADEMPASTRAEXOHSROATRU,p,Aggregated DemandPassengerTransportationExternal OUTHome SchoolRoadTruck
ADEMPASTRAEXOHSROAMOR,p,Aggregated DemandPassengerTransportationExternal OUTHome SchoolRoadMotorcycles
ADEMPASTRAEXOHSROAWAL,p,Aggregated DemandPassengerTransportationExternal OUTHome SchoolRoadWalk
ADEMPASTRAEXOHSROABIK,p,Aggregated DemandPassengerTransportationExternal OUTHome SchoolRoadBicycle
ADEMPASTRAEXOHORAIREG,p,Aggregated DemandPassengerTransportationExternal OUTHome OtherRailRegional
ADEMPASTRAEXOHORAISUB,p,Aggregated DemandPassengerTransportationExternal OUTHome OtherRailSubway
ADEMPASTRAEXOHORAITRM,p,Aggregated DemandPassengerTransportationExternal OUTHome OtherRailTramway
ADEMPASTRAEXOHOROABUS,p,Aggregated DemandPassengerTransportationExternal OUTHome OtherRoadInter-city Buses
ADEMPASTRAEXOHOROACAR,p,Aggregated DemandPassengerTransportationExternal OUTHome OtherRoadCars
ADEMPASTRAEXOHOROATRU,p,Aggregated DemandPassengerTransportationExternal OUTHome OtherRoadTruck
ADEMPASTRAEXOHOROAMOR,p,Aggregated DemandPassengerTransportationExternal OUTHome OtherRoadMotorcycles
ADEMPASTRAEXOHOROAWAL,p,Aggregated DemandPassengerTransportationExternal OUTHome OtherRoadWalk
ADEMPASTRAEXOHOROABIK,p,Aggregated DemandPassengerTransportationExternal OUTHome OtherRoadBicycle
