regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2046,LDITRAGAS,LDITRADOMROACAR___HYBGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsHybridGasoline2023
TO,2047,LDITRAGAS,LDITRADOMROACAR___HYBGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsHybridGasoline2023
TO,2048,LDITRAGAS,LDITRADOMROACAR___HYBGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsHybridGasoline2023
TO,2049,LDITRAGAS,LDITRADOMROACAR___HYBGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsHybridGasoline2023
TO,2050,LDITRAGAS,LDITRADOMROACAR___HYBGAS____23,0.8940756,Long DistanceTransportationDomesticRoadCarsHybridGasoline2023
TO,2016,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2017,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2018,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2019,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2020,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2021,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2022,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2023,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2024,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2025,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2026,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2027,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2028,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2029,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2030,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2031,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2032,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2033,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2034,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2035,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2036,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2037,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2038,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2039,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2040,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2041,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2042,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2043,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2044,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2045,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2046,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2047,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2048,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2049,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2050,LDITRABELC,LDITRADOMROACAR___PHEVGASELC_23,0.69,Long DistanceTransportationDomesticRoadCarsPlug Hybrid VehicleGasolineElectricity2023
TO,2016,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2017,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2018,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2019,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2020,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2021,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2022,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2023,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2024,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2025,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2026,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2027,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2028,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2029,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2030,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2031,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2032,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2033,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2034,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2035,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2036,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2037,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2038,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2039,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2040,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2041,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2042,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2043,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2044,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2045,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2046,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2047,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2048,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2049,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2050,LDITRAGAS,LDITRADOMROACAR___CONVGAS____16,0.8940756,Long DistanceTransportationDomesticRoadCarsConventionnalGasoline2016
TO,2016,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2017,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2018,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2019,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2020,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2021,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2022,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2023,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2024,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2025,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2026,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2027,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2028,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2029,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2030,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2031,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2032,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2033,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2034,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2035,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2036,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2037,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2038,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2039,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2040,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2041,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
TO,2042,LDITRAGAS,LDITRADOMROATRULGTCONVGAS____23,0.8940756,Long DistanceTransportationDomesticRoadTruckPassenger Light TrucksConventionnalGasoline2023
