regions,periods,tech,maxcap,maxcap_units,maxcap_notes
TO,2019,LDITRAINTRAI_________DSL____16,0.062273218,,
TO,2019,LDITRAINTROABUSIUBCONVDSL____16,0,,
TO,2019,LDITRAINTROACAR___CONVDSL____16,0,,
TO,2019,LDITRAINTROATRULGTCONVDSL____16,0,,
TO,2019,LDITRADOMROACAR___CONVNGA____16,0,,
TO,2019,LDITRADOMROATRULGTCONVNGA____16,0,,
TO,2019,LDITRAINTROACAR___CONVNGA____16,0,,
TO,2019,LDITRAINTROATRULGTCONVNGA____16,0,,
TO,2019,LDITRADOMROABUSIUBCONVGAS____16,0,,
TO,2019,LDITRADOMROACAR___CONVGAS____16,0,,
TO,2019,LDITRADOMROATRULGTCONVGAS____16,0,,
TO,2019,LDITRAINTROABUSIUBCONVGAS____16,0,,
TO,2019,LDITRAINTROACAR___CONVGAS____16,0,,
TO,2019,LDITRAINTROATRULGTCONVGAS____16,0,,
TO,2019,LDITRADOMROACAR___CONVPRO____16,0,,
TO,2019,LDITRADOMROATRULGTCONVPRO____16,0,,
TO,2019,LDITRAINTROACAR___CONVPRO____16,0,,
TO,2019,LDITRAINTROATRULGTCONVPRO____16,0,,
TO,2020,LDITRADOMAIR______STDAGA____16,0.003146392,,
TO,2020,LDITRAINTAIR______STDAGA____16,0.002641953,,
TO,2020,LDITRADOMAIR______STDATF____16,0.243368777,,
TO,2020,LDITRAINTAIR______STDATF____16,0.12443974,,
TO,2020,LDITRADOMRAI_________DSL____16,0.078144411,,
TO,2020,LDITRADOMROABUSIUBCONVDSL____16,0,,
TO,2020,LDITRADOMROACAR___CONVDSL____16,0,,
TO,2020,LDITRADOMROATRULGTCONVDSL____16,0,,
TO,2020,LDITRAINTRAI_________DSL____16,0.07739251,,
TO,2020,LDITRAINTROABUSIUBCONVDSL____16,0,,
TO,2020,LDITRAINTROACAR___CONVDSL____16,0,,
TO,2020,LDITRAINTROATRULGTCONVDSL____16,0,,
TO,2020,LDITRADOMROACAR___CONVNGA____16,0,,
TO,2020,LDITRADOMROATRULGTCONVNGA____16,0,,
TO,2020,LDITRAINTROACAR___CONVNGA____16,0,,
TO,2020,LDITRAINTROATRULGTCONVNGA____16,0,,
TO,2020,LDITRADOMROABUSIUBCONVGAS____16,0,,
TO,2020,LDITRADOMROACAR___CONVGAS____16,0,,
TO,2020,LDITRADOMROATRULGTCONVGAS____16,0,,
TO,2020,LDITRAINTROABUSIUBCONVGAS____16,0,,
TO,2020,LDITRAINTROACAR___CONVGAS____16,0,,
TO,2020,LDITRAINTROATRULGTCONVGAS____16,0,,
TO,2020,LDITRADOMROACAR___CONVPRO____16,0,,
TO,2020,LDITRADOMROATRULGTCONVPRO____16,0,,
TO,2020,LDITRAINTROACAR___CONVPRO____16,0,,
TO,2020,LDITRAINTROATRULGTCONVPRO____16,0,,
TO,2021,LDITRADOMAIR______STDAGA____16,0.003681728,,
TO,2021,LDITRAINTAIR______STDAGA____16,0.003118112,,
TO,2021,LDITRADOMAIR______STDATF____16,0.256959404,,
TO,2021,LDITRAINTAIR______STDATF____16,0.131714596,,
TO,2021,LDITRADOMRAI_________DSL____16,0.093146135,,
TO,2021,LDITRADOMROABUSIUBCONVDSL____16,0,,
TO,2021,LDITRADOMROACAR___CONVDSL____16,0,,
TO,2021,LDITRADOMROATRULGTCONVDSL____16,0,,
TO,2021,LDITRAINTRAI_________DSL____16,0.092233122,,
TO,2021,LDITRAINTROABUSIUBCONVDSL____16,0,,
TO,2021,LDITRAINTROACAR___CONVDSL____16,0,,
TO,2021,LDITRAINTROATRULGTCONVDSL____16,0,,
TO,2021,LDITRADOMROACAR___CONVNGA____16,0,,
TO,2021,LDITRADOMROATRULGTCONVNGA____16,0,,
TO,2021,LDITRAINTROACAR___CONVNGA____16,0,,
TO,2021,LDITRAINTROATRULGTCONVNGA____16,0,,
TO,2021,LDITRADOMROABUSIUBCONVGAS____16,0,,
TO,2021,LDITRADOMROACAR___CONVGAS____16,0,,
TO,2021,LDITRADOMROATRULGTCONVGAS____16,0,,
TO,2021,LDITRAINTROABUSIUBCONVGAS____16,0,,
TO,2021,LDITRAINTROACAR___CONVGAS____16,0,,
TO,2021,LDITRAINTROATRULGTCONVGAS____16,0,,
TO,2021,LDITRADOMROACAR___CONVPRO____16,0,,
TO,2021,LDITRADOMROATRULGTCONVPRO____16,0,,
TO,2021,LDITRAINTROACAR___CONVPRO____16,0,,
TO,2021,LDITRAINTROATRULGTCONVPRO____16,0,,
TO,2022,LDITRADOMAIR______STDAGA____16,0.004139974,,
TO,2022,LDITRAINTAIR______STDAGA____16,0.003547278,,
TO,2022,LDITRADOMAIR______STDATF____16,0.271143813,,
TO,2022,LDITRAINTAIR______STDATF____16,0.138421005,,
TO,2022,LDITRADOMRAI_________DSL____16,0.107818587,,
TO,2022,LDITRADOMROABUSIUBCONVDSL____16,0,,
TO,2022,LDITRADOMROACAR___CONVDSL____16,0,,
TO,2022,LDITRADOMROATRULGTCONVDSL____16,0,,
TO,2022,LDITRAINTRAI_________DSL____16,0.106744827,,
TO,2022,LDITRAINTROABUSIUBCONVDSL____16,0,,
TO,2022,LDITRAINTROACAR___CONVDSL____16,0,,
TO,2022,LDITRAINTROATRULGTCONVDSL____16,0,,
TO,2022,LDITRADOMROACAR___CONVNGA____16,0,,
TO,2022,LDITRADOMROATRULGTCONVNGA____16,0,,
TO,2022,LDITRAINTROACAR___CONVNGA____16,0,,
TO,2022,LDITRAINTROATRULGTCONVNGA____16,0,,
TO,2022,LDITRADOMROABUSIUBCONVGAS____16,0,,
TO,2022,LDITRADOMROACAR___CONVGAS____16,0,,
TO,2022,LDITRADOMROATRULGTCONVGAS____16,0,,
TO,2022,LDITRAINTROABUSIUBCONVGAS____16,0,,
TO,2022,LDITRAINTROACAR___CONVGAS____16,0,,
TO,2022,LDITRAINTROATRULGTCONVGAS____16,0,,
TO,2022,LDITRADOMROACAR___CONVPRO____16,0,,
TO,2022,LDITRADOMROATRULGTCONVPRO____16,0,,
TO,2022,LDITRAINTROACAR___CONVPRO____16,0,,
TO,2022,LDITRAINTROATRULGTCONVPRO____16,0,,
