tech,flag,sector,tech_desc,tech_category
RESBDGSAT1960SH_b,p,RESBDG,ResidentialBuildingSingle Attached1960Space Heating,
RESBDGSAT1977SH_b,p,RESBDG,ResidentialBuildingSingle Attached1977Space Heating,
RESBDGSAT1983SH_b,p,RESBDG,ResidentialBuildingSingle Attached1983Space Heating,
RESBDGSAT1995SH_b,p,RESBDG,ResidentialBuildingSingle Attached1995Space Heating,
RESBDGSAT2000SH_b,p,RESBDG,ResidentialBuildingSingle Attached2000Space Heating,
RESBDGSAT2005SH_b,p,RESBDG,ResidentialBuildingSingle Attached2005Space Heating,
RESBDGSAT2010SH_b,p,RESBDG,ResidentialBuildingSingle Attached2010Space Heating,
RESBDGSAT2015SH_b,p,RESBDG,ResidentialBuildingSingle Attached2015Space Heating,
RESBDGSAT2020SH_b,p,RESBDG,ResidentialBuildingSingle Attached2020Space Heating,
RESBDGSAT2025SH_b,p,RESBDG,ResidentialBuildingSingle Attached2025Space Heating,
RESBDGSAT2030SH_b,p,RESBDG,ResidentialBuildingSingle Attached2030Space Heating,
RESBDGSAT2035SH_b,p,RESBDG,ResidentialBuildingSingle Attached2035Space Heating,
RESBDGSAT2040SH_b,p,RESBDG,ResidentialBuildingSingle Attached2040Space Heating,
RESBDGSAT2045SH_b,p,RESBDG,ResidentialBuildingSingle Attached2045Space Heating,
RESBDGAPA1960SC_b,p,RESBDG,ResidentialBuildingApartments1960Space Cooling,
RESBDGAPA1977SC_b,p,RESBDG,ResidentialBuildingApartments1977Space Cooling,
RESBDGAPA1983SC_b,p,RESBDG,ResidentialBuildingApartments1983Space Cooling,
RESBDGAPA1995SC_b,p,RESBDG,ResidentialBuildingApartments1995Space Cooling,
RESBDGAPA2000SC_b,p,RESBDG,ResidentialBuildingApartments2000Space Cooling,
RESBDGAPA2005SC_b,p,RESBDG,ResidentialBuildingApartments2005Space Cooling,
RESBDGAPA2010SC_b,p,RESBDG,ResidentialBuildingApartments2010Space Cooling,
RESBDGAPA2015SC_b,p,RESBDG,ResidentialBuildingApartments2015Space Cooling,
RESBDGAPA2020SC_b,p,RESBDG,ResidentialBuildingApartments2020Space Cooling,
RESBDGAPA2025SC_b,p,RESBDG,ResidentialBuildingApartments2025Space Cooling,
RESBDGAPA2030SC_b,p,RESBDG,ResidentialBuildingApartments2030Space Cooling,
RESBDGAPA2035SC_b,p,RESBDG,ResidentialBuildingApartments2035Space Cooling,
RESBDGAPA2040SC_b,p,RESBDG,ResidentialBuildingApartments2040Space Cooling,
RESBDGAPA2045SC_b,p,RESBDG,ResidentialBuildingApartments2045Space Cooling,
RESBDGSDE1960SC_b,p,RESBDG,ResidentialBuildingSingle Detached1960Space Cooling,
RESBDGSDE1977SC_b,p,RESBDG,ResidentialBuildingSingle Detached1977Space Cooling,
RESBDGSDE1983SC_b,p,RESBDG,ResidentialBuildingSingle Detached1983Space Cooling,
RESBDGSDE1995SC_b,p,RESBDG,ResidentialBuildingSingle Detached1995Space Cooling,
RESBDGSDE2000SC_b,p,RESBDG,ResidentialBuildingSingle Detached2000Space Cooling,
RESBDGSDE2005SC_b,p,RESBDG,ResidentialBuildingSingle Detached2005Space Cooling,
RESBDGSDE2010SC_b,p,RESBDG,ResidentialBuildingSingle Detached2010Space Cooling,
RESBDGSDE2015SC_b,p,RESBDG,ResidentialBuildingSingle Detached2015Space Cooling,
RESBDGSDE2020SC_b,p,RESBDG,ResidentialBuildingSingle Detached2020Space Cooling,
RESBDGSDE2025SC_b,p,RESBDG,ResidentialBuildingSingle Detached2025Space Cooling,
RESBDGSDE2030SC_b,p,RESBDG,ResidentialBuildingSingle Detached2030Space Cooling,
RESBDGSDE2035SC_b,p,RESBDG,ResidentialBuildingSingle Detached2035Space Cooling,
RESBDGSDE2040SC_b,p,RESBDG,ResidentialBuildingSingle Detached2040Space Cooling,
RESBDGSDE2045SC_b,p,RESBDG,ResidentialBuildingSingle Detached2045Space Cooling,
RESBDGSAT1960SC_b,p,RESBDG,ResidentialBuildingSingle Attached1960Space Cooling,
RESBDGSAT1977SC_b,p,RESBDG,ResidentialBuildingSingle Attached1977Space Cooling,
RESBDGSAT1983SC_b,p,RESBDG,ResidentialBuildingSingle Attached1983Space Cooling,
RESBDGSAT1995SC_b,p,RESBDG,ResidentialBuildingSingle Attached1995Space Cooling,
RESBDGSAT2000SC_b,p,RESBDG,ResidentialBuildingSingle Attached2000Space Cooling,
RESBDGSAT2005SC_b,p,RESBDG,ResidentialBuildingSingle Attached2005Space Cooling,
RESBDGSAT2010SC_b,p,RESBDG,ResidentialBuildingSingle Attached2010Space Cooling,
RESBDGSAT2015SC_b,p,RESBDG,ResidentialBuildingSingle Attached2015Space Cooling,
RESBDGSAT2020SC_b,p,RESBDG,ResidentialBuildingSingle Attached2020Space Cooling,
RESBDGSAT2025SC_b,p,RESBDG,ResidentialBuildingSingle Attached2025Space Cooling,
RESBDGSAT2030SC_b,p,RESBDG,ResidentialBuildingSingle Attached2030Space Cooling,
RESBDGSAT2035SC_b,p,RESBDG,ResidentialBuildingSingle Attached2035Space Cooling,
RESBDGSAT2040SC_b,p,RESBDG,ResidentialBuildingSingle Attached2040Space Cooling,
RESBDGSAT2045SC_b,p,RESBDG,ResidentialBuildingSingle Attached2045Space Cooling,
RESBDGAPA1960LI,p,RESBDG,ResidentialBuildingApartments1960Lighting,
RESBDGAPA1977LI,p,RESBDG,ResidentialBuildingApartments1977Lighting,
RESBDGAPA1983LI,p,RESBDG,ResidentialBuildingApartments1983Lighting,
RESBDGAPA1995LI,p,RESBDG,ResidentialBuildingApartments1995Lighting,
RESBDGAPA2000LI,p,RESBDG,ResidentialBuildingApartments2000Lighting,
RESBDGAPA2005LI,p,RESBDG,ResidentialBuildingApartments2005Lighting,
RESBDGAPA2010LI,p,RESBDG,ResidentialBuildingApartments2010Lighting,
RESBDGAPA2015LI,p,RESBDG,ResidentialBuildingApartments2015Lighting,
RESBDGAPA2020LI,p,RESBDG,ResidentialBuildingApartments2020Lighting,
RESBDGAPA2025LI,p,RESBDG,ResidentialBuildingApartments2025Lighting,
RESBDGAPA2030LI,p,RESBDG,ResidentialBuildingApartments2030Lighting,
RESBDGAPA2035LI,p,RESBDG,ResidentialBuildingApartments2035Lighting,
RESBDGAPA2040LI,p,RESBDG,ResidentialBuildingApartments2040Lighting,
RESBDGAPA2045LI,p,RESBDG,ResidentialBuildingApartments2045Lighting,
RESBDGSDE1960LI,p,RESBDG,ResidentialBuildingSingle Detached1960Lighting,
RESBDGSDE1977LI,p,RESBDG,ResidentialBuildingSingle Detached1977Lighting,
RESBDGSDE1983LI,p,RESBDG,ResidentialBuildingSingle Detached1983Lighting,
RESBDGSDE1995LI,p,RESBDG,ResidentialBuildingSingle Detached1995Lighting,
RESBDGSDE2000LI,p,RESBDG,ResidentialBuildingSingle Detached2000Lighting,
RESBDGSDE2005LI,p,RESBDG,ResidentialBuildingSingle Detached2005Lighting,
RESBDGSDE2010LI,p,RESBDG,ResidentialBuildingSingle Detached2010Lighting,
RESBDGSDE2015LI,p,RESBDG,ResidentialBuildingSingle Detached2015Lighting,
RESBDGSDE2020LI,p,RESBDG,ResidentialBuildingSingle Detached2020Lighting,
RESBDGSDE2025LI,p,RESBDG,ResidentialBuildingSingle Detached2025Lighting,
RESBDGSDE2030LI,p,RESBDG,ResidentialBuildingSingle Detached2030Lighting,
RESBDGSDE2035LI,p,RESBDG,ResidentialBuildingSingle Detached2035Lighting,
