regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2016,ADEMRESBDGAPA2040SH,0.0,kunits,Aggregated DemandResidentialBuildingApartments2040Space Heating
TO,2016,ADEMRESBDGAPA2045SH,0.0,kunits,Aggregated DemandResidentialBuildingApartments2045Space Heating
TO,2016,ADEMRESBDGSDE1960SH,154.749,kunits,Aggregated DemandResidentialBuildingSingle Detached1960Space Heating
TO,2016,ADEMRESBDGSDE1977SH,84.437,kunits,Aggregated DemandResidentialBuildingSingle Detached1977Space Heating
TO,2016,ADEMRESBDGSDE1983SH,12.914,kunits,Aggregated DemandResidentialBuildingSingle Detached1983Space Heating
TO,2016,ADEMRESBDGSDE1995SH,21.308,kunits,Aggregated DemandResidentialBuildingSingle Detached1995Space Heating
TO,2016,ADEMRESBDGSDE2000SH,4.238,kunits,Aggregated DemandResidentialBuildingSingle Detached2000Space Heating
TO,2016,ADEMRESBDGSDE2005SH,6.33,kunits,Aggregated DemandResidentialBuildingSingle Detached2005Space Heating
TO,2016,ADEMRESBDGSDE2010SH,7.727,kunits,Aggregated DemandResidentialBuildingSingle Detached2010Space Heating
TO,2016,ADEMRESBDGSDE2015SH,11.604,kunits,Aggregated DemandResidentialBuildingSingle Detached2015Space Heating
TO,2016,ADEMRESBDGSDE2020SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2020Space Heating
TO,2016,ADEMRESBDGSDE2025SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2025Space Heating
TO,2016,ADEMRESBDGSDE2030SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2030Space Heating
TO,2016,ADEMRESBDGSDE2035SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2035Space Heating
TO,2016,ADEMRESBDGSDE2040SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2040Space Heating
TO,2016,ADEMRESBDGSDE2045SH,0.0,kunits,Aggregated DemandResidentialBuildingSingle Detached2045Space Heating
TO,2016,ADEMRESBDGSAT1960SH,71.873,kunits,Aggregated DemandResidentialBuildingSingle Attached1960Space Heating
TO,2016,ADEMRESBDGSAT1977SH,46.425,kunits,Aggregated DemandResidentialBuildingSingle Attached1977Space Heating
