regions,season_name,time_of_day_name,demand_name,dds,dds_notes
TO,W,D,ADEMRESBDGAPA1960LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments1960Lighting
TO,W,D,ADEMRESBDGAPA1977LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments1977Lighting
TO,W,D,ADEMRESBDGAPA1983LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments1983Lighting
TO,W,D,ADEMRESBDGAPA1995LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments1995Lighting
TO,W,D,ADEMRESBDGAPA2000LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2000Lighting
TO,W,D,ADEMRESBDGAPA2005LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2005Lighting
TO,W,D,ADEMRESBDGAPA2010LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2010Lighting
TO,W,D,ADEMRESBDGAPA2015LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2015Lighting
TO,W,D,ADEMRESBDGAPA2020LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2020Lighting
TO,W,D,ADEMRESBDGAPA2025LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2025Lighting
TO,W,D,ADEMRESBDGAPA2030LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2030Lighting
TO,W,D,ADEMRESBDGAPA2035LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2035Lighting
TO,W,D,ADEMRESBDGAPA2040LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2040Lighting
TO,W,D,ADEMRESBDGAPA2045LI,0.059102846791698534,Aggregated DemandResidentialBuildingApartments2045Lighting
TO,W,D,ADEMRESBDGSDE1960LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached1960Lighting
TO,W,D,ADEMRESBDGSDE1977LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached1977Lighting
TO,W,D,ADEMRESBDGSDE1983LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached1983Lighting
TO,W,D,ADEMRESBDGSDE1995LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached1995Lighting
TO,W,D,ADEMRESBDGSDE2000LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2000Lighting
TO,W,D,ADEMRESBDGSDE2005LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2005Lighting
TO,W,D,ADEMRESBDGSDE2010LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2010Lighting
TO,W,D,ADEMRESBDGSDE2015LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2015Lighting
TO,W,D,ADEMRESBDGSDE2020LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2020Lighting
TO,W,D,ADEMRESBDGSDE2025LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2025Lighting
TO,W,D,ADEMRESBDGSDE2030LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2030Lighting
TO,W,D,ADEMRESBDGSDE2035LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2035Lighting
TO,W,D,ADEMRESBDGSDE2040LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2040Lighting
TO,W,D,ADEMRESBDGSDE2045LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Detached2045Lighting
TO,W,D,ADEMRESBDGSAT1960LI,0.059102846791698534,Aggregated DemandResidentialBuildingSingle Attached1960Lighting
