comm_name,flag,comm_desc
ADEMRESBDGSDE2035SH,d,Aggregated DemandResidentialBuildingSingle Detached2035Space Heating
ADEMRESBDGSDE2040SH,d,Aggregated DemandResidentialBuildingSingle Detached2040Space Heating
ADEMRESBDGSDE2045SH,d,Aggregated DemandResidentialBuildingSingle Detached2045Space Heating
ADEMRESBDGSAT1960SH,d,Aggregated DemandResidentialBuildingSingle Attached1960Space Heating
ADEMRESBDGSAT1977SH,d,Aggregated DemandResidentialBuildingSingle Attached1977Space Heating
ADEMRESBDGSAT1983SH,d,Aggregated DemandResidentialBuildingSingle Attached1983Space Heating
ADEMRESBDGSAT1995SH,d,Aggregated DemandResidentialBuildingSingle Attached1995Space Heating
ADEMRESBDGSAT2000SH,d,Aggregated DemandResidentialBuildingSingle Attached2000Space Heating
ADEMRESBDGSAT2005SH,d,Aggregated DemandResidentialBuildingSingle Attached2005Space Heating
ADEMRESBDGSAT2010SH,d,Aggregated DemandResidentialBuildingSingle Attached2010Space Heating
ADEMRESBDGSAT2015SH,d,Aggregated DemandResidentialBuildingSingle Attached2015Space Heating
ADEMRESBDGSAT2020SH,d,Aggregated DemandResidentialBuildingSingle Attached2020Space Heating
ADEMRESBDGSAT2025SH,d,Aggregated DemandResidentialBuildingSingle Attached2025Space Heating
ADEMRESBDGSAT2030SH,d,Aggregated DemandResidentialBuildingSingle Attached2030Space Heating
ADEMRESBDGSAT2035SH,d,Aggregated DemandResidentialBuildingSingle Attached2035Space Heating
ADEMRESBDGSAT2040SH,d,Aggregated DemandResidentialBuildingSingle Attached2040Space Heating
ADEMRESBDGSAT2045SH,d,Aggregated DemandResidentialBuildingSingle Attached2045Space Heating
ADEMRESBDGAPA1960SC,d,Aggregated DemandResidentialBuildingApartments1960Space Cooling
ADEMRESBDGAPA1977SC,d,Aggregated DemandResidentialBuildingApartments1977Space Cooling
ADEMRESBDGAPA1983SC,d,Aggregated DemandResidentialBuildingApartments1983Space Cooling
ADEMRESBDGAPA1995SC,d,Aggregated DemandResidentialBuildingApartments1995Space Cooling
ADEMRESBDGAPA2000SC,d,Aggregated DemandResidentialBuildingApartments2000Space Cooling
ADEMRESBDGAPA2005SC,d,Aggregated DemandResidentialBuildingApartments2005Space Cooling
ADEMRESBDGAPA2010SC,d,Aggregated DemandResidentialBuildingApartments2010Space Cooling
ADEMRESBDGAPA2015SC,d,Aggregated DemandResidentialBuildingApartments2015Space Cooling
ADEMRESBDGAPA2020SC,d,Aggregated DemandResidentialBuildingApartments2020Space Cooling
ADEMRESBDGAPA2025SC,d,Aggregated DemandResidentialBuildingApartments2025Space Cooling
ADEMRESBDGAPA2030SC,d,Aggregated DemandResidentialBuildingApartments2030Space Cooling
ADEMRESBDGAPA2035SC,d,Aggregated DemandResidentialBuildingApartments2035Space Cooling
ADEMRESBDGAPA2040SC,d,Aggregated DemandResidentialBuildingApartments2040Space Cooling
ADEMRESBDGAPA2045SC,d,Aggregated DemandResidentialBuildingApartments2045Space Cooling
ADEMRESBDGSDE1960SC,d,Aggregated DemandResidentialBuildingSingle Detached1960Space Cooling
ADEMRESBDGSDE1977SC,d,Aggregated DemandResidentialBuildingSingle Detached1977Space Cooling
ADEMRESBDGSDE1983SC,d,Aggregated DemandResidentialBuildingSingle Detached1983Space Cooling
ADEMRESBDGSDE1995SC,d,Aggregated DemandResidentialBuildingSingle Detached1995Space Cooling
ADEMRESBDGSDE2000SC,d,Aggregated DemandResidentialBuildingSingle Detached2000Space Cooling
ADEMRESBDGSDE2005SC,d,Aggregated DemandResidentialBuildingSingle Detached2005Space Cooling
ADEMRESBDGSDE2010SC,d,Aggregated DemandResidentialBuildingSingle Detached2010Space Cooling
ADEMRESBDGSDE2015SC,d,Aggregated DemandResidentialBuildingSingle Detached2015Space Cooling
ADEMRESBDGSDE2020SC,d,Aggregated DemandResidentialBuildingSingle Detached2020Space Cooling
ADEMRESBDGSDE2025SC,d,Aggregated DemandResidentialBuildingSingle Detached2025Space Cooling
ADEMRESBDGSDE2030SC,d,Aggregated DemandResidentialBuildingSingle Detached2030Space Cooling
ADEMRESBDGSDE2035SC,d,Aggregated DemandResidentialBuildingSingle Detached2035Space Cooling
ADEMRESBDGSDE2040SC,d,Aggregated DemandResidentialBuildingSingle Detached2040Space Cooling
ADEMRESBDGSDE2045SC,d,Aggregated DemandResidentialBuildingSingle Detached2045Space Cooling
ADEMRESBDGSAT1960SC,d,Aggregated DemandResidentialBuildingSingle Attached1960Space Cooling
ADEMRESBDGSAT1977SC,d,Aggregated DemandResidentialBuildingSingle Attached1977Space Cooling
ADEMRESBDGSAT1983SC,d,Aggregated DemandResidentialBuildingSingle Attached1983Space Cooling
ADEMRESBDGSAT1995SC,d,Aggregated DemandResidentialBuildingSingle Attached1995Space Cooling
ADEMRESBDGSAT2000SC,d,Aggregated DemandResidentialBuildingSingle Attached2000Space Cooling
ADEMRESBDGSAT2005SC,d,Aggregated DemandResidentialBuildingSingle Attached2005Space Cooling
ADEMRESBDGSAT2010SC,d,Aggregated DemandResidentialBuildingSingle Attached2010Space Cooling
ADEMRESBDGSAT2015SC,d,Aggregated DemandResidentialBuildingSingle Attached2015Space Cooling
ADEMRESBDGSAT2020SC,d,Aggregated DemandResidentialBuildingSingle Attached2020Space Cooling
ADEMRESBDGSAT2025SC,d,Aggregated DemandResidentialBuildingSingle Attached2025Space Cooling
ADEMRESBDGSAT2030SC,d,Aggregated DemandResidentialBuildingSingle Attached2030Space Cooling
ADEMRESBDGSAT2035SC,d,Aggregated DemandResidentialBuildingSingle Attached2035Space Cooling
ADEMRESBDGSAT2040SC,d,Aggregated DemandResidentialBuildingSingle Attached2040Space Cooling
ADEMRESBDGSAT2045SC,d,Aggregated DemandResidentialBuildingSingle Attached2045Space Cooling
ADEMRESBDGAPA1960APL,d,Aggregated DemandResidentialBuildingApartments1960Appliances
ADEMRESBDGAPA1977APL,d,Aggregated DemandResidentialBuildingApartments1977Appliances
ADEMRESBDGAPA1983APL,d,Aggregated DemandResidentialBuildingApartments1983Appliances
ADEMRESBDGAPA1995APL,d,Aggregated DemandResidentialBuildingApartments1995Appliances
ADEMRESBDGAPA2000APL,d,Aggregated DemandResidentialBuildingApartments2000Appliances
ADEMRESBDGAPA2005APL,d,Aggregated DemandResidentialBuildingApartments2005Appliances
ADEMRESBDGAPA2010APL,d,Aggregated DemandResidentialBuildingApartments2010Appliances
ADEMRESBDGAPA2015APL,d,Aggregated DemandResidentialBuildingApartments2015Appliances
ADEMRESBDGAPA2020APL,d,Aggregated DemandResidentialBuildingApartments2020Appliances
ADEMRESBDGAPA2025APL,d,Aggregated DemandResidentialBuildingApartments2025Appliances
ADEMRESBDGAPA2030APL,d,Aggregated DemandResidentialBuildingApartments2030Appliances
ADEMRESBDGAPA2035APL,d,Aggregated DemandResidentialBuildingApartments2035Appliances
ADEMRESBDGAPA2040APL,d,Aggregated DemandResidentialBuildingApartments2040Appliances
ADEMRESBDGAPA2045APL,d,Aggregated DemandResidentialBuildingApartments2045Appliances
ADEMRESBDGSDE1960APL,d,Aggregated DemandResidentialBuildingSingle Detached1960Appliances
ADEMRESBDGSDE1977APL,d,Aggregated DemandResidentialBuildingSingle Detached1977Appliances
ADEMRESBDGSDE1983APL,d,Aggregated DemandResidentialBuildingSingle Detached1983Appliances
ADEMRESBDGSDE1995APL,d,Aggregated DemandResidentialBuildingSingle Detached1995Appliances
ADEMRESBDGSDE2000APL,d,Aggregated DemandResidentialBuildingSingle Detached2000Appliances
ADEMRESBDGSDE2005APL,d,Aggregated DemandResidentialBuildingSingle Detached2005Appliances
ADEMRESBDGSDE2010APL,d,Aggregated DemandResidentialBuildingSingle Detached2010Appliances
ADEMRESBDGSDE2015APL,d,Aggregated DemandResidentialBuildingSingle Detached2015Appliances
ADEMRESBDGSDE2020APL,d,Aggregated DemandResidentialBuildingSingle Detached2020Appliances
ADEMRESBDGSDE2025APL,d,Aggregated DemandResidentialBuildingSingle Detached2025Appliances
ADEMRESBDGSDE2030APL,d,Aggregated DemandResidentialBuildingSingle Detached2030Appliances
ADEMRESBDGSDE2035APL,d,Aggregated DemandResidentialBuildingSingle Detached2035Appliances
ADEMRESBDGSDE2040APL,d,Aggregated DemandResidentialBuildingSingle Detached2040Appliances
ADEMRESBDGSDE2045APL,d,Aggregated DemandResidentialBuildingSingle Detached2045Appliances
ADEMRESBDGSAT1960APL,d,Aggregated DemandResidentialBuildingSingle Attached1960Appliances
ADEMRESBDGSAT1977APL,d,Aggregated DemandResidentialBuildingSingle Attached1977Appliances
ADEMRESBDGSAT1983APL,d,Aggregated DemandResidentialBuildingSingle Attached1983Appliances
ADEMRESBDGSAT1995APL,d,Aggregated DemandResidentialBuildingSingle Attached1995Appliances
ADEMRESBDGSAT2000APL,d,Aggregated DemandResidentialBuildingSingle Attached2000Appliances
ADEMRESBDGSAT2005APL,d,Aggregated DemandResidentialBuildingSingle Attached2005Appliances
ADEMRESBDGSAT2010APL,d,Aggregated DemandResidentialBuildingSingle Attached2010Appliances
ADEMRESBDGSAT2015APL,d,Aggregated DemandResidentialBuildingSingle Attached2015Appliances
ADEMRESBDGSAT2020APL,d,Aggregated DemandResidentialBuildingSingle Attached2020Appliances
ADEMRESBDGSAT2025APL,d,Aggregated DemandResidentialBuildingSingle Attached2025Appliances
ADEMRESBDGSAT2030APL,d,Aggregated DemandResidentialBuildingSingle Attached2030Appliances
ADEMRESBDGSAT2035APL,d,Aggregated DemandResidentialBuildingSingle Attached2035Appliances
ADEMRESBDGSAT2040APL,d,Aggregated DemandResidentialBuildingSingle Attached2040Appliances
ADEMRESBDGSAT2045APL,d,Aggregated DemandResidentialBuildingSingle Attached2045Appliances
ADEMRESBDGAPA1960REF,d,Aggregated DemandResidentialBuildingApartments1960Refrigerator
ADEMRESBDGAPA1977REF,d,Aggregated DemandResidentialBuildingApartments1977Refrigerator
ADEMRESBDGAPA1983REF,d,Aggregated DemandResidentialBuildingApartments1983Refrigerator
ADEMRESBDGAPA1995REF,d,Aggregated DemandResidentialBuildingApartments1995Refrigerator
ADEMRESBDGAPA2000REF,d,Aggregated DemandResidentialBuildingApartments2000Refrigerator
ADEMRESBDGAPA2005REF,d,Aggregated DemandResidentialBuildingApartments2005Refrigerator
ADEMRESBDGAPA2010REF,d,Aggregated DemandResidentialBuildingApartments2010Refrigerator
ADEMRESBDGAPA2015REF,d,Aggregated DemandResidentialBuildingApartments2015Refrigerator
ADEMRESBDGAPA2020REF,d,Aggregated DemandResidentialBuildingApartments2020Refrigerator
ADEMRESBDGAPA2025REF,d,Aggregated DemandResidentialBuildingApartments2025Refrigerator
ADEMRESBDGAPA2030REF,d,Aggregated DemandResidentialBuildingApartments2030Refrigerator
ADEMRESBDGAPA2035REF,d,Aggregated DemandResidentialBuildingApartments2035Refrigerator
ADEMRESBDGAPA2040REF,d,Aggregated DemandResidentialBuildingApartments2040Refrigerator
ADEMRESBDGAPA2045REF,d,Aggregated DemandResidentialBuildingApartments2045Refrigerator
ADEMRESBDGSDE1960REF,d,Aggregated DemandResidentialBuildingSingle Detached1960Refrigerator
ADEMRESBDGSDE1977REF,d,Aggregated DemandResidentialBuildingSingle Detached1977Refrigerator
ADEMRESBDGSDE1983REF,d,Aggregated DemandResidentialBuildingSingle Detached1983Refrigerator
ADEMRESBDGSDE1995REF,d,Aggregated DemandResidentialBuildingSingle Detached1995Refrigerator
ADEMRESBDGSDE2000REF,d,Aggregated DemandResidentialBuildingSingle Detached2000Refrigerator
ADEMRESBDGSDE2005REF,d,Aggregated DemandResidentialBuildingSingle Detached2005Refrigerator
ADEMRESBDGSDE2010REF,d,Aggregated DemandResidentialBuildingSingle Detached2010Refrigerator
ADEMRESBDGSDE2015REF,d,Aggregated DemandResidentialBuildingSingle Detached2015Refrigerator
ADEMRESBDGSDE2020REF,d,Aggregated DemandResidentialBuildingSingle Detached2020Refrigerator
ADEMRESBDGSDE2025REF,d,Aggregated DemandResidentialBuildingSingle Detached2025Refrigerator
ADEMRESBDGSDE2030REF,d,Aggregated DemandResidentialBuildingSingle Detached2030Refrigerator
ADEMRESBDGSDE2035REF,d,Aggregated DemandResidentialBuildingSingle Detached2035Refrigerator
ADEMRESBDGSDE2040REF,d,Aggregated DemandResidentialBuildingSingle Detached2040Refrigerator
ADEMRESBDGSDE2045REF,d,Aggregated DemandResidentialBuildingSingle Detached2045Refrigerator
ADEMRESBDGSAT1960REF,d,Aggregated DemandResidentialBuildingSingle Attached1960Refrigerator
