regions,tech,vintage,exist_cap,exist_cap_units,exist_cap_notes
TO,RESBDGSDE2025SH_b,2015,10000000000,,ResidentialBuildingSingle Detached2025Space Heating
TO,RESBDGSDE2030SH_b,2015,10000000000,,ResidentialBuildingSingle Detached2030Space Heating
TO,RESBDGSDE2035SH_b,2015,10000000000,,ResidentialBuildingSingle Detached2035Space Heating
TO,RESBDGSDE2040SH_b,2015,10000000000,,ResidentialBuildingSingle Detached2040Space Heating
TO,RESBDGSDE2045SH_b,2015,10000000000,,ResidentialBuildingSingle Detached2045Space Heating
TO,RESBDGSAT1960SH_b,2015,10000000000,,ResidentialBuildingSingle Attached1960Space Heating
TO,RESBDGSAT1977SH_b,2015,10000000000,,ResidentialBuildingSingle Attached1977Space Heating
TO,RESBDGSAT1983SH_b,2015,10000000000,,ResidentialBuildingSingle Attached1983Space Heating
TO,RESBDGSAT1995SH_b,2015,10000000000,,ResidentialBuildingSingle Attached1995Space Heating
TO,RESBDGSAT2000SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2000Space Heating
TO,RESBDGSAT2005SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2005Space Heating
TO,RESBDGSAT2010SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2010Space Heating
TO,RESBDGSAT2015SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2015Space Heating
TO,RESBDGSAT2020SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2020Space Heating
TO,RESBDGSAT2025SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2025Space Heating
TO,RESBDGSAT2030SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2030Space Heating
TO,RESBDGSAT2035SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2035Space Heating
TO,RESBDGSAT2040SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2040Space Heating
TO,RESBDGSAT2045SH_b,2015,10000000000,,ResidentialBuildingSingle Attached2045Space Heating
TO,RESBDGAPA1960SC_b,2015,10000000000,,ResidentialBuildingApartments1960Space Cooling
TO,RESBDGAPA1977SC_b,2015,10000000000,,ResidentialBuildingApartments1977Space Cooling
TO,RESBDGAPA1983SC_b,2015,10000000000,,ResidentialBuildingApartments1983Space Cooling
TO,RESBDGAPA1995SC_b,2015,10000000000,,ResidentialBuildingApartments1995Space Cooling
TO,RESBDGAPA2000SC_b,2015,10000000000,,ResidentialBuildingApartments2000Space Cooling
TO,RESBDGAPA2005SC_b,2015,10000000000,,ResidentialBuildingApartments2005Space Cooling
TO,RESBDGAPA2010SC_b,2015,10000000000,,ResidentialBuildingApartments2010Space Cooling
TO,RESBDGAPA2015SC_b,2015,10000000000,,ResidentialBuildingApartments2015Space Cooling
TO,RESBDGAPA2020SC_b,2015,10000000000,,ResidentialBuildingApartments2020Space Cooling
TO,RESBDGAPA2025SC_b,2015,10000000000,,ResidentialBuildingApartments2025Space Cooling
TO,RESBDGAPA2030SC_b,2015,10000000000,,ResidentialBuildingApartments2030Space Cooling
TO,RESBDGAPA2035SC_b,2015,10000000000,,ResidentialBuildingApartments2035Space Cooling
TO,RESBDGAPA2040SC_b,2015,10000000000,,ResidentialBuildingApartments2040Space Cooling
TO,RESBDGAPA2045SC_b,2015,10000000000,,ResidentialBuildingApartments2045Space Cooling
TO,RESBDGSDE1960SC_b,2015,10000000000,,ResidentialBuildingSingle Detached1960Space Cooling
TO,RESBDGSDE1977SC_b,2015,10000000000,,ResidentialBuildingSingle Detached1977Space Cooling
TO,RESBDGSDE1983SC_b,2015,10000000000,,ResidentialBuildingSingle Detached1983Space Cooling
TO,RESBDGSDE1995SC_b,2015,10000000000,,ResidentialBuildingSingle Detached1995Space Cooling
