regions,periods,tech,group_name,max_share_g,tech_desc
TO,2050,RESBDGNGAIMP,NZ50-BDG-14-RESBDG,0.9,
TO,2050,COMBDGNGAIMP,NZ50-BDG-14-COMBDG,0.9,
TO,2050,PUBBDGNGAIMP,NZ50-BDG-14-PUBBDG,0.9,
