regions,tech,group_name,act_fraction,tech_desc
TO,COMBDGAERNewSHFUR___ESRPRO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___HIGHFO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___HIGLFO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___HIGNGA_16,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___HIGNGA_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___HIGPRO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDELC_16,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDELC_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDHFO_16,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDHFO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDKER_16,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDKER_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDLFO_16,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDLFO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDNGA_16,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDNGA_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDPRO_16,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFUR___STDPRO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFURLARSTDHH2_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFURMEDSTDHH2_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHFURSMASTDHH2_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHHEP___ESRELC_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHHEP___ESRGEO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHHEP___HIGELC_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHHEP___HIGGEO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHHEP___STDELC_16,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHHEP___STDELC_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHHEP___STDGEO_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHHEP___STDNGA_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHPLT___STDELC_16,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHPLT1000WSTDELC_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHPLT1500WSTDELC_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAERNewSHPLT500WSTDELC_23,BAP-BDG-3-COMBDGAER-TEDI,1,
TO,COMBDGAFSNewSHFUR___ESRNGA_23,BAP-BDG-3-COMBDGAFS-TEDI,1,
TO,COMBDGAFSNewSHFUR___ESRPRO_23,BAP-BDG-3-COMBDGAFS-TEDI,1,
TO,COMBDGAFSNewSHFUR___HIGHFO_23,BAP-BDG-3-COMBDGAFS-TEDI,1,
TO,COMBDGAFSNewSHFUR___HIGLFO_23,BAP-BDG-3-COMBDGAFS-TEDI,1,
TO,COMBDGAFSNewSHFUR___HIGNGA_16,BAP-BDG-3-COMBDGAFS-TEDI,1,
TO,COMBDGAFSNewSHFUR___HIGNGA_23,BAP-BDG-3-COMBDGAFS-TEDI,1,
