Marginal cost of local energy production (k$/TJ)
Period,Subsector,Energy,Marginal_Costs
2022,Passenger transportation,Electricity,40.19649561743172
2022,Public building,Bio Methane,3.140312856521809
2022,Public building,District Cooling,39.48144004834374
2022,Public building,District Heating,9.282860710282609
2022,Public building,Electricity,40.19681962174502
2022,Residential building,Bio Methane,3.1400396838230034
2022,Residential building,District Cooling,-1.6232075678799809
2022,Residential building,District Heating,40.45495230610871
2022,Residential building,Electricity,40.19689816233378
2022,Solid waste,Bio Methane,2.307907131892661
2022,Water waste,Bio Methane,2.3052636705654175
2022,Water waste,Electricity,40.196486759437065
2023,Commercial building,Bio Methane,7.994266336321359
2023,Commercial building,District Cooling,-3.536894530793298
2023,Commercial building,District Heating,-2.103908128038021
2023,Commercial building,Electricity,-3.123861484126617
2023,Freight transportation,Bio Methane,9.909732174705734
2023,Freight transportation,Electricity,20.118203785401136
2023,Industrial building,Bio Methane,10.003446859008605
2023,Industrial building,District Cooling,2.818612439890791
2023,Industrial building,District Heating,10.00052371662545
2023,Industrial building,Electricity,10.001202583760023
2023,Passenger transportation,Bio Methane,9.671557029486834
2023,Passenger transportation,Electricity,27.270121926984764
2023,Public building,Bio Methane,8.301686686694758
2023,Public building,District Cooling,2.3563407679420405
2023,Public building,District Heating,-1.8302319186578069
2023,Public building,Electricity,-3.0761527330919
2023,Public transportation,Bio Methane,9.96579300582394
2023,Public transportation,Electricity,34.851283264665426
2023,Residential building,Bio Methane,10.002924094058658
2023,Residential building,District Cooling,-21.716080105180385
2023,Residential building,District Heating,15.945122517383382
2023,Residential building,Electricity,12.67042441447534
2023,Solid waste,Bio Methane,2.8685422424105695
2023,Solid waste,Electricity,-25.53120932782218
2023,Water waste,Bio Methane,9.191050697379525
2023,Water waste,Electricity,39.7352710391352
2024,Commercial building,Bio Methane,8.132369543845906
2024,Commercial building,District Cooling,-3.378017396901481
2024,Commercial building,District Heating,-1.6695599808997903
2024,Commercial building,Electricity,-2.9878443444434564
2024,Freight transportation,Bio Methane,9.790983856627804
2024,Freight transportation,Electricity,28.981542392505855
2024,Industrial building,Bio Methane,9.864489440589654
2024,Industrial building,District Cooling,2.7795710544117433
2024,Industrial building,District Heating,9.862040064333861
2024,Industrial building,Electricity,9.862733174809733
2024,Passenger transportation,Bio Methane,9.328218723338342
2024,Passenger transportation,Electricity,26.24197527079347
2024,Public building,Bio Methane,9.753155657073817
2024,Public building,District Cooling,1.3614474809866772
2024,Public building,District Heating,0.5952060407227697
2024,Public building,Electricity,-1.094309994125654
2024,Public transportation,Bio Methane,9.842692199488953
2024,Public transportation,Electricity,36.6291706325181
2024,Residential building,Bio Methane,9.862922713485425
2024,Residential building,District Cooling,-44.25042461066584
2024,Residential building,District Heating,15.291310183106669
2024,Residential building,Electricity,12.773169554060429
2024,Solid waste,Bio Methane,2.668899498817019
2024,Solid waste,Electricity,-36.91737733142693
2024,Water waste,Bio Methane,9.07568843789899
2024,Water waste,Electricity,39.26682190558428
2025,Commercial building,Bio Methane,35.098645360214825
2025,Commercial building,District Cooling,-17.377794956663266
2025,Commercial building,District Heating,-8.712313016374893
2025,Commercial building,Electricity,-15.384343367520463
2025,Freight transportation,Bio Methane,54.99388958695652
2025,Freight transportation,Electricity,189.5511939133061
2025,Industrial building,Bio Methane,55.06100397851259
2025,Industrial building,District Cooling,15.523132967435737
2025,Industrial building,District Heating,55.058720303580024
2025,Industrial building,Electricity,55.05941786498808
2025,Long distance transportation,Electricity,174.12511513715074
2025,Passenger transportation,Bio Methane,52.26019075442332
2025,Passenger transportation,Electricity,0.30424123195257824
2025,Public building,Bio Methane,55.044679926951694
2025,Public building,District Cooling,17.225162795310805
