"Discounted and undiscounted Energy Cost breakdown, per periods. (k CAD 2016)"
vintage,sector,Cost,Cost_type,Tech_cat,Tech_type_1,Tech_type_2,Costs
2015,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Pipe,___,327527.3518511579
2015,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Substation,___,22340.616816811067
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Boiler,Large,30592.698628073736
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Deep Lake Cooling,Enwave,21595.722043843216
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Large,2530.410723108979
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Medium,3767.5476435486325
2015,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Medium,284.8369505673895
2015,Distric Thermal Energy,Discounted,FixedSubsidies,Toronto Average,Pipe,___,0.0
2015,Distric Thermal Energy,Discounted,FixedSubsidies,Toronto Average,Substation,___,0.0
2015,Distric Thermal Energy,Discounted,FixedSubsidies,Production,Boiler,Large,0.0
2015,Distric Thermal Energy,Discounted,FixedSubsidies,Production,Deep Lake Cooling,Enwave,0.0
2015,Distric Thermal Energy,Discounted,FixedSubsidies,Production,Heat Pump,Large,0.0
2015,Distric Thermal Energy,Discounted,FixedSubsidies,Production,Heat Pump,Medium,0.0
2015,Distric Thermal Energy,Discounted,FixedSubsidies,Storage,Hot Tank Storage,Medium,0.0
2015,Distric Thermal Energy,Discounted,VariableCosts,Toronto Average,Pipe,___,0.0
2015,Distric Thermal Energy,Discounted,VariableCosts,Toronto Average,Substation,___,0.0
2015,Distric Thermal Energy,Discounted,VariableCosts,Production,Boiler,Large,25415.420573661584
2015,Distric Thermal Energy,Discounted,VariableCosts,Production,Deep Lake Cooling,Enwave,0.0
2015,Distric Thermal Energy,Discounted,VariableCosts,Production,Heat Pump,Large,980.7122772068192
2015,Distric Thermal Energy,Discounted,VariableCosts,Production,Heat Pump,Medium,16.407563402776823
2015,Distric Thermal Energy,Discounted,VariableCosts,Storage,Hot Tank Storage,Medium,0.0
2015,Distric Thermal Energy,Discounted,VariableSubsidies,Toronto Average,Pipe,___,0.0
2015,Distric Thermal Energy,Discounted,VariableSubsidies,Toronto Average,Substation,___,0.0
2015,Distric Thermal Energy,Discounted,VariableSubsidies,Production,Boiler,Large,0.0
2015,Distric Thermal Energy,Discounted,VariableSubsidies,Production,Deep Lake Cooling,Enwave,0.0
2015,Distric Thermal Energy,Discounted,VariableSubsidies,Production,Heat Pump,Large,0.0
2015,Distric Thermal Energy,Discounted,VariableSubsidies,Production,Heat Pump,Medium,0.0
2015,Distric Thermal Energy,Discounted,VariableSubsidies,Storage,Hot Tank Storage,Medium,0.0
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Pipe,___,480582.93823721644
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Substation,___,32746.97613555844
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Boiler,Large,41912.263300238366
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Deep Lake Cooling,Enwave,27811.594202898545
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Large,3481.4962599413475
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Medium,4875.856363636362
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Medium,388.5043988269797
2015,Distric Thermal Energy,Undiscounted,FixedSubsidies,Toronto Average,Pipe,___,0.0
2015,Distric Thermal Energy,Undiscounted,FixedSubsidies,Toronto Average,Substation,___,0.0
2015,Distric Thermal Energy,Undiscounted,FixedSubsidies,Production,Boiler,Large,0.0
2015,Distric Thermal Energy,Undiscounted,FixedSubsidies,Production,Deep Lake Cooling,Enwave,0.0
2015,Distric Thermal Energy,Undiscounted,FixedSubsidies,Production,Heat Pump,Large,0.0
2015,Distric Thermal Energy,Undiscounted,FixedSubsidies,Production,Heat Pump,Medium,0.0
2015,Distric Thermal Energy,Undiscounted,FixedSubsidies,Storage,Hot Tank Storage,Medium,0.0
2015,Distric Thermal Energy,Undiscounted,VariableCosts,Toronto Average,Pipe,___,0.0
2015,Distric Thermal Energy,Undiscounted,VariableCosts,Toronto Average,Substation,___,0.0
2015,Distric Thermal Energy,Undiscounted,VariableCosts,Production,Boiler,Large,34004.07237214371
2015,Distric Thermal Energy,Undiscounted,VariableCosts,Production,Deep Lake Cooling,Enwave,0.0
2015,Distric Thermal Energy,Undiscounted,VariableCosts,Production,Heat Pump,Large,1256.3085914284957
2015,Distric Thermal Energy,Undiscounted,VariableCosts,Production,Heat Pump,Medium,20.181523154177697
2015,Distric Thermal Energy,Undiscounted,VariableCosts,Storage,Hot Tank Storage,Medium,0.0
2015,Distric Thermal Energy,Undiscounted,VariableSubsidies,Toronto Average,Pipe,___,0.0
2015,Distric Thermal Energy,Undiscounted,VariableSubsidies,Toronto Average,Substation,___,0.0
2015,Distric Thermal Energy,Undiscounted,VariableSubsidies,Production,Boiler,Large,0.0
2015,Distric Thermal Energy,Undiscounted,VariableSubsidies,Production,Deep Lake Cooling,Enwave,0.0
2015,Distric Thermal Energy,Undiscounted,VariableSubsidies,Production,Heat Pump,Large,0.0
2015,Distric Thermal Energy,Undiscounted,VariableSubsidies,Production,Heat Pump,Medium,0.0
2015,Distric Thermal Energy,Undiscounted,VariableSubsidies,Storage,Hot Tank Storage,Medium,0.0
2015,Trade Energy,Discounted,VariableCosts,Export,,,31899.992009517548
2015,Trade Energy,Discounted,VariableCosts,Import,,,152071955.06401068
2015,Trade Energy,Discounted,VariableSubsidies,Export,,,0.0
2015,Trade Energy,Discounted,VariableSubsidies,Import,,,0.0
2015,Trade Energy,Undiscounted,VariableCosts,Export,,,49652.88779632828
2015,Trade Energy,Undiscounted,VariableCosts,Import,,,242192553.22194317
2015,Trade Energy,Undiscounted,VariableSubsidies,Export,,,0.0
2015,Trade Energy,Undiscounted,VariableSubsidies,Import,,,0.0
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Large,5.03607120648792
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Medium,4.866569684433875
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Small,4.7902694126744425
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Large,13.95963912207625
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Medium,11.912026403134332
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Small,8.770533163481229
2023,Distric Thermal Energy,Discounted,FixedSubsidies,Storage,Hot Tank Storage,Large,0.0
2023,Distric Thermal Energy,Discounted,FixedSubsidies,Storage,Hot Tank Storage,Medium,0.0
2023,Distric Thermal Energy,Discounted,FixedSubsidies,Storage,Hot Tank Storage,Small,0.0
2023,Distric Thermal Energy,Discounted,FixedSubsidies,Storage,Pit Storage,Large,0.0
2023,Distric Thermal Energy,Discounted,FixedSubsidies,Storage,Pit Storage,Medium,0.0
2023,Distric Thermal Energy,Discounted,FixedSubsidies,Storage,Pit Storage,Small,0.0
2023,Distric Thermal Energy,Discounted,Investment,Production,Gas Turbine,Large,0.0
2023,Distric Thermal Energy,Discounted,Investment,Production,Gas Turbine,Medium,0.0
2023,Distric Thermal Energy,Discounted,Investment,Production,Gas Turbine,Small,0.0
2023,Distric Thermal Energy,Discounted,Investment,Production,Internal Combustion Engine,Large,0.0
2023,Distric Thermal Energy,Discounted,Investment,Production,Internal Combustion Engine,Medium,0.0
2023,Distric Thermal Energy,Discounted,Investment,Production,Internal Combustion Engine,Small,0.0
2023,Distric Thermal Energy,Discounted,Investment,Storage,Hot Tank Storage,Large,148.85799137135996
2023,Distric Thermal Energy,Discounted,Investment,Storage,Hot Tank Storage,Medium,149.12662337084188
2023,Distric Thermal Energy,Discounted,Investment,Storage,Hot Tank Storage,Small,149.33461585994468
2023,Distric Thermal Energy,Discounted,Investment,Storage,Pit Storage,Large,70.66048501265375
2023,Distric Thermal Energy,Discounted,Investment,Storage,Pit Storage,Medium,75.79280302761335
2023,Distric Thermal Energy,Discounted,Investment,Storage,Pit Storage,Small,82.48984524461866
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Large,8.561552600840564
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Medium,8.273392219962972
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Small,8.143678249817903
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Pit Storage,Large,22.201280301282623
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Pit Storage,Medium,18.94477606616887
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Pit Storage,Small,13.948574418819291
2023,Distric Thermal Energy,Undiscounted,FixedSubsidies,Storage,Hot Tank Storage,Large,0.0
2023,Distric Thermal Energy,Undiscounted,FixedSubsidies,Storage,Hot Tank Storage,Medium,0.0
2023,Distric Thermal Energy,Undiscounted,FixedSubsidies,Storage,Hot Tank Storage,Small,0.0
2023,Distric Thermal Energy,Undiscounted,FixedSubsidies,Storage,Pit Storage,Large,0.0
2023,Distric Thermal Energy,Undiscounted,FixedSubsidies,Storage,Pit Storage,Medium,0.0
2023,Distric Thermal Energy,Undiscounted,FixedSubsidies,Storage,Pit Storage,Small,0.0
2023,Distric Thermal Energy,Undiscounted,Investment,Production,Gas Turbine,Large,0.0
2023,Distric Thermal Energy,Undiscounted,Investment,Production,Gas Turbine,Medium,0.0
2023,Distric Thermal Energy,Undiscounted,Investment,Production,Gas Turbine,Small,0.0
2023,Distric Thermal Energy,Undiscounted,Investment,Production,Internal Combustion Engine,Large,0.0
2023,Distric Thermal Energy,Undiscounted,Investment,Production,Internal Combustion Engine,Medium,0.0
2023,Distric Thermal Energy,Undiscounted,Investment,Production,Internal Combustion Engine,Small,0.0
2023,Distric Thermal Energy,Undiscounted,Investment,Storage,Hot Tank Storage,Large,160.898143705452
2023,Distric Thermal Energy,Undiscounted,Investment,Storage,Hot Tank Storage,Medium,161.1885035958303
2023,Distric Thermal Energy,Undiscounted,Investment,Storage,Hot Tank Storage,Small,161.4133192412183
2023,Distric Thermal Energy,Undiscounted,Investment,Storage,Pit Storage,Large,76.37575092290479
2023,Distric Thermal Energy,Undiscounted,Investment,Storage,Pit Storage,Medium,81.92318867821447
2023,Distric Thermal Energy,Undiscounted,Investment,Storage,Pit Storage,Small,89.16191097391595
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Commercial,240V,40.53640043128712
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Freight,Fast,63.056491949123554
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Freight,Slow,94.88692077299646
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Public,240V,32.60529537369941
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Residential,120V,14.381555506508324
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Residential,240V,32.60529537369943
2023,Charging Station Energy,Discounted,FixedSubsidies,Charging Station,Commercial,240V,0.0
2023,Charging Station Energy,Discounted,FixedSubsidies,Charging Station,Freight,Fast,0.0
2023,Charging Station Energy,Discounted,FixedSubsidies,Charging Station,Freight,Slow,0.0
2023,Charging Station Energy,Discounted,FixedSubsidies,Charging Station,Public,240V,0.0
2023,Charging Station Energy,Discounted,FixedSubsidies,Charging Station,Residential,120V,0.0
2023,Charging Station Energy,Discounted,FixedSubsidies,Charging Station,Residential,240V,0.0
2023,Charging Station Energy,Discounted,Investment,Charging Station,Commercial,240V,82.6783020858835
2023,Charging Station Energy,Discounted,Investment,Charging Station,Freight,Fast,33.802399014819095
2023,Charging Station Energy,Discounted,Investment,Charging Station,Freight,Slow,45.22517627273965
2023,Charging Station Energy,Discounted,Investment,Charging Station,Public,240V,73.04875286249067
2023,Charging Station Energy,Discounted,Investment,Charging Station,Residential,120V,45.558749934407615
2023,Charging Station Energy,Discounted,Investment,Charging Station,Residential,240V,73.04875286249069
2023,Charging Station Energy,Undiscounted,FixedCosts,Charging Station,Commercial,240V,60.279696860606066
2023,Charging Station Energy,Undiscounted,FixedCosts,Charging Station,Freight,Fast,93.49000102152988
2023,Charging Station Energy,Undiscounted,FixedCosts,Charging Station,Freight,Slow,140.41559232921625
2023,Charging Station Energy,Undiscounted,FixedCosts,Charging Station,Public,240V,48.48573875000857
2023,Charging Station Energy,Undiscounted,FixedCosts,Charging Station,Residential,120V,21.38610722937284
2023,Charging Station Energy,Undiscounted,FixedCosts,Charging Station,Residential,240V,48.48573875000859
2023,Charging Station Energy,Undiscounted,FixedSubsidies,Charging Station,Commercial,240V,0.0
2023,Charging Station Energy,Undiscounted,FixedSubsidies,Charging Station,Freight,Fast,0.0
2023,Charging Station Energy,Undiscounted,FixedSubsidies,Charging Station,Freight,Slow,0.0
2023,Charging Station Energy,Undiscounted,FixedSubsidies,Charging Station,Public,240V,0.0
2023,Charging Station Energy,Undiscounted,FixedSubsidies,Charging Station,Residential,120V,0.0
2023,Charging Station Energy,Undiscounted,FixedSubsidies,Charging Station,Residential,240V,0.0
2023,Charging Station Energy,Undiscounted,Investment,Charging Station,Commercial,240V,89.36561086028927
2023,Charging Station Energy,Undiscounted,Investment,Charging Station,Freight,Fast,36.53645467180337
2023,Charging Station Energy,Undiscounted,Investment,Charging Station,Freight,Slow,48.883145903013144
2023,Charging Station Energy,Undiscounted,Investment,Charging Station,Public,240V,78.9571901870658
2023,Charging Station Energy,Undiscounted,Investment,Charging Station,Residential,120V,49.243700163197346
2023,Charging Station Energy,Undiscounted,Investment,Charging Station,Residential,240V,78.95719018706583
2024,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Large,0.9614541000898797
2024,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Medium,0.9291131366106156
2024,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Small,0.914554659993214
2024,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Large,2.6583899090315084
