"Discounted and Undiscounted  Costs for building sector by building types, per vintage. (k CAD 2016)"
vintage,sector,Cost,Cost_type,Archetype,NewOld,EndUse,Tech_type_1,Costs
1950,Commercial Building,Discounted,FixedCosts,"Arts, Entertainment and Recreation",Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedCosts,Accommodation and Food Services,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedCosts,Educational Services,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedCosts,Health Care and Social Assistance,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedCosts,Information and Cultural Industries,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedCosts,Offices,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedCosts,Other Services,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedCosts,Retail Trade,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedCosts,Transportation and Warehousing,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedCosts,Wholesale Trade,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,"Arts, Entertainment and Recreation",Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,Accommodation and Food Services,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,Educational Services,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,Health Care and Social Assistance,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,Information and Cultural Industries,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,Offices,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,Other Services,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,Retail Trade,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,Transportation and Warehousing,Old,Space Cooling,___,0.0
1950,Commercial Building,Discounted,FixedSubsidies,Wholesale Trade,Old,Space Cooling,___,0.0
1950,Commercial Building,Undiscounted,FixedCosts,"Arts, Entertainment and Recreation",Old,Space Cooling,___,0.0
1950,Commercial Building,Undiscounted,FixedCosts,Accommodation and Food Services,Old,Space Cooling,___,0.0
1950,Commercial Building,Undiscounted,FixedCosts,Educational Services,Old,Space Cooling,___,0.0
1950,Commercial Building,Undiscounted,FixedCosts,Health Care and Social Assistance,Old,Space Cooling,___,0.0
1950,Commercial Building,Undiscounted,FixedCosts,Information and Cultural Industries,Old,Space Cooling,___,0.0
1950,Commercial Building,Undiscounted,FixedCosts,Offices,Old,Space Cooling,___,0.0
1950,Commercial Building,Undiscounted,FixedCosts,Other Services,Old,Space Cooling,___,0.0
