regions,periods,tech,mincap,mincap_units,mincap_notes
TO,2023,PASTRABELCSTAPUB240V,0.00,MW,
TO,2023,PUBTRABELCSTAPUB240V,0.00,MW,
TO,2024,PASTRABELCSTAPUB240V,0.00,MW,
TO,2024,PUBTRABELCSTAPUB240V,0.00,MW,
TO,2025,PASTRABELCSTAPUB240V,0.00,MW,
TO,2025,PUBTRABELCSTAPUB240V,0.00,MW,
TO,2026,PASTRABELCSTAPUB240V,0.00,MW,
TO,2026,PUBTRABELCSTAPUB240V,0.00,MW,
TO,2027,PASTRABELCSTAPUB240V,0.00,MW,
TO,2027,PUBTRABELCSTAPUB240V,0.00,MW,
TO,2028,PASTRABELCSTAPUB240V,0.00,MW,
TO,2028,PUBTRABELCSTAPUB240V,0.00,MW,
TO,2029,PASTRABELCSTAPUB240V,0.00,MW,
TO,2029,PUBTRABELCSTAPUB240V,0.00,MW,
TO,2030,PASTRABELCSTAPUB240V,0.00,MW,
TO,2030,PUBTRABELCSTAPUB240V,0.00,MW,
TO,2031,PASTRABELCSTAPUB240V,0.63,MW,
TO,2031,PUBTRABELCSTAPUB240V,0.63,MW,
TO,2032,PASTRABELCSTAPUB240V,1.74,MW,
TO,2032,PUBTRABELCSTAPUB240V,1.74,MW,
TO,2033,PASTRABELCSTAPUB240V,2.84,MW,
TO,2033,PUBTRABELCSTAPUB240V,2.84,MW,
TO,2034,PASTRABELCSTAPUB240V,3.95,MW,
TO,2034,PUBTRABELCSTAPUB240V,3.95,MW,
TO,2035,PASTRABELCSTAPUB240V,5.06,MW,
TO,2035,PUBTRABELCSTAPUB240V,5.06,MW,
TO,2036,PASTRABELCSTAPUB240V,6.16,MW,
TO,2036,PUBTRABELCSTAPUB240V,6.16,MW,
TO,2037,PASTRABELCSTAPUB240V,7.27,MW,
TO,2037,PUBTRABELCSTAPUB240V,7.27,MW,
TO,2038,PASTRABELCSTAPUB240V,8.38,MW,
TO,2038,PUBTRABELCSTAPUB240V,8.38,MW,
TO,2039,PASTRABELCSTAPUB240V,9.48,MW,
TO,2039,PUBTRABELCSTAPUB240V,9.48,MW,
TO,2040,PASTRABELCSTAPUB240V,10.59,MW,
TO,2040,PUBTRABELCSTAPUB240V,10.59,MW,
TO,2041,PASTRABELCSTAPUB240V,11.70,MW,
TO,2041,PUBTRABELCSTAPUB240V,11.70,MW,
TO,2042,PASTRABELCSTAPUB240V,12.80,MW,
TO,2042,PUBTRABELCSTAPUB240V,12.80,MW,
TO,2043,PASTRABELCSTAPUB240V,13.91,MW,
TO,2043,PUBTRABELCSTAPUB240V,13.91,MW,
TO,2044,PASTRABELCSTAPUB240V,15.02,MW,
TO,2044,PUBTRABELCSTAPUB240V,15.02,MW,
TO,2045,PASTRABELCSTAPUB240V,16.12,MW,
TO,2045,PUBTRABELCSTAPUB240V,16.12,MW,
TO,2046,PASTRABELCSTAPUB240V,17.23,MW,
TO,2046,PUBTRABELCSTAPUB240V,17.23,MW,
TO,2047,PASTRABELCSTAPUB240V,18.34,MW,
TO,2047,PUBTRABELCSTAPUB240V,18.34,MW,
TO,2048,PASTRABELCSTAPUB240V,19.44,MW,
TO,2048,PUBTRABELCSTAPUB240V,19.44,MW,
TO,2049,PASTRABELCSTAPUB240V,20.55,MW,
TO,2049,PUBTRABELCSTAPUB240V,20.55,MW,
TO,2050,PASTRABELCSTAPUB240V,21.65,MW,
TO,2050,PUBTRABELCSTAPUB240V,21.65,MW,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
