regions,periods,tech,maxact,maxaxt_notes,maxact_notes
TO,2050,COMBDGAFSNewSHFUR___HIGNGA_23,0,,
TO,2050,COMBDGAFSNewSHFUR___HIGPRO_23,0,,
TO,2050,COMBDGAFSNewSHFUR___STDELC_16,0,,
TO,2050,COMBDGAFSNewSHFUR___STDELC_23,0,,
TO,2050,COMBDGAFSNewSHFUR___STDHFO_16,0,,
TO,2050,COMBDGAFSNewSHFUR___STDHFO_23,0,,
TO,2050,COMBDGAFSNewSHFUR___STDKER_16,0,,
TO,2050,COMBDGAFSNewSHFUR___STDKER_23,0,,
TO,2050,COMBDGAFSNewSHFUR___STDLFO_16,0,,
TO,2050,COMBDGAFSNewSHFUR___STDLFO_23,0,,
TO,2050,COMBDGAFSNewSHFUR___STDNGA_16,0,,
TO,2050,COMBDGAFSNewSHFUR___STDNGA_23,0,,
TO,2050,COMBDGAFSNewSHFUR___STDPRO_16,0,,
TO,2050,COMBDGAFSNewSHFUR___STDPRO_23,0,,
TO,2050,COMBDGAFSNewSHFURLARSTDHH2_23,0,,
TO,2050,COMBDGAFSNewSHFURMEDSTDHH2_23,0,,
TO,2050,COMBDGAFSNewSHFURSMASTDHH2_23,0,,
TO,2050,COMBDGAFSNewSHHEP___STDELC_16,0,,
TO,2050,COMBDGAFSNewSHHEP___STDNGA_23,0,,
TO,2050,COMBDGAFSNewSHPLT___STDELC_16,0,,
TO,2050,COMBDGAFSNewSHPLT1000WSTDELC_23,0,,
TO,2050,COMBDGAFSNewSHPLT1500WSTDELC_23,0,,
TO,2050,COMBDGAFSNewSHPLT500WSTDELC_23,0,,
TO,2050,COMBDGAFSNewWH______STDELC_16,0,,
TO,2050,COMBDGAFSNewWH______STDHFO_16,0,,
TO,2050,COMBDGAFSNewWH______STDKER_16,0,,
TO,2050,COMBDGAFSNewWH______STDLFO_16,0,,
TO,2050,COMBDGAFSNewWH______STDNGA_16,0,,
TO,2050,COMBDGAFSNewWH______STDPRO_16,0,,
TO,2050,COMBDGAFSNewWHSTHBCKSTDELC_23,0,,
TO,2050,COMBDGAFSNewWHSTHBCKSTDNGA_23,0,,
TO,2050,COMBDGAFSNewWHSYS___ESRPRO_23,0,,
TO,2050,COMBDGAFSNewWHSYS___STDBMA_23,0,,
TO,2050,COMBDGAFSNewWHSYS___STDBWP_23,0,,
TO,2050,COMBDGAFSNewWHSYS___STDHFO_23,0,,
TO,2050,COMBDGAFSNewWHSYS___STDKER_23,0,,
TO,2050,COMBDGAFSNewWHSYS___STDLFO_23,0,,
TO,2050,COMBDGAFSNewWHWTK___ESRNGA_23,0,,
TO,2050,COMBDGAFSNewWHWTK___HIGELC_23,0,,
TO,2050,COMBDGAFSNewWHWTK___HIGNGA_23,0,,
TO,2050,COMBDGAFSNewWHWTK___STDELC_23,0,,
TO,2050,COMBDGAFSNewWHWTK___STDNGA_23,0,,
TO,2050,COMBDGAFSOldSHFUR___ESRNGA_23,0,,
TO,2050,COMBDGAFSOldSHFUR___ESRPRO_23,0,,
TO,2050,COMBDGAFSOldSHFUR___HIGHFO_23,0,,
TO,2050,COMBDGAFSOldSHFUR___HIGLFO_23,0,,
TO,2050,COMBDGAFSOldSHFUR___HIGNGA_16,0,,
TO,2050,COMBDGAFSOldSHFUR___HIGNGA_23,0,,
TO,2050,COMBDGAFSOldSHFUR___HIGPRO_23,0,,
TO,2050,COMBDGAFSOldSHFUR___STDELC_16,0,,
TO,2050,COMBDGAFSOldSHFUR___STDELC_23,0,,
TO,2050,COMBDGAFSOldSHFUR___STDHFO_16,0,,
TO,2050,COMBDGAFSOldSHFUR___STDHFO_23,0,,
TO,2050,COMBDGAFSOldSHFUR___STDKER_16,0,,
TO,2050,COMBDGAFSOldSHFUR___STDKER_23,0,,
TO,2050,COMBDGAFSOldSHFUR___STDLFO_16,0,,
TO,2050,COMBDGAFSOldSHFUR___STDLFO_23,0,,
TO,2050,COMBDGAFSOldSHFUR___STDNGA_16,0,,
TO,2050,COMBDGAFSOldSHFUR___STDNGA_23,0,,
TO,2050,COMBDGAFSOldSHFUR___STDPRO_16,0,,
TO,2050,COMBDGAFSOldSHFUR___STDPRO_23,0,,
TO,2050,COMBDGAFSOldSHFURLARSTDHH2_23,0,,
TO,2050,COMBDGAFSOldSHFURMEDSTDHH2_23,0,,
