regions,periods,tech,mincap,mincap_units,mincap_notes
TO,2023,PASTRABELCSTACOM240V,0.00,MW,
TO,2024,PASTRABELCSTACOM240V,117.49,MW,
TO,2025,PASTRABELCSTACOM240V,234.97,MW,
TO,2026,PASTRABELCSTACOM240V,352.46,MW,
TO,2027,PASTRABELCSTACOM240V,469.95,MW,
TO,2028,PASTRABELCSTACOM240V,587.44,MW,
TO,2029,PASTRABELCSTACOM240V,704.92,MW,
TO,2030,PASTRABELCSTACOM240V,822.41,MW,
TO,2031,PASTRABELCSTACOM240V,939.90,MW,
TO,2032,PASTRABELCSTACOM240V,1054.09,MW,
TO,2033,PASTRABELCSTACOM240V,1168.28,MW,
TO,2034,PASTRABELCSTACOM240V,1282.47,MW,
TO,2035,PASTRABELCSTACOM240V,1396.66,MW,
TO,2036,PASTRABELCSTACOM240V,1510.86,MW,
TO,2037,PASTRABELCSTACOM240V,1625.05,MW,
TO,2038,PASTRABELCSTACOM240V,1739.24,MW,
TO,2039,PASTRABELCSTACOM240V,1853.43,MW,
TO,2040,PASTRABELCSTACOM240V,1967.62,MW,
TO,2041,PASTRABELCSTACOM240V,2081.82,MW,
TO,2042,PASTRABELCSTACOM240V,2196.01,MW,
TO,2043,PASTRABELCSTACOM240V,2310.20,MW,
TO,2044,PASTRABELCSTACOM240V,2424.39,MW,
TO,2045,PASTRABELCSTACOM240V,2538.58,MW,
TO,2046,PASTRABELCSTACOM240V,2652.78,MW,
TO,2047,PASTRABELCSTACOM240V,2766.97,MW,
TO,2048,PASTRABELCSTACOM240V,2881.16,MW,
TO,2049,PASTRABELCSTACOM240V,2995.35,MW,
TO,2050,PASTRABELCSTACOM240V,3109.54,MW,
