GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2017,CO2,Commercial,Accommodation and Food Services,Old,112318.6679215837
2017,CO2,Commercial,Educational Services,Old,281558.8017185217
2017,CO2,Commercial,Health Care and Social Assistance,Old,174725.43271103234
2017,CO2,Commercial,Information and Cultural Industries,Old,14571.417851682745
2017,CO2,Commercial,Offices,Old,987896.9124891524
2017,CO2,Commercial,Other Services,Old,114745.06072247491
2017,CO2,Commercial,Retail Trade,Old,354152.38423520117
2017,CO2,Commercial,Transportation and Warehousing,Old,62761.79970852519
2017,CO2,Commercial,Wholesale Trade,Old,223400.45031328098
2017,CO2,Industry,,,823318.7313638523
2017,CO2,Public,Hospital,Old,94948.72224486378
2017,CO2,Public,Municipality,Old,75449.40618110959
2017,CO2,Public,Post-Secondary Institution,Old,140872.0931086708
2017,CO2,Public,School board,Old,141976.9533443756
2017,CO2,Residential,Apartments,Old,1353205.4675425733
2017,CO2,Residential,Single Attached,Old,712935.6886228052
2017,CO2,Residential,Single Detached,Old,1618887.8704513723
2017,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,96887.39584968484
2017,CO2e,Commercial,Accommodation and Food Services,Old,113071.14641999941
2017,CO2e,Commercial,Educational Services,Old,283438.69668891304
2017,CO2e,Commercial,Health Care and Social Assistance,Old,175920.68633178988
2017,CO2e,Commercial,Information and Cultural Industries,Old,14670.10052233508
2017,CO2e,Commercial,Offices,Old,995433.7689507175
2017,CO2e,Commercial,Other Services,Old,115494.81967960979
2017,CO2e,Commercial,Retail Trade,Old,356475.39411524724
2017,CO2e,Commercial,Transportation and Warehousing,Old,63188.35429036031
2017,CO2e,Commercial,Wholesale Trade,Old,224911.87945700888
2017,CO2e,Industry,,,828246.9450545318
2017,CO2e,Public,Hospital,Old,95477.17245531736
2017,CO2e,Public,Municipality,Old,75902.2468664202
2017,CO2e,Public,Post-Secondary Institution,Old,141704.36324572322
2017,CO2e,Public,School board,Old,142829.36978323344
2017,CO2e,Residential,Apartments,Old,1362956.9709815045
2017,CO2e,Residential,Single Attached,Old,717900.1413028856
