"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,Sector,EndUse,Tech_type_1,Energy_cat,Efficiency,Emisions
2016,CO2,Public,Building,Space Heating,Furnace,Natural Gas,Standard,350581.6521761929
2016,CO2,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,43.44919361466822
2016,CO2,Public,Building,Water Heating,___,Kerosene,Standard,39.75263265885072
2016,CO2,Public,Building,Water Heating,___,Light Fuel Oil,Standard,77.51681253771439
2016,CO2,Public,Building,Water Heating,___,Natural Gas,Standard,48059.63525674116
2016,CO2,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,6724.050624105513
2016,CO2,Residential,Building,Range,___,Natural Gas,Standard,6845.214475799345
2016,CO2,Residential,Building,Space Heating,Furnace,Kerosene,Standard,13.468779912346385
2016,CO2,Residential,Building,Space Heating,Furnace,Light Fuel Oil,Standard,66186.66806146344
2016,CO2,Residential,Building,Space Heating,Furnace,Natural Gas,High,2066745.0274097738
2016,CO2,Residential,Building,Space Heating,Furnace,Natural Gas,Medium,743201.4477488172
2016,CO2,Residential,Building,Space Heating,Furnace,Propane,Standard,15.138390505184223
2016,CO2,Residential,Building,Water Heating,___,Kerosene,Standard,407.74260782542245
2016,CO2,Residential,Building,Water Heating,___,Light Fuel Oil,Standard,6829.924766199948
2016,CO2,Residential,Building,Water Heating,___,Natural Gas,Standard,787279.6801467462
2016,CO2,Residential,Building,Water Heating,___,Propane,Standard,590.6989230003696
2016,CO2e,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,128509.33040846656
2016,CO2e,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,117205.2438325278
2016,CO2e,Commercial,Building,Space Cooling,___,Natural Gas,Standard,6025.122241055166
2016,CO2e,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,115.2758792762901
2016,CO2e,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,105.18848972896656
2016,CO2e,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,13672.79322556327
2016,CO2e,Commercial,Building,Space Heating,Furnace,Natural Gas,High,72.70397235128141
2016,CO2e,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,1786913.051123683
2016,CO2e,Commercial,Building,Space Heating,Furnace,Propane,Standard,59358.056978219895
2016,CO2e,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,233.88068916586235
2016,CO2e,Commercial,Building,Water Heating,___,Kerosene,Standard,213.43431701517488
2016,CO2e,Commercial,Building,Water Heating,___,Light Fuel Oil,Standard,16543.265898225876
2016,CO2e,Commercial,Building,Water Heating,___,Natural Gas,Standard,285954.12337008904
2016,CO2e,Commercial,Building,Water Heating,___,Propane,Standard,6076.311397751543
2016,CO2e,Industry,Building,Industrial Processes,Self produced,Mix Energy,,631996.9381039428
2016,CO2e,Industry,Building,Space Cooling,Self produced,Mix Energy,,1469.8762036916246
2016,CO2e,Industry,Building,Space Heating,Self produced,Mix Energy,,40581.491411458584
2016,CO2e,Industry,Building,Water Heating,Self produced,Mix Energy,,153238.722423409
2016,CO2e,Public,Building,Auxiliary Equipment,___,Natural Gas,Standard,18626.220283805014
2016,CO2e,Public,Building,Space Cooling,___,Natural Gas,Standard,7993.917595010871
2016,CO2e,Public,Building,Space Heating,Furnace,Light Fuel Oil,Standard,24453.7253193846
2016,CO2e,Public,Building,Space Heating,Furnace,Natural Gas,Standard,352662.69472864724
2016,CO2e,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,43.72824034879437
2016,CO2e,Public,Building,Water Heating,___,Kerosene,Standard,39.90456231483843
2016,CO2e,Public,Building,Water Heating,___,Light Fuel Oil,Standard,77.79230271594774
2016,CO2e,Public,Building,Water Heating,___,Natural Gas,Standard,48358.78522706842
2016,CO2e,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,6763.9639902836625
2016,CO2e,Residential,Building,Range,___,Natural Gas,Standard,6885.847059819619
2016,CO2e,Residential,Building,Space Heating,Furnace,Biomass,Standard,3497.367471028175
2016,CO2e,Residential,Building,Space Heating,Furnace,Wood Pellet,Standard,4.175785226585395
2016,CO2e,Residential,Building,Space Heating,Furnace,Kerosene,Standard,13.481059670134881
2016,CO2e,Residential,Building,Space Heating,Furnace,Light Fuel Oil,Standard,66242.78127228835
2016,CO2e,Residential,Building,Space Heating,Furnace,Natural Gas,High,2079050.5779896956
2016,CO2e,Residential,Building,Space Heating,Furnace,Natural Gas,Medium,747648.3337379387
2016,CO2e,Residential,Building,Space Heating,Furnace,Propane,Standard,15.465649524950877
2016,CO2e,Residential,Building,Water Heating,___,Biomass,Standard,166.2043862552547
2016,CO2e,Residential,Building,Water Heating,___,Wood Pellet,Standard,172.97658874223166
2016,CO2e,Residential,Building,Water Heating,___,Kerosene,Standard,408.114354969316
2016,CO2e,Residential,Building,Water Heating,___,Light Fuel Oil,Standard,6835.715192482423
2016,CO2e,Residential,Building,Water Heating,___,Natural Gas,Standard,791963.2959472801
2016,CO2e,Residential,Building,Water Heating,___,Propane,Standard,603.4685467230578
2016,N2O,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,2.371953611422284
2016,N2O,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,8.17875846636169
2016,N2O,Commercial,Building,Space Cooling,___,Natural Gas,Standard,0.11504878108086258
2016,N2O,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,0.0023227423608782882
