"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2017,N2O,Industry,Space Heating,0.8080082882565275
2017,N2O,Industry,Water Heating,3.115001696194547
2017,N2O,Public,Auxiliary Equipment,0.34538402057679535
2017,N2O,Public,Space Cooling,0.20283050153562804
2017,N2O,Public,Space Heating,6.815232386283279
2017,N2O,Public,Water Heating,0.9667624356044731
2017,N2O,Residential,Clothe Dryer,0.1245915835524569
2017,N2O,Residential,Range,0.08443817715572025
2017,N2O,Residential,Space Heating,54.11614299692736
2017,N2O,Residential,Water Heating,15.232901188535296
2018,CH4,Commercial,Auxiliary Equipment,4.385335007465171
2018,CH4,Commercial,Space Cooling,0.1348674081675208
2018,CH4,Commercial,Space Heating,35.532776868471906
2018,CH4,Commercial,Water Heating,5.981893437590404
2018,CH4,Industry,Industrial Processes,12.626129166096533
2018,CH4,Industry,Space Cooling,0.028702310182683138
2018,CH4,Industry,Space Heating,0.7664062030625294
2018,CH4,Industry,Water Heating,2.930041936405532
2018,CH4,Public,Auxiliary Equipment,0.36735027837446066
2018,CH4,Public,Space Cooling,0.27506173634388786
2018,CH4,Public,Space Heating,7.199623276473451
2018,CH4,Public,Water Heating,0.9735980915239245
2018,CH4,Residential,Clothe Dryer,0.08773980063302067
2018,CH4,Residential,Range,0.08926773190192865
2018,CH4,Residential,Space Heating,210.21345632586792
2018,CH4,Residential,Water Heating,759.1434270000683
2018,CO2,Commercial,Auxiliary Equipment,244990.1346276433
2018,CO2,Commercial,Space Cooling,6283.656798177732
2018,CO2,Commercial,Space Heating,1816575.3404163078
2018,CO2,Commercial,Water Heating,304624.27660380513
2018,CO2,Industry,Industrial Processes,629786.379925627
2018,CO2,Industry,Space Cooling,1464.5935574298855
2018,CO2,Industry,Space Heating,40418.50630218892
2018,CO2,Industry,Water Heating,152603.4568182449
2018,CO2,Public,Auxiliary Equipment,18622.2161021925
2018,CO2,Public,Space Cooling,10663.014255124392
2018,CO2,Public,Space Heating,376386.8322818978
2018,CO2,Public,Water Heating,47859.985604503774
2018,CO2,Residential,Clothe Dryer,4477.1011782471105
2018,CO2,Residential,Range,4555.066968401117
2018,CO2,Residential,Space Heating,2842091.377314105
2018,CO2,Residential,Water Heating,942102.80855566
2018,CO2e,Commercial,Auxiliary Equipment,248268.24353693586
2018,CO2e,Commercial,Space Cooling,6324.507040394992
2018,CO2e,Commercial,Space Heating,1828384.1847973464
2018,CO2e,Commercial,Water Heating,306554.9792181762
2018,CO2e,Industry,Industrial Processes,633463.5742989522
2018,CO2e,Industry,Space Cooling,1473.2872544627862
2018,CO2e,Industry,Space Heating,40675.66636768046
2018,CO2e,Industry,Water Heating,153594.3340460223
2018,CO2e,Public,Auxiliary Equipment,18733.483522496485
2018,CO2e,Public,Space Cooling,10746.328209502806
2018,CO2e,Public,Space Heating,378584.38588777254
2018,CO2e,Public,Water Heating,48158.18084952325
2018,CO2e,Residential,Clothe Dryer,4503.6768524550625
2018,CO2e,Residential,Range,4582.10544060179
2018,CO2e,Residential,Space Heating,2862656.037444784
2018,CO2e,Residential,Water Heating,965896.9941248418
2018,N2O,Commercial,Auxiliary Equipment,10.691331792402073
2018,N2O,Commercial,Space Cooling,0.12757727062331584
2018,N2O,Commercial,Space Heating,37.12300693557435
2018,N2O,Commercial,Water Heating,6.057325007321978
2018,N2O,Industry,Industrial Processes,11.449817653816106
2018,N2O,Industry,Space Cooling,0.02715083395659216
2018,N2O,Industry,Space Heating,0.8089447490845941
2018,N2O,Industry,Water Heating,3.11861190306328
2018,N2O,Public,Auxiliary Equipment,0.34749350489302566
2018,N2O,Public,Space Cooling,0.26019348293690076
