periods,group_name,max_act_g,notes
2031,BAP-BDG-3-COMBDGWST-TEDI,0,
2031,BAP-BDG-3-COMBDGRTT-TEDI,0,
2031,BAP-BDG-3-COMBDGTAW-TEDI,0,
2031,BAP-BDG-3-COMBDGICI-TEDI,0,
2031,BAP-BDG-3-COMBDGOFF-TEDI,0,
2031,BAP-BDG-3-COMBDGEDS-TEDI,0,
2031,BAP-BDG-3-COMBDGHLC-TEDI,0,
2031,BAP-BDG-3-COMBDGAER-TEDI,0,
2031,BAP-BDG-3-COMBDGAFS-TEDI,0,
2031,BAP-BDG-3-COMBDGOTS-TEDI,0,
2031,BAP-BDG-3-COMBDG-TEUI,0,
2032,BAP-BDG-3-COMBDGWST-TEDI,0,
2032,BAP-BDG-3-COMBDGRTT-TEDI,0,
2032,BAP-BDG-3-COMBDGTAW-TEDI,0,
2032,BAP-BDG-3-COMBDGICI-TEDI,0,
2032,BAP-BDG-3-COMBDGOFF-TEDI,0,
2032,BAP-BDG-3-COMBDGEDS-TEDI,0,
2032,BAP-BDG-3-COMBDGHLC-TEDI,0,
2032,BAP-BDG-3-COMBDGAER-TEDI,0,
2032,BAP-BDG-3-COMBDGAFS-TEDI,0,
2032,BAP-BDG-3-COMBDGOTS-TEDI,0,
2032,BAP-BDG-3-COMBDG-TEUI,0,
2033,BAP-BDG-3-COMBDGWST-TEDI,0,
2033,BAP-BDG-3-COMBDGRTT-TEDI,0,
2033,BAP-BDG-3-COMBDGTAW-TEDI,0,
2033,BAP-BDG-3-COMBDGICI-TEDI,0,
2033,BAP-BDG-3-COMBDGOFF-TEDI,0,
2033,BAP-BDG-3-COMBDGEDS-TEDI,0,
2033,BAP-BDG-3-COMBDGHLC-TEDI,0,
2033,BAP-BDG-3-COMBDGAER-TEDI,0,
2033,BAP-BDG-3-COMBDGAFS-TEDI,0,
2033,BAP-BDG-3-COMBDGOTS-TEDI,0,
2033,BAP-BDG-3-COMBDG-TEUI,0,
2034,BAP-BDG-3-COMBDGWST-TEDI,0,
2034,BAP-BDG-3-COMBDGRTT-TEDI,0,
2034,BAP-BDG-3-COMBDGTAW-TEDI,0,
2034,BAP-BDG-3-COMBDGICI-TEDI,0,
2034,BAP-BDG-3-COMBDGOFF-TEDI,0,
2034,BAP-BDG-3-COMBDGEDS-TEDI,0,
2034,BAP-BDG-3-COMBDGHLC-TEDI,0,
2034,BAP-BDG-3-COMBDGAER-TEDI,0,
2034,BAP-BDG-3-COMBDGAFS-TEDI,0,
2034,BAP-BDG-3-COMBDGOTS-TEDI,0,
2034,BAP-BDG-3-COMBDG-TEUI,0,
2035,BAP-BDG-3-COMBDGWST-TEDI,0,
2035,BAP-BDG-3-COMBDGRTT-TEDI,0,
2035,BAP-BDG-3-COMBDGTAW-TEDI,0,
2035,BAP-BDG-3-COMBDGICI-TEDI,0,
2035,BAP-BDG-3-COMBDGOFF-TEDI,0,
2035,BAP-BDG-3-COMBDGEDS-TEDI,0,
2035,BAP-BDG-3-COMBDGHLC-TEDI,0,
2035,BAP-BDG-3-COMBDGAER-TEDI,0,
2035,BAP-BDG-3-COMBDGAFS-TEDI,0,
2035,BAP-BDG-3-COMBDGOTS-TEDI,0,
2035,BAP-BDG-3-COMBDG-TEUI,0,
2036,BAP-BDG-3-COMBDGWST-TEDI,0,
