regions,periods,tech,output_comm,TOS,to_split_notes
TO,2023,SLDWASGRBDRGASERKSTD____21,EUESLDWASGRBDRTTE,0.5932203389830455,SolidWasteGreen BinDisco RoadGasificationEnerkemStandard Efficiency
TO,2023,SLDWASGRBDRGASERKSTD____21,SLDWASCETH,0.40677966101695456,SolidWasteGreen BinDisco RoadGasificationEnerkemStandard Efficiency
TO,2023,SLDWASGRBDRADIPUBSTD____21,EUESLDWASGRBDRTTE,0.6171191250359388,SolidWasteGreen BinDisco RoadAnaerobic DigesterPublicStandard Efficiency
TO,2023,SLDWASGRBDRADIPUBSTD____21,BMTNSLDWASGRBDR,0.3828808749640612,SolidWasteGreen BinDisco RoadAnaerobic DigesterPublicStandard Efficiency
TO,2023,SLDWASGRBDRGASCENCCSHH2_21,EUESLDWASGRBDRTTE,0.5405405405405406,SolidWasteGreen BinDisco RoadGasificationCentralCarbon Capture Storage
TO,2023,SLDWASGRBDRGASCENCCSHH2_21,SLDWASHH2,0.4594594594594595,SolidWasteGreen BinDisco RoadGasificationCentralCarbon Capture Storage
TO,2023,SLDWASGRBDFGASERKSTD____21,EUESLDWASGRBDFTTE,0.5932203389830455,SolidWasteGreen BinDufferinGasificationEnerkemStandard Efficiency
TO,2023,SLDWASGRBDFGASERKSTD____21,SLDWASCETH,0.40677966101695456,SolidWasteGreen BinDufferinGasificationEnerkemStandard Efficiency
TO,2023,SLDWASGRBDFADIPUBSTD____21,EUESLDWASGRBDFTTE,0.6171191250359388,SolidWasteGreen BinDufferinAnaerobic DigesterPublicStandard Efficiency
TO,2023,SLDWASGRBDFADIPUBSTD____21,BMTNSLDWASGRBDF,0.3828808749640612,SolidWasteGreen BinDufferinAnaerobic DigesterPublicStandard Efficiency
TO,2023,SLDWASGRBDFGASCENCCSHH2_21,EUESLDWASGRBDFTTE,0.5405405405405406,SolidWasteGreen BinDufferinGasificationCentralCarbon Capture Storage
TO,2023,SLDWASGRBDFGASCENCCSHH2_21,SLDWASHH2,0.4594594594594595,SolidWasteGreen BinDufferinGasificationCentralCarbon Capture Storage
TO,2024,SLDWASGRBDRGASERKSTD____21,EUESLDWASGRBDRTTE,0.5932203389830455,SolidWasteGreen BinDisco RoadGasificationEnerkemStandard Efficiency
TO,2024,SLDWASGRBDRGASERKSTD____21,SLDWASCETH,0.40677966101695456,SolidWasteGreen BinDisco RoadGasificationEnerkemStandard Efficiency
TO,2024,SLDWASGRBDRADIPUBSTD____21,EUESLDWASGRBDRTTE,0.6171191250359388,SolidWasteGreen BinDisco RoadAnaerobic DigesterPublicStandard Efficiency
TO,2024,SLDWASGRBDRADIPUBSTD____21,BMTNSLDWASGRBDR,0.3828808749640612,SolidWasteGreen BinDisco RoadAnaerobic DigesterPublicStandard Efficiency
TO,2024,SLDWASGRBDRGASCENCCSHH2_21,EUESLDWASGRBDRTTE,0.5405405405405406,SolidWasteGreen BinDisco RoadGasificationCentralCarbon Capture Storage
TO,2024,SLDWASGRBDRGASCENCCSHH2_21,SLDWASHH2,0.4594594594594595,SolidWasteGreen BinDisco RoadGasificationCentralCarbon Capture Storage
TO,2024,SLDWASGRBDFGASERKSTD____21,EUESLDWASGRBDFTTE,0.5932203389830455,SolidWasteGreen BinDufferinGasificationEnerkemStandard Efficiency
