"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Emisions
2017,N2O,Industry,Space Heating,0.808008286832649
2017,N2O,Industry,Water Heating,3.115001691348087
2017,N2O,Public,Auxiliary Equipment,0.34539093243649394
2017,N2O,Public,Space Cooling,0.20311180443482463
2017,N2O,Public,Space Heating,6.815299479200616
2017,N2O,Public,Water Heating,0.9688452866716359
2017,N2O,Residential,Clothe Dryer,0.12461544680459867
2017,N2O,Residential,Range,0.08449373580797365
2017,N2O,Residential,Space Heating,54.12194031220233
2017,N2O,Residential,Water Heating,15.238109364861234
2018,CH4,Commercial,Auxiliary Equipment,4.386626296413536
2018,CH4,Commercial,Space Cooling,0.1351111842902794
2018,CH4,Commercial,Space Heating,35.53650918414091
2018,CH4,Commercial,Water Heating,5.987180927194202
2018,CH4,Industry,Industrial Processes,12.626129175922856
2018,CH4,Industry,Space Cooling,0.028702310015146695
2018,CH4,Industry,Space Heating,0.7664062033712444
2018,CH4,Industry,Water Heating,2.930041935862525
2018,CH4,Public,Auxiliary Equipment,0.3673629972421601
2018,CH4,Public,Space Cooling,0.27612474580084784
2018,CH4,Public,Space Heating,7.199979132205146
2018,CH4,Public,Water Heating,0.9747897877730866
2018,CH4,Residential,Clothe Dryer,0.08777964197191764
2018,CH4,Residential,Range,0.08933162127501994
2018,CH4,Residential,Space Heating,210.57039846525623
2018,CH4,Residential,Water Heating,762.7584820172013
2018,CO2,Commercial,Auxiliary Equipment,245073.5193070649
2018,CO2,Commercial,Space Cooling,6300.983964016346
2018,CO2,Commercial,Space Heating,1816928.4529269664
2018,CO2,Commercial,Water Heating,305026.8928040365
2018,CO2,Industry,Industrial Processes,629786.3800222217
2018,CO2,Industry,Space Cooling,1464.5935488809985
2018,CO2,Industry,Space Heating,40418.50632705192
2018,CO2,Industry,Water Heating,152603.45675752385
2018,CO2,Public,Auxiliary Equipment,18624.727243280173
2018,CO2,Public,Space Cooling,10738.084681489736
2018,CO2,Public,Space Heating,376439.18913055107
2018,CO2,Public,Water Heating,47930.920076747316
2018,CO2,Residential,Clothe Dryer,4479.134163323798
2018,CO2,Residential,Range,4558.327053168586
2018,CO2,Residential,Space Heating,2841792.45498064
2018,CO2,Residential,Water Heating,943146.1052483259
2018,CO2e,Commercial,Auxiliary Equipment,248352.88188110798
2018,CO2e,Commercial,Space Cooling,6341.90804402176
2018,CO2e,Commercial,Space Heating,1828739.8332941583
2018,CO2e,Commercial,Water Heating,306960.19849052874
2018,CO2e,Industry,Industrial Processes,633463.5743962722
2018,CO2e,Industry,Space Cooling,1473.287245863154
2018,CO2e,Industry,Space Heating,40675.66639212566
2018,CO2e,Industry,Water Heating,153594.33398384447
2018,CO2e,Public,Auxiliary Equipment,18735.9985160254
2018,CO2e,Public,Space Cooling,10821.720612700274
2018,CO2e,Public,Space Heating,378636.85537331045
2018,CO2e,Public,Water Heating,48229.41663969914
2018,CO2e,Residential,Clothe Dryer,4505.721905150265
2018,CO2e,Residential,Range,4585.384876942345
2018,CO2e,Residential,Space Heating,2862366.022722371
2018,CO2e,Residential,Water Heating,967034.2780569461
2018,N2O,Commercial,Auxiliary Equipment,10.695447724222797
2018,N2O,Commercial,Space Cooling,0.1278078695816147
2018,N2O,Commercial,Space Heating,37.131253940688524
2018,N2O,Commercial,Water Heating,6.065687540339702
2018,N2O,Industry,Industrial Processes,11.449817655556515
2018,N2O,Industry,Space Cooling,0.02715083379811174
2018,N2O,Industry,Space Heating,0.8089447476608554
2018,N2O,Industry,Water Heating,3.118611898212788
2018,N2O,Public,Auxiliary Equipment,0.34750553625218567
2018,N2O,Public,Space Cooling,0.2611990320426989
2018,N2O,Public,Space Heating,6.867337855647157
2018,N2O,Public,Water Heating,0.9329730785523588
2018,N2O,Residential,Clothe Dryer,0.08303479645992212
2018,N2O,Residential,Range,0.08450288498988376
2018,N2O,Residential,Space Heating,54.19996434214754
2018,N2O,Residential,Water Heating,26.41021706798246
2019,CH4,Commercial,Auxiliary Equipment,4.427393561474524
