GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2017,CO2,Commercial,"Arts, Entertainment and Recreation",Old,96276.28928989806
2017,CO2,Commercial,Accommodation and Food Services,Old,112349.65369572048
2017,CO2,Commercial,Educational Services,Old,281599.25570246176
2017,CO2,Commercial,Health Care and Social Assistance,Old,174758.98773033422
2017,CO2,Commercial,Information and Cultural Industries,Old,14588.690345430276
2017,CO2,Commercial,Offices,Old,987960.4967179716
2017,CO2,Commercial,Other Services,Old,114775.51645274792
2017,CO2,Commercial,Retail Trade,Old,354195.9774460821
2017,CO2,Commercial,Transportation and Warehousing,Old,62785.52958986485
2017,CO2,Commercial,Wholesale Trade,Old,223435.81986136764
2017,CO2,Industry,,,823318.7314157914
2017,CO2,Public,Hospital,Old,94961.76069793678
2017,CO2,Public,Municipality,Old,75469.74126139835
2017,CO2,Public,Post-Secondary Institution,Old,140883.13030865623
2017,CO2,Public,School board,Old,142004.06144397677
2017,CO2,Residential,Apartments,Old,1353296.1827999786
2017,CO2,Residential,Single Attached,Old,713001.0247070934
2017,CO2,Residential,Single Detached,Old,1618993.2677625252
2017,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,96916.38879782881
2017,CO2e,Commercial,Accommodation and Food Services,Old,113102.46356917822
2017,CO2e,Commercial,Educational Services,Old,283479.56793269195
2017,CO2e,Commercial,Health Care and Social Assistance,Old,175954.5998140374
2017,CO2e,Commercial,Information and Cultural Industries,Old,14687.550955604616
2017,CO2e,Commercial,Offices,Old,995497.8255323172
2017,CO2e,Commercial,Other Services,Old,115525.59596546179
2017,CO2e,Commercial,Retail Trade,Old,356519.4232263882
2017,CO2e,Commercial,Transportation and Warehousing,Old,63212.328520064075
2017,CO2e,Commercial,Wholesale Trade,Old,224947.65408623478
2017,CO2e,Industry,,,828246.9451052705
2017,CO2e,Public,Hospital,Old,95490.36788122139
2017,CO2e,Public,Municipality,Old,75922.74335765025
2017,CO2e,Public,Post-Secondary Institution,Old,141715.60138371884
2017,CO2e,Public,School board,Old,142856.74290383823
2017,CO2e,Residential,Apartments,Old,1363052.6307416426
2017,CO2e,Residential,Single Attached,Old,717968.575999657
2017,CO2e,Residential,Single Detached,Old,1630362.6454668676
2017,N2O,Commercial,"Arts, Entertainment and Recreation",Old,2.014862276750613
2017,N2O,Commercial,Accommodation and Food Services,Old,2.3711417397532504
2017,N2O,Commercial,Educational Services,Old,5.924446493781431
2017,N2O,Commercial,Health Care and Social Assistance,Old,3.7719804411725995
2017,N2O,Commercial,Information and Cultural Industries,Old,0.3114023610040449
2017,N2O,Commercial,Offices,Old,23.954563181373956
2017,N2O,Commercial,Other Services,Old,2.358522177007076
2017,N2O,Commercial,Retail Trade,Old,7.3111499244578795
2017,N2O,Commercial,Transportation and Warehousing,Old,1.3453720695326188
2017,N2O,Commercial,Wholesale Trade,Old,4.765176093130942
2017,N2O,Industry,,,15.386692354424342
2017,N2O,Public,Hospital,Old,1.6536685931330808
2017,N2O,Public,Municipality,Old,1.4147509316794045
2017,N2O,Public,Post-Secondary Institution,Old,2.6012578415723397
2017,N2O,Public,School board,Old,2.662970136358746
2017,N2O,Residential,Apartments,Old,25.70104156907607
2017,N2O,Residential,Single Attached,Old,13.414959273507302
2017,N2O,Residential,Single Detached,Old,30.45315801709276
2018,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.825054424208013
2018,CH4,Commercial,Accommodation and Food Services,Old,2.129497352342087
2018,CH4,Commercial,Educational Services,Old,5.334287864304893
2018,CH4,Commercial,Health Care and Social Assistance,Old,3.382244051176049
2018,CH4,Commercial,Information and Cultural Industries,Old,0.27637824200052974
2018,CH4,Commercial,Offices,Old,18.661292426260964
2018,CH4,Commercial,Other Services,Old,2.2122758686641295
2018,CH4,Commercial,Retail Trade,Old,6.787644958678294
2018,CH4,Commercial,Transportation and Warehousing,Old,1.1945976130146614
2018,CH4,Commercial,Wholesale Trade,Old,4.242154791389337
2018,CH4,Industry,,,16.35127962517177
2018,CH4,Public,Hospital,Old,1.704432525648805
2018,CH4,Public,Municipality,Old,1.5214434079432106
2018,CH4,Public,Post-Secondary Institution,Old,2.7529760874895253
2018,CH4,Public,School board,Old,2.839404641939696
2018,CH4,Residential,Apartments,Old,422.90273169764504
2018,CH4,Residential,Single Attached,Old,183.45859315775493
2018,CH4,Residential,Single Detached,Old,367.1446668903048
2018,CO2,Commercial,"Arts, Entertainment and Recreation",Old,92328.3579648617
2018,CO2,Commercial,Accommodation and Food Services,Old,108015.45080253278
2018,CO2,Commercial,Educational Services,Old,274889.42215031007
2018,CO2,Commercial,Health Care and Social Assistance,Old,173004.48594917866
2018,CO2,Commercial,Information and Cultural Industries,Old,13436.274607595387
2018,CO2,Commercial,Offices,Old,972878.8638836491
2018,CO2,Commercial,Other Services,Old,112250.35755216567
