GHG emissions from energy imports (metric ton)
t_periods,emissions_comm,Energy_imported,Emisions
2016,CO2e,Bio Methane,0.35373977746614443
2016,CO2e,Electricity,979627.4913413028
2016,CO2e,Natural Gas,112599.31618764577
2016,CO2e,Synthetic Gas,3.613114910970534
2016,CO2e,Synthetic Methane,0.012729969309949506
2017,CO2e,Bio Methane,0.4492553953578558
2017,CO2e,Electricity,989808.0441095
2017,CO2e,Natural Gas,112699.51612328384
2017,CO2e,Synthetic Gas,7.4452254419300035
2017,CO2e,Synthetic Methane,0.05509617152455632
2018,CO2e,Bio Methane,0.9419352525843795
2018,CO2e,Electricity,1004127.0940499825
2018,CO2e,Natural Gas,113550.15546664907
2018,CO2e,Synthetic Gas,13.028041857952257
2018,CO2e,Synthetic Methane,0.10422718530242228
2019,CO2e,Bio Methane,0.9445744605826332
2019,CO2e,Electricity,1009721.2755535116
2019,CO2e,Natural Gas,113915.21263261983
2019,CO2e,Synthetic Gas,16.384539056175644
2019,CO2e,Synthetic Methane,0.1425069023379192
2020,CO2e,Bio Methane,1.2375406961789872
2020,CO2e,Electricity,1003927.0823192662
2020,CO2e,Natural Gas,113884.45664520259
2020,CO2e,Synthetic Gas,21.31380492004786
2020,CO2e,Synthetic Methane,0.2914956710094679
2021,CO2e,Bio Methane,1.423033816724534
2021,CO2e,Electricity,890576.4391083102
2021,CO2e,Natural Gas,114066.38283976729
2021,CO2e,Synthetic Gas,26.81522718947622
2021,CO2e,Synthetic Methane,0.4988926685302043
2022,CO2e,Bio Methane,1.5561461020880478
2022,CO2e,Electricity,981153.7273654705
2022,CO2e,Natural Gas,114381.46327376466
2022,CO2e,Synthetic Gas,30.697552492248544
2022,CO2e,Synthetic Methane,0.5317051394704798
2023,CO2e,Bio Methane,304.4794459296057
2023,CO2e,Electricity,1366228.265773114
2023,CO2e,Natural Gas,107149.74698900203
2023,CO2e,Synthetic Gas,29.330217205758252
2023,CO2e,Synthetic Methane,0.6327834471341115
2024,CO2e,Bio Methane,258.99252418966006
2024,CO2e,Electricity,1364796.1714335263
2024,CO2e,Natural Gas,106817.11192341069
2024,CO2e,Synthetic Gas,31.86300398758494
2024,CO2e,Synthetic Methane,0.6360118743355343
2025,CO2e,Bio Methane,251.5456038102051
2025,CO2e,Electricity,1721046.8293058325
2025,CO2e,Natural Gas,106444.72979356133
2025,CO2e,Synthetic Gas,15.664990751560685
2025,CO2e,Synthetic Methane,0.5793436935024895
2030,CO2e,Bio Methane,254.59203037896017
2030,CO2e,Electricity,1550806.0310079153
2030,CO2e,Natural Gas,105381.40510627627
2030,CO2e,Synthetic Gas,21.09243893787445
2030,CO2e,Synthetic Methane,0.557999048114549
2035,CO2e,Bio Methane,46.47149187910807
2035,CO2e,Electricity,1400789.1781186974
2035,CO2e,Natural Gas,103236.83635010048
2035,CO2e,Synthetic Gas,14.4903667422248
2035,CO2e,Synthetic Methane,0.4918404075035168
2040,CO2e,Bio Methane,1.4850484586009045
2040,CO2e,Electricity,1494017.2119679712
2040,CO2e,Natural Gas,99759.62565264801
2040,CO2e,Synthetic Gas,10.610740431366162
2040,CO2e,Synthetic Methane,0.4541186726754217
2045,CO2e,Bio Methane,2.620766649032287
2045,CO2e,Electricity,1388065.604093167
2045,CO2e,Natural Gas,97025.75732284869
2045,CO2e,Synthetic Gas,14.38589640441321
2045,CO2e,Synthetic Methane,0.4206714064393637
2050,CO2e,Bio Methane,54.70174787576706
2050,CO2e,Electricity,1378178.1956393123
2050,CO2e,Natural Gas,97825.12576594786
2050,CO2e,Synthetic Gas,28.86987427962716
2050,CO2e,Synthetic Methane,0.45933566561531114
