"Buildin sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,Sector,EndUse,Tech_type_1,Energy_cat,Efficiency,Emisions
2016,CH4,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,2.5077637251282816
2016,CH4,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,1.8179153925820664
2016,CH4,Commercial,Building,Space Cooling,___,Natural Gas,Standard,0.12169568176329809
2016,CH4,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,0.0021568096893778144
2016,CH4,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,0.0011100894516204124
2016,CH4,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.1291685054275041
2016,CH4,Commercial,Building,Space Heating,Furnace,Natural Gas,High,0.0032210032283247728
2016,CH4,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,35.16907782116188
2016,CH4,Commercial,Building,Space Heating,Furnace,Propane,Standard,0.9210551058705257
2016,CH4,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.004357903290501902
2016,CH4,Commercial,Building,Water Heating,___,Kerosene,Standard,0.0022421591937006663
2016,CH4,Commercial,Building,Water Heating,___,Light Fuel Oil,Standard,0.15610292364024653
2016,CH4,Commercial,Building,Water Heating,___,Natural Gas,Standard,5.60298176466786
2016,CH4,Commercial,Building,Water Heating,___,Propane,Standard,0.09465925603576672
2016,CH4,Industry,Building,Industrial Processes,Self produced,Mix Energy,,12.596896337905465
2016,CH4,Industry,Building,Space Cooling,Self produced,Mix Energy,,0.028635856554414765
2016,CH4,Industry,Building,Space Heating,Self produced,Mix Energy,,0.7646317697281245
2016,CH4,Industry,Building,Water Heating,Self produced,Mix Energy,,2.9232581116125966
2016,CH4,Public,Building,Auxiliary Equipment,___,Natural Gas,Standard,0.36298794976323867
2016,CH4,Public,Building,Space Cooling,___,Natural Gas,Standard,0.19788692257725152
2016,CH4,Public,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.23012959548016326
2016,CH4,Public,Building,Space Heating,Furnace,Natural Gas,Standard,6.870582369649904
2016,CH4,Public,Building,Water Heating,___,Heavy Fuel Oil,Standard,0.00048728928610344336
2016,CH4,Public,Building,Water Heating,___,Kerosene,Standard,0.0002507036075431267
2016,CH4,Public,Building,Water Heating,___,Light Fuel Oil,Standard,0.00042376921297092546
2016,CH4,Public,Building,Water Heating,___,Natural Gas,Standard,0.9893604230003056
2016,CH4,Residential,Building,Clothe Dryer,___,Natural Gas,Standard,0.13177533569992034
2016,CH4,Residential,Building,Range,___,Natural Gas,Standard,0.13414880773636984
2016,CH4,Residential,Building,Space Heating,Furnace,Biomass,Standard,145.87821561484915
2016,CH4,Residential,Building,Space Heating,Furnace,Wood Pellet,Standard,0.18902601980270994
2016,CH4,Residential,Building,Space Heating,Furnace,Kerosene,Standard,0.0001417035910856651
2016,CH4,Residential,Building,Space Heating,Furnace,Light Fuel Oil,Standard,0.6255197312717095
2016,CH4,Residential,Building,Space Heating,Furnace,Natural Gas,High,40.62796815779133
2016,CH4,Residential,Building,Space Heating,Furnace,Natural Gas,Medium,14.682576786465292
2016,CH4,Residential,Building,Space Heating,Furnace,Propane,Standard,0.0002849412739077295
2016,CH4,Residential,Building,Water Heating,___,Biomass,Standard,7.00908753928382
2016,CH4,Residential,Building,Water Heating,___,Wood Pellet,Standard,7.2856578295499
2016,CH4,Residential,Building,Water Heating,___,Kerosene,Standard,0.00430041266569961
2016,CH4,Residential,Building,Water Heating,___,Light Fuel Oil,Standard,0.06472351176071924
2016,CH4,Residential,Building,Water Heating,___,Natural Gas,Standard,15.46369808411503
2016,CH4,Residential,Building,Water Heating,___,Propane,Standard,0.010787408408177566
2016,CO2,Commercial,Building,Auxiliary Equipment,___,Natural Gas,Standard,127761.28365659992
2016,CO2,Commercial,Building,Auxiliary Equipment,___,Propane,Standard,114755.9091071073
2016,CO2,Commercial,Building,Space Cooling,___,Natural Gas,Standard,5990.26378609252
2016,CO2,Commercial,Building,Space Heating,Furnace,Heavy Fuel Oil,Standard,119.41918891428219
2016,CO2,Commercial,Building,Space Heating,Furnace,Kerosene,Standard,109.30115189924642
2016,CO2,Commercial,Building,Space Heating,Furnace,Light Fuel Oil,Standard,13676.957651256384
2016,CO2,Commercial,Building,Space Heating,Furnace,Natural Gas,High,74.60909906061879
2016,CO2,Commercial,Building,Space Heating,Furnace,Natural Gas,Standard,1776320.4595510704
2016,CO2,Commercial,Building,Space Heating,Furnace,Propane,Standard,58141.602991987405
2016,CO2,Commercial,Building,Water Heating,___,Heavy Fuel Oil,Standard,241.29030896033566
