"Waste sector GHG emissions per subsector, per end use, per period (metric ton)"
t_periods,emissions_comm,Sub,EndUse,Treatment_Plant,Tech_type_1,Emisions
2016,CO2e,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,451.90767114523715
2016,N2O,Solid,Green Bin,Compost,Leaking,45.90498502079618
2016,N2O,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,5.3179026715801985e-06
2016,N2O,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Process,38.00723668979233
2016,N2O,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,4.9651391855392824e-06
2016,N2O,Water,Waste water,Humber Wastewater Treatment Plant,Process,13.908507648851412
2016,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,5.305107459961376e-06
2016,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,37.09543532720152
2016,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Process,11.31604638106962
2016,N2O,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,1.516468695118245
2017,CH4,Solid,Green Bin,Compost,Leaking,679.8732724414382
2017,CH4,Solid,Green Bin,Dufferin,Anaerobic Digester,22.991444272302722
2017,CH4,Solid,Green Bin,Disco Road,Anaerobic Digester,137.5272851560894
2017,CH4,Solid,Green Bin,Disco Road,Flaring,5.611357788320838
2017,CH4,Solid,Landfill,MI - Arbor Hills,Biogas capture,1897.6254013672467
2017,CH4,Solid,Landfill,MI - Arbor Hills,Flaring,35.241614596820334
2017,CH4,Solid,Landfill,Beare Rd,Biogas capture,2677.085819637965
2017,CH4,Solid,Landfill,Beare Rd,Flaring,49.717308078990825
2017,CH4,Solid,Landfill,Brock West,Leaking,21506.7104387221
2017,CH4,Solid,Landfill,MI - Carleton farms,Biogas capture,5819.007634759436
2017,CH4,Solid,Landfill,MI - Carleton farms,Flaring,87.28511452139159
2017,CH4,Solid,Landfill,Green Lane,Biogas capture,4628.246773017073
2017,CH4,Solid,Landfill,Green Lane,Flaring,138.84740319051227
2017,CH4,Solid,Landfill,Keele Valley,Biogas capture,25594.972901004363
2017,CH4,Solid,Landfill,Keele Valley,Flaring,197.05864091923735
2017,CH4,Solid,Landfill,Thackeray,Leaking,1456.8136042179322
2017,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,0.781604318605326
2017,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,3.110344462890536e-05
2017,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,0.35082444922446776
2017,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,3.1077133252068424e-05
2017,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,0.1633441580766041
2017,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,3.1026570058024755e-05
2017,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,1.4975369706947061
2017,CO2,Solid,Green Bin,Dufferin,Anaerobic Digester,53.32718730735867
2017,CO2,Solid,Green Bin,Disco Road,Anaerobic Digester,94.99022473003248
2017,CO2,Water,Fresh water,F.J Horgan Water Treatment Plant,Process,30328.220277771103
2017,CO2,Water,Fresh water,R.C. Harris Water Treatment Plant,Process,29749.595798914957
2017,CO2,Water,Fresh water,R.L. Clark Water Treatment Plant,Process,18264.03272374838
2017,CO2,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,12718.167771806038
2017,CO2,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,2899.333387656046
2017,CO2,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,2657.915722202743
2017,CO2,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,17817.90559345543
2017,CO2,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,1782.8312120387989
2017,CO2e,Solid,Green Bin,Compost,Leaking,29472.506360336345
2017,CO2e,Solid,Green Bin,Dufferin,Anaerobic Digester,536.1475170257156
2017,CO2e,Solid,Green Bin,Disco Road,Anaerobic Digester,2983.0632130079093
2017,CO2e,Solid,Green Bin,Disco Road,Flaring,117.8385135547376
2017,CO2e,Solid,Landfill,MI - Arbor Hills,Biogas capture,39850.13342871219
2017,CO2e,Solid,Landfill,MI - Arbor Hills,Flaring,740.073906533227
2017,CO2e,Solid,Landfill,Beare Rd,Biogas capture,56218.80221239729
2017,CO2e,Solid,Landfill,Beare Rd,Flaring,1044.0634696588074
2017,CO2e,Solid,Landfill,Brock West,Leaking,451640.9192131643
2017,CO2e,Solid,Landfill,MI - Carleton farms,Biogas capture,122199.16032994816
2017,CO2e,Solid,Landfill,MI - Carleton farms,Flaring,1832.9874049492237
2017,CO2e,Solid,Landfill,Green Lane,Biogas capture,97193.18223335852
2017,CO2e,Solid,Landfill,Green Lane,Flaring,2915.795467000759
2017,CO2e,Solid,Landfill,Keele Valley,Biogas capture,537494.4309210918
2017,CO2e,Solid,Landfill,Keele Valley,Flaring,4138.2314593039855
2017,CO2e,Solid,Landfill,Thackeray,Leaking,30593.085688576575
2017,CO2e,Water,Fresh water,F.J Horgan Water Treatment Plant,Process,560.2499053068657
2017,CO2e,Water,Fresh water,Island Water Treatment Plant,Process,308.1613693482878
2017,CO2e,Water,Fresh water,R.C. Harris Water Treatment Plant,Process,215.14064920514923
2017,CO2e,Water,Fresh water,R.L. Clark Water Treatment Plant,Process,735.25995544128
2017,CO2e,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,12734.58146249675
2017,CO2e,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,0.002477972554279105
2017,CO2e,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Process,11403.159827931771
2017,CO2e,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,2906.70070108976
2017,CO2e,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,0.002356134489703652
2017,CO2e,Water,Waste water,Humber Wastewater Treatment Plant,Process,4172.914147433283
2017,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,2661.3459495223515
2017,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,0.00247184805331026
2017,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,28978.949577951593
2017,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Process,3395.108319962914
2017,CO2e,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,454.9800621001524
2017,N2O,Solid,Green Bin,Compost,Leaking,50.99049543310785
2017,N2O,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,6.123490661315745e-06
2017,N2O,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Process,38.26563700648247
2017,N2O,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,5.716492253054413e-06
2017,N2O,Water,Waste water,Humber Wastewater Treatment Plant,Process,14.003067608836512
2017,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,6.108355980173624e-06
2017,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,37.34763660440124
2017,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Process,11.392980939472862
2017,N2O,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,1.5267787318797064
2018,CH4,Solid,Green Bin,Compost,Leaking,707.368650730987
2018,CH4,Solid,Green Bin,Dufferin,Anaerobic Digester,25.823004719730957
2018,CH4,Solid,Green Bin,Disco Road,Anaerobic Digester,137.1070941172302
2018,CH4,Solid,Green Bin,Disco Road,Flaring,0.08635553519233853
2018,CH4,Solid,Landfill,MI - Arbor Hills,Biogas capture,1814.125105169613
2018,CH4,Solid,Landfill,MI - Arbor Hills,Flaring,33.69089481029284
2018,CH4,Solid,Landfill,Beare Rd,Biogas capture,2559.2873022249946
2018,CH4,Solid,Landfill,Beare Rd,Flaring,47.529621327035656
2018,CH4,Solid,Landfill,Brock West,Leaking,20560.361021931974
2018,CH4,Solid,Landfill,MI - Carleton farms,Biogas capture,5562.956645597604
2018,CH4,Solid,Landfill,MI - Carleton farms,Flaring,83.44434968396409
2018,CH4,Solid,Landfill,Green Lane,Biogas capture,4974.115918787773
2018,CH4,Solid,Landfill,Green Lane,Flaring,149.22347756363328
2018,CH4,Solid,Landfill,Keele Valley,Biogas capture,24468.7296409466
2018,CH4,Solid,Landfill,Keele Valley,Flaring,188.387564492244
2018,CH4,Solid,Landfill,Thackeray,Leaking,1392.7101371325448
2018,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,0.7867089579751458
2018,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,3.365367788529849e-05
2018,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,0.3530698159400463
2018,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,3.362268897707549e-05
2018,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,0.1643499561934368
2018,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,3.3560790908615026e-05
2018,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,1.5074871623513066
2018,CO2,Solid,Green Bin,Dufferin,Anaerobic Digester,71.05445658556373
2018,CO2,Solid,Green Bin,Disco Road,Anaerobic Digester,142.82839195056926
2018,CO2,Water,Fresh water,F.J Horgan Water Treatment Plant,Process,30572.29266675159
2018,CO2,Water,Fresh water,R.C. Harris Water Treatment Plant,Process,29989.01159223579
2018,CO2,Water,Fresh water,R.L. Clark Water Treatment Plant,Process,18411.01616222689
2018,CO2,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,12801.229825551827
2018,CO2,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,2917.8898671157867
2018,CO2,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,2674.28194343508
2018,CO2,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,17936.294373861874
2018,CO2,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,1794.677002965096
2018,CO2e,Solid,Green Bin,Compost,Leaking,30664.431009188294
2018,CO2e,Solid,Green Bin,Dufferin,Anaerobic Digester,613.3375556999138
2018,CO2e,Solid,Green Bin,Disco Road,Anaerobic Digester,3022.0773684124033
2018,CO2e,Solid,Green Bin,Disco Road,Flaring,1.8134662390391088
2018,CO2e,Solid,Landfill,MI - Arbor Hills,Biogas capture,38096.62720856189
2018,CO2e,Solid,Landfill,MI - Arbor Hills,Flaring,707.5087910161499
2018,CO2e,Solid,Landfill,Beare Rd,Biogas capture,53745.03334672491
2018,CO2e,Solid,Landfill,Beare Rd,Flaring,998.1220478677492
2018,CO2e,Solid,Landfill,Brock West,Leaking,431767.5814605715
2018,CO2e,Solid,Landfill,MI - Carleton farms,Biogas capture,116822.08955754968
2018,CO2e,Solid,Landfill,MI - Carleton farms,Flaring,1752.3313433632463
2018,CO2e,Solid,Landfill,Green Lane,Biogas capture,104456.43429454326
2018,CO2e,Solid,Landfill,Green Lane,Flaring,3133.6930288362996
2018,CO2e,Solid,Landfill,Keele Valley,Biogas capture,513843.3224598788
2018,CO2e,Solid,Landfill,Keele Valley,Flaring,3956.138854337123
2018,CO2e,Solid,Landfill,Thackeray,Leaking,29246.91287978345
2018,CO2e,Water,Fresh water,F.J Horgan Water Treatment Plant,Process,564.758627929154
2018,CO2e,Water,Fresh water,Island Water Treatment Plant,Process,310.6413593025863
2018,CO2e,Water,Fresh water,R.C. Harris Water Treatment Plant,Process,216.8720364001871
2018,CO2e,Water,Fresh water,R.L. Clark Water Treatment Plant,Process,741.177106274752
2018,CO2e,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,12817.75071366931
2018,CO2e,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,0.002681146450024375
2018,CO2e,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Process,11478.926646297925
2018,CO2e,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,2925.3043332505285
2018,CO2e,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,0.002549127568907717
2018,CO2e,Water,Waste water,Humber Wastewater Treatment Plant,Process,4200.640534914862
2018,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,2677.7332925151413
2018,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,0.002673746260700723
2018,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,29171.496478595927
2018,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Process,3417.6666776850857
2018,CO2e,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,458.003118155531
2018,N2O,Solid,Green Bin,Compost,Leaking,53.05264880482402
2018,N2O,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,6.625567833668141e-06
2018,N2O,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Process,38.51988807482526
2018,N2O,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,6.184735236205142e-06
2018,N2O,Water,Waste water,Humber Wastewater Treatment Plant,Process,14.096109177566648
2018,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,6.607280710133582e-06
2018,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,37.595788168874776
2018,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Process,11.468680126460018
2018,N2O,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,1.536923215287017
2019,CH4,Solid,Green Bin,Compost,Leaking,661.6906577812296
2019,CH4,Solid,Green Bin,Dufferin,Anaerobic Digester,118.64978180048945
2019,CH4,Solid,Green Bin,Disco Road,Anaerobic Digester,137.27778482907567
2019,CH4,Solid,Green Bin,Disco Road,Flaring,0.1148431073487344
2019,CH4,Solid,Landfill,MI - Arbor Hills,Biogas capture,1734.2990322723572
2019,CH4,Solid,Landfill,MI - Arbor Hills,Flaring,32.2084105993438
2019,CH4,Solid,Landfill,Beare Rd,Biogas capture,2446.6722162145225
2019,CH4,Solid,Landfill,Beare Rd,Flaring,45.43819830112689
2019,CH4,Solid,Landfill,Brock West,Leaking,19655.653362546393
2019,CH4,Solid,Landfill,MI - Carleton farms,Biogas capture,5318.172544738018
2019,CH4,Solid,Landfill,MI - Carleton farms,Flaring,79.7725881710703
2019,CH4,Solid,Landfill,Green Lane,Biogas capture,5316.698999461953
2019,CH4,Solid,Landfill,Green Lane,Flaring,159.50096998385868
2019,CH4,Solid,Landfill,Keele Valley,Biogas capture,23392.043920399887
2019,CH4,Solid,Landfill,Keele Valley,Flaring,180.09803726325595
2019,CH4,Solid,Landfill,Thackeray,Leaking,1331.427384022145
2019,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,0.7920300731852747
2019,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,3.4853992479873865e-05
2019,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,0.3554178685000003
2019,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,3.482027665789933e-05
2019,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,0.16540798450959962
2019,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,3.4751169053165516e-05
2019,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,1.5178338137427811
2019,CO2,Solid,Green Bin,Dufferin,Anaerobic Digester,150.96235056482425
2019,CO2,Solid,Green Bin,Disco Road,Anaerobic Digester,138.00986608142668
2019,CO2,Water,Fresh water,F.J Horgan Water Treatment Plant,Process,30826.09000411465
2019,CO2,Water,Fresh water,R.C. Harris Water Treatment Plant,Process,30237.96679409837
2019,CO2,Water,Fresh water,R.L. Clark Water Treatment Plant,Process,18563.856085978627
2019,CO2,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,12887.814347111644
2019,CO2,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,2937.294977558047
2019,CO2,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,2691.4980479421415
2019,CO2,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,18059.400287979075
2019,CO2,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,1806.9947836923377
2019,CO2e,Solid,Green Bin,Compost,Leaking,28684.29001481631
2019,CO2e,Solid,Green Bin,Dufferin,Anaerobic Digester,2642.607768375102
2019,CO2e,Solid,Green Bin,Disco Road,Anaerobic Digester,3020.8433474920153
2019,CO2e,Solid,Green Bin,Disco Road,Flaring,2.4117052543234223
2019,CO2e,Solid,Landfill,MI - Arbor Hills,Biogas capture,36420.2796777195
2019,CO2e,Solid,Landfill,MI - Arbor Hills,Flaring,676.3766225862199
2019,CO2e,Solid,Landfill,Beare Rd,Biogas capture,51380.11654050498
2019,CO2e,Solid,Landfill,Beare Rd,Flaring,954.2021643236652
2019,CO2e,Solid,Landfill,Brock West,Leaking,412768.7206134743
2019,CO2e,Solid,Landfill,MI - Carleton farms,Biogas capture,111681.62343949836
2019,CO2e,Solid,Landfill,MI - Carleton farms,Flaring,1675.2243515924772
2019,CO2e,Solid,Landfill,Green Lane,Biogas capture,111650.678988701
2019,CO2e,Solid,Landfill,Green Lane,Flaring,3349.520369661033
2019,CO2e,Solid,Landfill,Keele Valley,Biogas capture,491232.9223283979
2019,CO2e,Solid,Landfill,Keele Valley,Flaring,3782.058782528377
2019,CO2e,Solid,Landfill,Thackeray,Leaking,27959.97506446503
2019,CO2e,Water,Fresh water,F.J Horgan Water Treatment Plant,Process,569.4469984604847
2019,CO2e,Water,Fresh water,Island Water Treatment Plant,Process,313.22016327788333
2019,CO2e,Water,Fresh water,R.C. Harris Water Treatment Plant,Process,218.67240989468877
2019,CO2e,Water,Fresh water,R.L. Clark Water Treatment Plant,Process,747.3300231701372
2019,CO2e,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,12904.446978648535
2019,CO2e,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,0.0027767740133809514
2019,CO2e,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Process,11557.712357457294
2019,CO2e,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,2944.7587527965475
2019,CO2e,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,0.0026399235125472557
2019,CO2e,Water,Waste water,Humber Wastewater Treatment Plant,Process,4229.471667399091
2019,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,2694.971615616843
2019,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,0.0027685821995043795
2019,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,29371.715301130294
2019,CO2e,Water,Waste water,Highland Creek Waterwater Treatment Plant,Process,3441.1238624273487
2019,CO2e,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,461.1466264149627
2019,N2O,Solid,Green Bin,Compost,Leaking,49.62679933359222
2019,N2O,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,6.861879769475168e-06
2019,N2O,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Process,38.78426965589696
2019,N2O,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,6.405025848091846e-06
2019,N2O,Water,Waste water,Humber Wastewater Treatment Plant,Process,14.192857944292252
2019,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,6.8416364073419585e-06
2019,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,37.853827191485315
2019,N2O,Water,Waste water,Highland Creek Waterwater Treatment Plant,Process,11.547395511501168
2019,N2O,Water,Waste water,North Toronto Wastewater Treatment Plant,Process,1.547471900721351
2020,CH4,Solid,Green Bin,Compost,Leaking,685.1103085970533
2020,CH4,Solid,Green Bin,Dufferin,Anaerobic Digester,112.4996884138483
2020,CH4,Solid,Green Bin,Disco Road,Anaerobic Digester,134.39546000656347
2020,CH4,Solid,Green Bin,Disco Road,Flaring,0.1466479712353315
2020,CH4,Solid,Landfill,MI - Arbor Hills,Biogas capture,1657.9855075979556
2020,CH4,Solid,Landfill,MI - Arbor Hills,Flaring,30.791159426819203
2020,CH4,Solid,Landfill,Beare Rd,Biogas capture,2339.012477572093
2020,CH4,Solid,Landfill,Beare Rd,Flaring,43.43880315491033
2020,CH4,Solid,Landfill,Brock West,Leaking,18790.755118378653
2020,CH4,Solid,Landfill,MI - Carleton farms,Biogas capture,5084.159560723474
2020,CH4,Solid,Landfill,MI - Carleton farms,Flaring,76.26239341085214
2020,CH4,Solid,Landfill,Green Lane,Biogas capture,5603.998912746959
2020,CH4,Solid,Landfill,Green Lane,Flaring,168.1199673824089
2020,CH4,Solid,Landfill,Keele Valley,Biogas capture,22362.735082831565
2020,CH4,Solid,Landfill,Keele Valley,Flaring,172.17327010675646
2020,CH4,Solid,Landfill,Thackeray,Leaking,1272.8412263688017
2020,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Anaerobic Digester,0.7972268353527187
2020,CH4,Water,Waste water,Ahsbridges Bay Wastewater Treatment Plant,Flaring,3.390335317516637e-05
2020,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Anaerobic Digester,0.35771830730189247
2020,CH4,Water,Waste water,Humber Wastewater Treatment Plant,Flaring,3.3870905921051025e-05
2020,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Anaerobic Digester,0.1664514014220769
2020,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Flaring,3.380411550864194e-05
2020,CH4,Water,Waste water,Highland Creek Waterwater Treatment Plant,Incineration,1.527909401764954
2020,CO2,Solid,Green Bin,Dufferin,Anaerobic Digester,176.38777884449348
2020,CO2,Solid,Green Bin,Disco Road,Anaerobic Digester,162.67636624773863
2020,CO2,Water,Fresh water,F.J Horgan Water Treatment Plant,Process,31073.238305878614
