regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,R,P2,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,R,P2,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,R,P2,FRETRAROATRUMETCONVDSL_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,R,P2,FRETRAROATRUHETCONVDSL_EX,0.11713140702021627,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,R,P2,FRETRAAIR_________ATF_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Turbo Fuel
TO,R,P2,FRETRAAIR_________AGA_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Gasoline
TO,R,P2,FRETRARAI_________DSL_EX,0.2828077774659144,Freight TransportationTransportationRailDiesel
TO,R,P2,FRETRAMAR_________ALL_EX,3.80517503805175e-06,Freight TransportationTransportationMarineAll
TO,F,D,FRETRAROATRULGTCONVGAS_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,F,D,FRETRAROATRULGTCONVPRO_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,F,D,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,F,D,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,F,D,FRETRAROATRUMETCONVDSL_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,F,D,FRETRAROATRUHETCONVDSL_EX,0.11713140702021627,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,F,D,FRETRAAIR_________ATF_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Turbo Fuel
TO,F,D,FRETRAAIR_________AGA_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Gasoline
TO,F,D,FRETRARAI_________DSL_EX,0.2828077774659144,Freight TransportationTransportationRailDiesel
TO,F,D,FRETRAMAR_________ALL_EX,3.80517503805175e-06,Freight TransportationTransportationMarineAll
TO,F,N,FRETRAROATRULGTCONVGAS_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,F,N,FRETRAROATRULGTCONVPRO_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,F,N,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,F,N,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,F,N,FRETRAROATRUMETCONVDSL_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,F,N,FRETRAROATRUHETCONVDSL_EX,0.11713140702021627,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,F,N,FRETRAAIR_________ATF_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Turbo Fuel
TO,F,N,FRETRAAIR_________AGA_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Gasoline
TO,F,N,FRETRARAI_________DSL_EX,0.2828077774659144,Freight TransportationTransportationRailDiesel
TO,F,N,FRETRAMAR_________ALL_EX,3.80517503805175e-06,Freight TransportationTransportationMarineAll
TO,F,P1,FRETRAROATRULGTCONVGAS_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,F,P1,FRETRAROATRULGTCONVPRO_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,F,P1,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,F,P1,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,F,P1,FRETRAROATRUMETCONVDSL_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,F,P1,FRETRAROATRUHETCONVDSL_EX,0.11713140702021627,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,F,P1,FRETRAAIR_________ATF_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Turbo Fuel
TO,F,P1,FRETRAAIR_________AGA_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Gasoline
TO,F,P1,FRETRARAI_________DSL_EX,0.2828077774659144,Freight TransportationTransportationRailDiesel
TO,F,P1,FRETRAMAR_________ALL_EX,3.80517503805175e-06,Freight TransportationTransportationMarineAll
TO,F,P2,FRETRAROATRULGTCONVGAS_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalGasoline
TO,F,P2,FRETRAROATRULGTCONVPRO_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalPropane
TO,F,P2,FRETRAROATRULGTCONVDSL_EX,0.012179079499968876,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel
TO,F,P2,FRETRAROATRUMETCONVGAS_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalGasoline
TO,F,P2,FRETRAROATRUMETCONVDSL_EX,0.017155576019927322,Freight TransportationTransportationRoadTruckMedium TrucksConventionnalDiesel
TO,F,P2,FRETRAROATRUHETCONVDSL_EX,0.11713140702021627,Freight TransportationTransportationRoadTruckHeavy TrucksConventionnalDiesel
TO,F,P2,FRETRAAIR_________ATF_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Turbo Fuel
TO,F,P2,FRETRAAIR_________AGA_EX,0.002594437525944375,Freight TransportationTransportationAirAviation Gasoline
TO,F,P2,FRETRARAI_________DSL_EX,0.2828077774659144,Freight TransportationTransportationRailDiesel
TO,F,P2,FRETRAMAR_________ALL_EX,3.80517503805175e-06,Freight TransportationTransportationMarineAll
