regions,vintage,tech,group_name,max_share_g,tech_desc
TO,2023,COMBDGAFSOldAE______STDPRO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldAE______STDPRO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldAM______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLIFLC___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLIFLC___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLIFLU___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLIFLUT5STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLIFLUT8STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLIHAL___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLIHAL100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLIINC___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLIINC100WSTDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLILED___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldLILED___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSC______STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSC______STDNGA_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSCCE___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSCCE___STDNGA_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSCWA___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSCWD___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDELC_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDELC_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDHFO_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDHFO_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDKER_16,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDKER_23,BAP-BDG-4-COMBDG-ESR,0,
TO,2023,COMBDGAFSOldSHFUR___STDLFO_16,BAP-BDG-4-COMBDG-ESR,0,
