regions,periods,demand_comm,demand,demand_units,demand_notes
TO,2020,ADEMLDITRAINTAIR______,412.9277333458524,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2020,ADEMLDITRAINTRAI______,316.99416169973205,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2021,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2021,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2021,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2021,ADEMLDITRADOMAIR______,661.3301685021944,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2021,ADEMLDITRADOMRAI______,507.68641929775896,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2021,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2021,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
TO,2021,ADEMLDITRAINTROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadInter-city BusesInter Urban Bus
TO,2021,ADEMLDITRAINTAIR______,418.66284075343367,M pkm,Aggregated DemandLong DistanceTransportationInternationalAir
TO,2021,ADEMLDITRAINTRAI______,321.3968583900061,M pkm,Aggregated DemandLong DistanceTransportationInternationalRail
TO,2022,ADEMLDITRADOMROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadCars
TO,2022,ADEMLDITRADOMROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadTruckPassenger Light Trucks
TO,2022,ADEMLDITRADOMROABUSIUB,0.0,M pkm,Aggregated DemandLong DistanceTransportationDomesticRoadInter-city BusesInter Urban Bus
TO,2022,ADEMLDITRADOMAIR______,670.3894858789367,M pkm,Aggregated DemandLong DistanceTransportationDomesticAir
TO,2022,ADEMLDITRADOMRAI______,514.64102778129,M pkm,Aggregated DemandLong DistanceTransportationDomesticRail
TO,2022,ADEMLDITRAINTROACAR___,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadCars
TO,2022,ADEMLDITRAINTROATRULGT,0.0,M pkm,Aggregated DemandLong DistanceTransportationInternationalRoadTruckPassenger Light Trucks
