regions,season_name,time_of_day_name,demand_name,dds,dds_notes
TO,W,D,ADEMCOMBDGWSTOldLI,0.08921458231001575,Aggregated DemandCommercialBuildingWholesale TradeOldLighting
TO,W,D,ADEMCOMBDGRTTOldLI,0.08921458231001575,Aggregated DemandCommercialBuildingRetail TradeOldLighting
TO,W,D,ADEMCOMBDGTAWOldLI,0.08921458231001575,Aggregated DemandCommercialBuildingTransportation and WarehousingOldLighting
TO,W,D,ADEMCOMBDGICIOldLI,0.08921458231001575,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesOldLighting
TO,W,D,ADEMCOMBDGOFFOldLI,0.08921458231001575,Aggregated DemandCommercialBuildingOfficesOldLighting
TO,W,D,ADEMCOMBDGEDSOldLI,0.08921458231001575,Aggregated DemandCommercialBuildingEducational ServicesOldLighting
TO,W,D,ADEMCOMBDGHLCOldLI,0.08921458231001575,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceOldLighting
TO,W,D,ADEMCOMBDGAEROldLI,0.08921458231001575,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationOldLighting"
TO,W,D,ADEMCOMBDGAFSOldLI,0.08921458231001575,Aggregated DemandCommercialBuildingAccommodation and Food ServicesOldLighting
TO,W,D,ADEMCOMBDGOTSOldLI,0.08921458231001575,Aggregated DemandCommercialBuildingOther ServicesOldLighting
TO,W,D,ADEMCOMBDGWSTNewLI,0.08921458231001575,Aggregated DemandCommercialBuildingWholesale TradeNewLighting
TO,W,D,ADEMCOMBDGRTTNewLI,0.08921458231001575,Aggregated DemandCommercialBuildingRetail TradeNewLighting
TO,W,D,ADEMCOMBDGTAWNewLI,0.08921458231001575,Aggregated DemandCommercialBuildingTransportation and WarehousingNewLighting
TO,W,D,ADEMCOMBDGICINewLI,0.08921458231001575,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesNewLighting
TO,W,D,ADEMCOMBDGOFFNewLI,0.08921458231001575,Aggregated DemandCommercialBuildingOfficesNewLighting
TO,W,D,ADEMCOMBDGEDSNewLI,0.08921458231001575,Aggregated DemandCommercialBuildingEducational ServicesNewLighting
TO,W,D,ADEMCOMBDGHLCNewLI,0.08921458231001575,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceNewLighting
TO,W,D,ADEMCOMBDGAERNewLI,0.08921458231001575,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationNewLighting"
TO,W,D,ADEMCOMBDGAFSNewLI,0.08921458231001575,Aggregated DemandCommercialBuildingAccommodation and Food ServicesNewLighting
TO,W,D,ADEMCOMBDGOTSNewLI,0.08921458231001575,Aggregated DemandCommercialBuildingOther ServicesNewLighting
TO,W,D,ADEMCOMBDGWSTOldAE,0.07513240569627833,Aggregated DemandCommercialBuildingWholesale TradeOldAuxiliary Equipment
TO,W,D,ADEMCOMBDGRTTOldAE,0.07513240569627833,Aggregated DemandCommercialBuildingRetail TradeOldAuxiliary Equipment
TO,W,D,ADEMCOMBDGTAWOldAE,0.07513240569627833,Aggregated DemandCommercialBuildingTransportation and WarehousingOldAuxiliary Equipment
TO,W,D,ADEMCOMBDGICIOldAE,0.07513240569627833,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesOldAuxiliary Equipment
TO,W,D,ADEMCOMBDGOFFOldAE,0.07513240569627833,Aggregated DemandCommercialBuildingOfficesOldAuxiliary Equipment
TO,W,D,ADEMCOMBDGEDSOldAE,0.07513240569627833,Aggregated DemandCommercialBuildingEducational ServicesOldAuxiliary Equipment
TO,W,D,ADEMCOMBDGHLCOldAE,0.07513240569627833,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceOldAuxiliary Equipment
TO,W,D,ADEMCOMBDGAEROldAE,0.07513240569627833,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationOldAuxiliary Equipment"
TO,W,D,ADEMCOMBDGAFSOldAE,0.07513240569627833,Aggregated DemandCommercialBuildingAccommodation and Food ServicesOldAuxiliary Equipment
TO,W,D,ADEMCOMBDGOTSOldAE,0.07513240569627833,Aggregated DemandCommercialBuildingOther ServicesOldAuxiliary Equipment
TO,W,D,ADEMCOMBDGWSTNewAE,0.07513240569627833,Aggregated DemandCommercialBuildingWholesale TradeNewAuxiliary Equipment
TO,W,D,ADEMCOMBDGRTTNewAE,0.07513240569627833,Aggregated DemandCommercialBuildingRetail TradeNewAuxiliary Equipment
TO,W,D,ADEMCOMBDGTAWNewAE,0.07513240569627833,Aggregated DemandCommercialBuildingTransportation and WarehousingNewAuxiliary Equipment
TO,W,D,ADEMCOMBDGICINewAE,0.07513240569627833,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesNewAuxiliary Equipment
TO,W,D,ADEMCOMBDGOFFNewAE,0.07513240569627833,Aggregated DemandCommercialBuildingOfficesNewAuxiliary Equipment
TO,W,D,ADEMCOMBDGEDSNewAE,0.07513240569627833,Aggregated DemandCommercialBuildingEducational ServicesNewAuxiliary Equipment
TO,W,D,ADEMCOMBDGHLCNewAE,0.07513240569627833,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceNewAuxiliary Equipment
TO,W,D,ADEMCOMBDGAERNewAE,0.07513240569627833,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationNewAuxiliary Equipment"
TO,W,D,ADEMCOMBDGAFSNewAE,0.07513240569627833,Aggregated DemandCommercialBuildingAccommodation and Food ServicesNewAuxiliary Equipment
TO,W,D,ADEMCOMBDGOTSNewAE,0.07513240569627833,Aggregated DemandCommercialBuildingOther ServicesNewAuxiliary Equipment
TO,W,D,ADEMCOMBDGWSTOldAM,0.06381015551650494,Aggregated DemandCommercialBuildingWholesale TradeOldAuxiliary Motors
TO,W,D,ADEMCOMBDGRTTOldAM,0.06381015551650494,Aggregated DemandCommercialBuildingRetail TradeOldAuxiliary Motors
TO,W,D,ADEMCOMBDGTAWOldAM,0.06381015551650494,Aggregated DemandCommercialBuildingTransportation and WarehousingOldAuxiliary Motors
TO,W,D,ADEMCOMBDGICIOldAM,0.06381015551650494,Aggregated DemandCommercialBuildingInformation and Cultural IndustriesOldAuxiliary Motors
TO,W,D,ADEMCOMBDGOFFOldAM,0.06381015551650494,Aggregated DemandCommercialBuildingOfficesOldAuxiliary Motors
TO,W,D,ADEMCOMBDGEDSOldAM,0.06381015551650494,Aggregated DemandCommercialBuildingEducational ServicesOldAuxiliary Motors
TO,W,D,ADEMCOMBDGHLCOldAM,0.06381015551650494,Aggregated DemandCommercialBuildingHealth Care and Social AssistanceOldAuxiliary Motors
TO,W,D,ADEMCOMBDGAEROldAM,0.06381015551650494,"Aggregated DemandCommercialBuildingArts, Entertainment and RecreationOldAuxiliary Motors"
TO,W,D,ADEMCOMBDGAFSOldAM,0.06381015551650494,Aggregated DemandCommercialBuildingAccommodation and Food ServicesOldAuxiliary Motors
TO,W,D,ADEMCOMBDGOTSOldAM,0.06381015551650494,Aggregated DemandCommercialBuildingOther ServicesOldAuxiliary Motors
TO,W,D,ADEMCOMBDGWSTNewAM,0.06381015551650494,Aggregated DemandCommercialBuildingWholesale TradeNewAuxiliary Motors
TO,W,D,ADEMCOMBDGRTTNewAM,0.06381015551650494,Aggregated DemandCommercialBuildingRetail TradeNewAuxiliary Motors
TO,W,D,ADEMCOMBDGTAWNewAM,0.06381015551650494,Aggregated DemandCommercialBuildingTransportation and WarehousingNewAuxiliary Motors
