regions,tech,life,life_notes
TO,COMBDGWSTNewLI,200,CommercialBuildingWholesale TradeNewLighting
TO,COMBDGRTTNewLI,200,CommercialBuildingRetail TradeNewLighting
TO,COMBDGTAWNewLI,200,CommercialBuildingTransportation and WarehousingNewLighting
TO,COMBDGICINewLI,200,CommercialBuildingInformation and Cultural IndustriesNewLighting
TO,COMBDGOFFNewLI,200,CommercialBuildingOfficesNewLighting
TO,COMBDGEDSNewLI,200,CommercialBuildingEducational ServicesNewLighting
TO,COMBDGHLCNewLI,200,CommercialBuildingHealth Care and Social AssistanceNewLighting
TO,COMBDGAERNewLI,200,"CommercialBuildingArts, Entertainment and RecreationNewLighting"
TO,COMBDGAFSNewLI,200,CommercialBuildingAccommodation and Food ServicesNewLighting
TO,COMBDGOTSNewLI,200,CommercialBuildingOther ServicesNewLighting
TO,COMBDGWSTNewSC,200,CommercialBuildingWholesale TradeNewSpace Cooling
TO,COMBDGRTTNewSC,200,CommercialBuildingRetail TradeNewSpace Cooling
TO,COMBDGTAWNewSC,200,CommercialBuildingTransportation and WarehousingNewSpace Cooling
TO,COMBDGICINewSC,200,CommercialBuildingInformation and Cultural IndustriesNewSpace Cooling
TO,COMBDGOFFNewSC,200,CommercialBuildingOfficesNewSpace Cooling
TO,COMBDGEDSNewSC,200,CommercialBuildingEducational ServicesNewSpace Cooling
TO,COMBDGHLCNewSC,200,CommercialBuildingHealth Care and Social AssistanceNewSpace Cooling
TO,COMBDGAERNewSC,200,"CommercialBuildingArts, Entertainment and RecreationNewSpace Cooling"
TO,COMBDGAFSNewSC,200,CommercialBuildingAccommodation and Food ServicesNewSpace Cooling
TO,COMBDGOTSNewSC,200,CommercialBuildingOther ServicesNewSpace Cooling
TO,COMBDGWSTNewAM,200,CommercialBuildingWholesale TradeNewAuxiliary Motors
TO,COMBDGRTTNewAM,200,CommercialBuildingRetail TradeNewAuxiliary Motors
TO,COMBDGTAWNewAM,200,CommercialBuildingTransportation and WarehousingNewAuxiliary Motors
TO,COMBDGICINewAM,200,CommercialBuildingInformation and Cultural IndustriesNewAuxiliary Motors
TO,COMBDGOFFNewAM,200,CommercialBuildingOfficesNewAuxiliary Motors
TO,COMBDGEDSNewAM,200,CommercialBuildingEducational ServicesNewAuxiliary Motors
TO,COMBDGHLCNewAM,200,CommercialBuildingHealth Care and Social AssistanceNewAuxiliary Motors
TO,COMBDGAERNewAM,200,"CommercialBuildingArts, Entertainment and RecreationNewAuxiliary Motors"
TO,COMBDGAFSNewAM,200,CommercialBuildingAccommodation and Food ServicesNewAuxiliary Motors
TO,COMBDGOTSNewAM,200,CommercialBuildingOther ServicesNewAuxiliary Motors
TO,COMBDGWSTNewAE,200,CommercialBuildingWholesale TradeNewAuxiliary Equipment
TO,COMBDGRTTNewAE,200,CommercialBuildingRetail TradeNewAuxiliary Equipment
TO,COMBDGTAWNewAE,200,CommercialBuildingTransportation and WarehousingNewAuxiliary Equipment
TO,COMBDGICINewAE,200,CommercialBuildingInformation and Cultural IndustriesNewAuxiliary Equipment
TO,COMBDGOFFNewAE,200,CommercialBuildingOfficesNewAuxiliary Equipment
TO,COMBDGEDSNewAE,200,CommercialBuildingEducational ServicesNewAuxiliary Equipment
TO,COMBDGHLCNewAE,200,CommercialBuildingHealth Care and Social AssistanceNewAuxiliary Equipment
TO,COMBDGAERNewAE,200,"CommercialBuildingArts, Entertainment and RecreationNewAuxiliary Equipment"
TO,COMBDGAFSNewAE,200,CommercialBuildingAccommodation and Food ServicesNewAuxiliary Equipment
TO,COMBDGOTSNewAE,200,CommercialBuildingOther ServicesNewAuxiliary Equipment
TO,COMBDGWSTNewSH,200,CommercialBuildingWholesale TradeNewSpace Heating
TO,COMBDGRTTNewSH,200,CommercialBuildingRetail TradeNewSpace Heating
