regions,emis_comm,input_comm,tech,vintage,output_comm,emis_act,emis_act_units,emis_act_notes
TO,CO2,PUBBDGNGA,PUBBDGHSPOldSC______STDNGA_EX,2015,EUEPUBBDGHSPOldSC,13.639160726648003,t/TJ,PublicBuildingHospitalOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldSC______STDNGA_EX,2015,EUEPUBBDGMUNOldSC,13.639160726648003,t/TJ,PublicBuildingMunicipalityOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldSC______STDNGA_EX,2015,EUEPUBBDGPSIOldSC,13.639160726648003,t/TJ,PublicBuildingPost-Secondary InstitutionOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldSC______STDNGA_EX,2015,EUEPUBBDGSBDOldSC,13.639160726648003,t/TJ,PublicBuildingSchool boardOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGHSPOldAE______STDNGA_EX,2015,EUEPUBBDGHSPOldAE,74.4200713455133,t/TJ,PublicBuildingHospitalOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldAE______STDNGA_EX,2015,EUEPUBBDGMUNOldAE,74.4200713455133,t/TJ,PublicBuildingMunicipalityOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldAE______STDNGA_EX,2015,EUEPUBBDGPSIOldAE,74.4200713455133,t/TJ,PublicBuildingPost-Secondary InstitutionOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldAE______STDNGA_EX,2015,EUEPUBBDGSBDOldAE,74.4200713455133,t/TJ,PublicBuildingSchool boardOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGHSPOldSHFUR___STDNGA_EX,2015,EUEPUBBDGHSPOldSH,60.466307968229565,t/TJ,PublicBuildingHospitalOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldSHFUR___STDNGA_EX,2015,EUEPUBBDGMUNOldSH,60.466307968229565,t/TJ,PublicBuildingMunicipalityOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldSHFUR___STDNGA_EX,2015,EUEPUBBDGPSIOldSH,60.466307968229565,t/TJ,PublicBuildingPost-Secondary InstitutionOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldSHFUR___STDNGA_EX,2015,EUEPUBBDGSBDOldSH,60.466307968229565,t/TJ,PublicBuildingSchool boardOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGLFO,PUBBDGHSPOldSHFUR___STDLFO_EX,2015,EUEPUBBDGHSPOldSH,90.96616441977267,t/TJ,PublicBuildingHospitalOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,CO2,PUBBDGLFO,PUBBDGPSIOldSHFUR___STDLFO_EX,2015,EUEPUBBDGPSIOldSH,90.96616441977267,t/TJ,PublicBuildingPost-Secondary InstitutionOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,CO2,PUBBDGNGA,PUBBDGHSPOldWH______STDNGA_EX,2015,EUEPUBBDGHSPOldWH,58.99151996900446,t/TJ,PublicBuildingHospitalOldWater HeatingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldWH______STDNGA_EX,2015,EUEPUBBDGMUNOldWH,58.99151996900446,t/TJ,PublicBuildingMunicipalityOldWater HeatingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldWH______STDNGA_EX,2015,EUEPUBBDGPSIOldWH,58.99151996900446,t/TJ,PublicBuildingPost-Secondary InstitutionOldWater HeatingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldWH______STDNGA_EX,2015,EUEPUBBDGSBDOldWH,58.99151996900446,t/TJ,PublicBuildingSchool boardOldWater HeatingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGLFO,PUBBDGHSPOldWH______STDLFO_EX,2015,EUEPUBBDGHSPOldWH,89.81469398407934,t/TJ,PublicBuildingHospitalOldWater HeatingStandard EfficiencyLight Fuel Oil
TO,CO2,PUBBDGLFO,PUBBDGPSIOldWH______STDLFO_EX,2015,EUEPUBBDGPSIOldWH,89.81469398407934,t/TJ,PublicBuildingPost-Secondary InstitutionOldWater HeatingStandard EfficiencyLight Fuel Oil
TO,CO2,PUBBDGNGA,PUBBDGHSPOldSC______STDNGA_EX,2010,EUEPUBBDGHSPOldSC,13.639160726648003,t/TJ,PublicBuildingHospitalOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldSC______STDNGA_EX,2010,EUEPUBBDGMUNOldSC,13.639160726648003,t/TJ,PublicBuildingMunicipalityOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldSC______STDNGA_EX,2010,EUEPUBBDGPSIOldSC,13.639160726648003,t/TJ,PublicBuildingPost-Secondary InstitutionOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldSC______STDNGA_EX,2010,EUEPUBBDGSBDOldSC,13.639160726648003,t/TJ,PublicBuildingSchool boardOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGHSPOldAE______STDNGA_EX,2010,EUEPUBBDGHSPOldAE,74.4200713455133,t/TJ,PublicBuildingHospitalOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldAE______STDNGA_EX,2010,EUEPUBBDGMUNOldAE,74.4200713455133,t/TJ,PublicBuildingMunicipalityOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldAE______STDNGA_EX,2010,EUEPUBBDGPSIOldAE,74.4200713455133,t/TJ,PublicBuildingPost-Secondary InstitutionOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldAE______STDNGA_EX,2010,EUEPUBBDGSBDOldAE,74.4200713455133,t/TJ,PublicBuildingSchool boardOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGHSPOldSHFUR___STDNGA_EX,2010,EUEPUBBDGHSPOldSH,60.466307968229565,t/TJ,PublicBuildingHospitalOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldSHFUR___STDNGA_EX,2010,EUEPUBBDGMUNOldSH,60.466307968229565,t/TJ,PublicBuildingMunicipalityOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldSHFUR___STDNGA_EX,2010,EUEPUBBDGPSIOldSH,60.466307968229565,t/TJ,PublicBuildingPost-Secondary InstitutionOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldSHFUR___STDNGA_EX,2010,EUEPUBBDGSBDOldSH,60.466307968229565,t/TJ,PublicBuildingSchool boardOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGLFO,PUBBDGHSPOldSHFUR___STDLFO_EX,2010,EUEPUBBDGHSPOldSH,90.96616441977267,t/TJ,PublicBuildingHospitalOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,CO2,PUBBDGLFO,PUBBDGPSIOldSHFUR___STDLFO_EX,2010,EUEPUBBDGPSIOldSH,90.96616441977267,t/TJ,PublicBuildingPost-Secondary InstitutionOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
TO,CO2,PUBBDGNGA,PUBBDGHSPOldWH______STDNGA_EX,2010,EUEPUBBDGHSPOldWH,58.99151996900446,t/TJ,PublicBuildingHospitalOldWater HeatingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldWH______STDNGA_EX,2010,EUEPUBBDGMUNOldWH,58.99151996900446,t/TJ,PublicBuildingMunicipalityOldWater HeatingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldWH______STDNGA_EX,2010,EUEPUBBDGPSIOldWH,58.99151996900446,t/TJ,PublicBuildingPost-Secondary InstitutionOldWater HeatingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldWH______STDNGA_EX,2010,EUEPUBBDGSBDOldWH,58.99151996900446,t/TJ,PublicBuildingSchool boardOldWater HeatingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGLFO,PUBBDGHSPOldWH______STDLFO_EX,2010,EUEPUBBDGHSPOldWH,89.81469398407934,t/TJ,PublicBuildingHospitalOldWater HeatingStandard EfficiencyLight Fuel Oil
TO,CO2,PUBBDGLFO,PUBBDGPSIOldWH______STDLFO_EX,2010,EUEPUBBDGPSIOldWH,89.81469398407934,t/TJ,PublicBuildingPost-Secondary InstitutionOldWater HeatingStandard EfficiencyLight Fuel Oil
TO,CO2,PUBBDGNGA,PUBBDGHSPOldSC______STDNGA_EX,2005,EUEPUBBDGHSPOldSC,13.639160726648003,t/TJ,PublicBuildingHospitalOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldSC______STDNGA_EX,2005,EUEPUBBDGMUNOldSC,13.639160726648003,t/TJ,PublicBuildingMunicipalityOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldSC______STDNGA_EX,2005,EUEPUBBDGPSIOldSC,13.639160726648003,t/TJ,PublicBuildingPost-Secondary InstitutionOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldSC______STDNGA_EX,2005,EUEPUBBDGSBDOldSC,13.639160726648003,t/TJ,PublicBuildingSchool boardOldSpace CoolingStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGHSPOldSHFUR___STDNGA_EX,2005,EUEPUBBDGHSPOldSH,60.466307968229565,t/TJ,PublicBuildingHospitalOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGMUNOldSHFUR___STDNGA_EX,2005,EUEPUBBDGMUNOldSH,60.466307968229565,t/TJ,PublicBuildingMunicipalityOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGPSIOldSHFUR___STDNGA_EX,2005,EUEPUBBDGPSIOldSH,60.466307968229565,t/TJ,PublicBuildingPost-Secondary InstitutionOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGNGA,PUBBDGSBDOldSHFUR___STDNGA_EX,2005,EUEPUBBDGSBDOldSH,60.466307968229565,t/TJ,PublicBuildingSchool boardOldSpace HeatingFurnaceStandard EfficiencyNatural Gas
TO,CO2,PUBBDGLFO,PUBBDGHSPOldSHFUR___STDLFO_EX,2005,EUEPUBBDGHSPOldSH,90.96616441977267,t/TJ,PublicBuildingHospitalOldSpace HeatingFurnaceStandard EfficiencyLight Fuel Oil
