comm_name,flag,comm_desc
SEECOMBDGHLCOldSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGHLCOldSHHEP___STDGEO
SEECOMBDGAEROldSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGAEROldSHHEP___HIGGEO
SEECOMBDGAEROldSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGAEROldSHHEP___ESRGEO
SEECOMBDGAEROldSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGAEROldSHHEP___STDGEO
SEECOMBDGAFSOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGAFSOldSHHEP___HIGGEO
SEECOMBDGAFSOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGAFSOldSHHEP___ESRGEO
SEECOMBDGAFSOldSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGAFSOldSHHEP___STDGEO
SEECOMBDGOTSOldSHHEP___HIGGEOM,p,SecondaryEnergyMix for COMBDGOTSOldSHHEP___HIGGEO
SEECOMBDGOTSOldSHHEP___ESRGEOM,p,SecondaryEnergyMix for COMBDGOTSOldSHHEP___ESRGEO
SEECOMBDGOTSOldSHHEP___STDGEOM,p,SecondaryEnergyMix for COMBDGOTSOldSHHEP___STDGEO
