regions,periods,tech,minact,minact_units,minact_notes
TO,2016,COMBDGTAWOldSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGTAWOldSHFUR___STDNGA_16,35.0593052,,
TO,2016,COMBDGTAWOldWH______STDNGA_16,0.6787200,,
TO,2016,COMBDGWSTNewAE______STDNGA_16,0.0000000,,
TO,2016,COMBDGWSTNewSC______STDNGA_16,0.0000000,,
TO,2016,COMBDGWSTNewSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGWSTNewSHFUR___STDNGA_16,0.0000000,,
TO,2016,COMBDGWSTNewWH______STDNGA_16,0.0000000,,
TO,2016,COMBDGWSTOldAE______STDNGA_16,0.0083570,,
TO,2016,COMBDGWSTOldSC______STDNGA_16,1.6193300,,
TO,2016,COMBDGWSTOldSHFUR___HIGNGA_16,0.0000000,,
TO,2016,COMBDGWSTOldSHFUR___STDNGA_16,111.7989698,,
TO,2016,COMBDGWSTOldWH______STDNGA_16,4.0230242,,
TO,2016,COMBDGAERNewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGAEROldSC_________DCO_16,0.0098090,,
TO,2016,COMBDGAFSNewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGAFSOldSC_________DCO_16,0.0098282,,
TO,2016,COMBDGEDSNewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGEDSOldSC_________DCO_16,0.0114985,,
TO,2016,COMBDGHLCNewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGHLCOldSC_________DCO_16,0.0117636,,
TO,2016,COMBDGICINewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGICIOldSC_________DCO_16,0.0043430,,
TO,2016,COMBDGOFFNewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGOFFOldSC_________DCO_16,0.0128015,,
TO,2016,COMBDGOTSNewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGOTSOldSC_________DCO_16,0.0112827,,
TO,2016,COMBDGRTTNewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGRTTOldSC_________DCO_16,0.0123914,,
TO,2016,COMBDGTAWNewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGTAWOldSC_________DCO_16,0.0098104,,
TO,2016,COMBDGWSTNewSC_________DCO_16,0.0000000,,
TO,2016,COMBDGWSTOldSC_________DCO_16,4.8702169,,
TO,2016,COMBDGAERNewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGAERNewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGAEROldSH_________DHE_16,5.3793540,,
TO,2016,COMBDGAEROldWH_________DHE_16,0.2400474,,
TO,2016,COMBDGAFSNewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGAFSNewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGAFSOldSH_________DHE_16,5.8354980,,
TO,2016,COMBDGAFSOldWH_________DHE_16,0.3120774,,
TO,2016,COMBDGEDSNewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGEDSNewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGEDSOldSH_________DHE_16,16.2317247,,
TO,2016,COMBDGEDSOldWH_________DHE_16,0.6940899,,
TO,2016,COMBDGHLCNewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGHLCNewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGHLCOldSH_________DHE_16,8.9500616,,
TO,2016,COMBDGHLCOldWH_________DHE_16,0.6958406,,
TO,2016,COMBDGICINewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGICINewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGICIOldSH_________DHE_16,0.8127875,,
TO,2016,COMBDGICIOldWH_________DHE_16,0.0313458,,
TO,2016,COMBDGOFFNewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGOFFNewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGOFFOldSH_________DHE_16,56.8618398,,
TO,2016,COMBDGOFFOldWH_________DHE_16,1.0147021,,
TO,2016,COMBDGOTSNewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGOTSNewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGOTSOldSH_________DHE_16,6.6980739,,
TO,2016,COMBDGOTSOldWH_________DHE_16,0.3629224,,
TO,2016,COMBDGRTTNewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGRTTNewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGRTTOldSH_________DHE_16,21.5572291,,
TO,2016,COMBDGRTTOldWH_________DHE_16,0.9309585,,
TO,2016,COMBDGTAWNewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGTAWNewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGTAWOldSH_________DHE_16,4.1314915,,
TO,2016,COMBDGTAWOldWH_________DHE_16,0.0758843,,
TO,2016,COMBDGWSTNewSH_________DHE_16,0.0000000,,
TO,2016,COMBDGWSTNewWH_________DHE_16,0.0000000,,
TO,2016,COMBDGWSTOldSH_________DHE_16,12.8999865,,
TO,2016,COMBDGWSTOldWH_________DHE_16,0.4537542,,
TO,2016,COMBDGAERNewAE______STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewAM______STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewLIFLC___STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewLIFLU___STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewLIHAL___STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewLIINC___STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewLILED___STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewSC______STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewSHHEP___STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewSHPLT___STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGAERNewWH______STDELC_16,0.0000000,,
TO,2016,COMBDGAEROldAE______STDELC_16,0.1610586,,
TO,2016,COMBDGAEROldAM______STDELC_16,0.0362883,,
TO,2016,COMBDGAEROldLIFLC___STDELC_16,0.0001873,,
TO,2016,COMBDGAEROldLIFLU___STDELC_16,0.0013702,,
TO,2016,COMBDGAEROldLIHAL___STDELC_16,0.0004021,,
TO,2016,COMBDGAEROldLIINC___STDELC_16,0.0012915,,
TO,2016,COMBDGAEROldLILED___STDELC_16,0.0000060,,
TO,2016,COMBDGAEROldSC______STDELC_16,0.0706648,,
TO,2016,COMBDGAEROldSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGAEROldSHHEP___STDELC_16,2.4041575,,
TO,2016,COMBDGAEROldSHPLT___STDELC_16,2.5359516,,
TO,2016,COMBDGAEROldSLLED___STDELC_16,0.0001260,,
TO,2016,COMBDGAEROldWH______STDELC_16,0.1147760,,
TO,2016,COMBDGAFSNewAE______STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewAM______STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewLIFLC___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewLIFLU___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewLIHAL___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewLIINC___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewLILED___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewSC______STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewSHHEP___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewSHPLT___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSNewWH______STDELC_16,0.0000000,,
TO,2016,COMBDGAFSOldAE______STDELC_16,0.1547883,,
TO,2016,COMBDGAFSOldAM______STDELC_16,0.0372524,,
TO,2016,COMBDGAFSOldLIFLC___STDELC_16,0.0001873,,
TO,2016,COMBDGAFSOldLIFLU___STDELC_16,0.0013701,,
TO,2016,COMBDGAFSOldLIHAL___STDELC_16,0.0004021,,
TO,2016,COMBDGAFSOldLIINC___STDELC_16,0.0012913,,
TO,2016,COMBDGAFSOldLILED___STDELC_16,0.0000060,,
TO,2016,COMBDGAFSOldSC______STDELC_16,0.0708034,,
TO,2016,COMBDGAFSOldSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGAFSOldSHHEP___STDELC_16,2.6080187,,
TO,2016,COMBDGAFSOldSHPLT___STDELC_16,2.7509884,,
TO,2016,COMBDGAFSOldSLLED___STDELC_16,0.0001244,,
TO,2016,COMBDGAFSOldWH______STDELC_16,0.1490625,,
TO,2016,COMBDGEDSNewAE______STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewAM______STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewLIFLC___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewLIFLU___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewLIHAL___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewLIINC___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewLILED___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewSC______STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewSHFUR___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewSHHEP___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewSHPLT___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewSLLED___STDELC_16,0.0000000,,
TO,2016,COMBDGEDSNewWH______STDELC_16,0.0000000,,
TO,2016,COMBDGEDSOldAE______STDELC_16,0.1897143,,
TO,2016,COMBDGEDSOldAM______STDELC_16,0.0311141,,
