regions,periods,tech,vintage,cost_fixed,cost_fixed_units,cost_fixed_notes
TO,2016,COMBDGWSTOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,CommercialBuildingWholesale TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,COMBDGRTTOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,CommercialBuildingRetail TradeOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,COMBDGTAWOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,CommercialBuildingTransportation and WarehousingOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,COMBDGICIOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,CommercialBuildingInformation and Cultural IndustriesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,COMBDGOFFOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,CommercialBuildingOfficesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,COMBDGEDSOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,CommercialBuildingEducational ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,COMBDGHLCOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,CommercialBuildingHealth Care and Social AssistanceOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,COMBDGAEROldLILED___HIGELC_EX,2015,0.0,k$/Mlm,"CommercialBuildingArts, Entertainment and RecreationOldLightingLight Emitting DiodeHigh EfficiencyElectricity"
TO,2016,COMBDGAFSOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,CommercialBuildingAccommodation and Food ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,COMBDGOTSOldLILED___HIGELC_EX,2015,0.0,k$/Mlm,CommercialBuildingOther ServicesOldLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,2016,COMBDGWSTOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingWholesale TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,COMBDGRTTOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingRetail TradeOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,COMBDGTAWOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingTransportation and WarehousingOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,COMBDGICIOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingInformation and Cultural IndustriesOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,COMBDGOFFOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingOfficesOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,COMBDGEDSOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingEducational ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,COMBDGHLCOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingHealth Care and Social AssistanceOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,COMBDGAEROldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,"CommercialBuildingArts, Entertainment and RecreationOldLightingFluocompactStandard EfficiencyElectricity"
TO,2016,COMBDGAFSOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingAccommodation and Food ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,COMBDGOTSOldLIFLC___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingOther ServicesOldLightingFluocompactStandard EfficiencyElectricity
TO,2016,COMBDGWSTOldLIFLU___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingWholesale TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,2016,COMBDGRTTOldLIFLU___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingRetail TradeOldLightingFluorescenteStandard EfficiencyElectricity
TO,2016,COMBDGTAWOldLIFLU___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingTransportation and WarehousingOldLightingFluorescenteStandard EfficiencyElectricity
TO,2016,COMBDGICIOldLIFLU___STDELC_EX,2015,0.0,k$/Mlm,CommercialBuildingInformation and Cultural IndustriesOldLightingFluorescenteStandard EfficiencyElectricity
