regions,tech,c2a,c2a_notes
TO,COMBDGICIOldLIINC___STDELC_EX,1.0,CommercialBuildingInformation and Cultural IndustriesOldLightingIncandescentStandard EfficiencyElectricity
TO,COMBDGOFFOldLIINC___STDELC_EX,1.0,CommercialBuildingOfficesOldLightingIncandescentStandard EfficiencyElectricity
TO,COMBDGEDSOldLIINC___STDELC_EX,1.0,CommercialBuildingEducational ServicesOldLightingIncandescentStandard EfficiencyElectricity
TO,COMBDGHLCOldLIINC___STDELC_EX,1.0,CommercialBuildingHealth Care and Social AssistanceOldLightingIncandescentStandard EfficiencyElectricity
TO,COMBDGAEROldLIINC___STDELC_EX,1.0,"CommercialBuildingArts, Entertainment and RecreationOldLightingIncandescentStandard EfficiencyElectricity"
TO,COMBDGAFSOldLIINC___STDELC_EX,1.0,CommercialBuildingAccommodation and Food ServicesOldLightingIncandescentStandard EfficiencyElectricity
TO,COMBDGOTSOldLIINC___STDELC_EX,1.0,CommercialBuildingOther ServicesOldLightingIncandescentStandard EfficiencyElectricity
TO,COMBDGWSTOldLILED___STDELC_EX,1.0,CommercialBuildingWholesale TradeOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,COMBDGRTTOldLILED___STDELC_EX,1.0,CommercialBuildingRetail TradeOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,COMBDGTAWOldLILED___STDELC_EX,1.0,CommercialBuildingTransportation and WarehousingOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,COMBDGICIOldLILED___STDELC_EX,1.0,CommercialBuildingInformation and Cultural IndustriesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,COMBDGOFFOldLILED___STDELC_EX,1.0,CommercialBuildingOfficesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,COMBDGEDSOldLILED___STDELC_EX,1.0,CommercialBuildingEducational ServicesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,COMBDGHLCOldLILED___STDELC_EX,1.0,CommercialBuildingHealth Care and Social AssistanceOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,COMBDGAEROldLILED___STDELC_EX,1.0,"CommercialBuildingArts, Entertainment and RecreationOldLightingLight Emitting DiodeStandard EfficiencyElectricity"
TO,COMBDGAFSOldLILED___STDELC_EX,1.0,CommercialBuildingAccommodation and Food ServicesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,COMBDGOTSOldLILED___STDELC_EX,1.0,CommercialBuildingOther ServicesOldLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,COMBDGWSTOldSC______STDNGA_EX,31.536,CommercialBuildingWholesale TradeOldSpace CoolingStandard EfficiencyNatural Gas
TO,COMBDGRTTOldSC______STDNGA_EX,31.536,CommercialBuildingRetail TradeOldSpace CoolingStandard EfficiencyNatural Gas
TO,COMBDGTAWOldSC______STDNGA_EX,31.536,CommercialBuildingTransportation and WarehousingOldSpace CoolingStandard EfficiencyNatural Gas
TO,COMBDGICIOldSC______STDNGA_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldSpace CoolingStandard EfficiencyNatural Gas
TO,COMBDGOFFOldSC______STDNGA_EX,31.536,CommercialBuildingOfficesOldSpace CoolingStandard EfficiencyNatural Gas
TO,COMBDGEDSOldSC______STDNGA_EX,31.536,CommercialBuildingEducational ServicesOldSpace CoolingStandard EfficiencyNatural Gas
TO,COMBDGHLCOldSC______STDNGA_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldSpace CoolingStandard EfficiencyNatural Gas
TO,COMBDGAEROldSC______STDNGA_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldSpace CoolingStandard EfficiencyNatural Gas"
TO,COMBDGAFSOldSC______STDNGA_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldSpace CoolingStandard EfficiencyNatural Gas
TO,COMBDGOTSOldSC______STDNGA_EX,31.536,CommercialBuildingOther ServicesOldSpace CoolingStandard EfficiencyNatural Gas
TO,COMBDGWSTOldSC______STDELC_EX,31.536,CommercialBuildingWholesale TradeOldSpace CoolingStandard EfficiencyElectricity
TO,COMBDGRTTOldSC______STDELC_EX,31.536,CommercialBuildingRetail TradeOldSpace CoolingStandard EfficiencyElectricity
TO,COMBDGTAWOldSC______STDELC_EX,31.536,CommercialBuildingTransportation and WarehousingOldSpace CoolingStandard EfficiencyElectricity
TO,COMBDGICIOldSC______STDELC_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldSpace CoolingStandard EfficiencyElectricity
TO,COMBDGOFFOldSC______STDELC_EX,31.536,CommercialBuildingOfficesOldSpace CoolingStandard EfficiencyElectricity
TO,COMBDGEDSOldSC______STDELC_EX,31.536,CommercialBuildingEducational ServicesOldSpace CoolingStandard EfficiencyElectricity
TO,COMBDGHLCOldSC______STDELC_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldSpace CoolingStandard EfficiencyElectricity
TO,COMBDGAEROldSC______STDELC_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldSpace CoolingStandard EfficiencyElectricity"
TO,COMBDGAFSOldSC______STDELC_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldSpace CoolingStandard EfficiencyElectricity
TO,COMBDGOTSOldSC______STDELC_EX,31.536,CommercialBuildingOther ServicesOldSpace CoolingStandard EfficiencyElectricity
TO,COMBDGWSTOldSC_________DCO_EX,31.536,CommercialBuildingWholesale TradeOldSpace CoolingDistrict Cooling
TO,COMBDGRTTOldSC_________DCO_EX,31.536,CommercialBuildingRetail TradeOldSpace CoolingDistrict Cooling
TO,COMBDGTAWOldSC_________DCO_EX,31.536,CommercialBuildingTransportation and WarehousingOldSpace CoolingDistrict Cooling
TO,COMBDGICIOldSC_________DCO_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldSpace CoolingDistrict Cooling
TO,COMBDGOFFOldSC_________DCO_EX,31.536,CommercialBuildingOfficesOldSpace CoolingDistrict Cooling
TO,COMBDGEDSOldSC_________DCO_EX,31.536,CommercialBuildingEducational ServicesOldSpace CoolingDistrict Cooling
TO,COMBDGHLCOldSC_________DCO_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldSpace CoolingDistrict Cooling
TO,COMBDGAEROldSC_________DCO_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldSpace CoolingDistrict Cooling"
TO,COMBDGAFSOldSC_________DCO_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldSpace CoolingDistrict Cooling
TO,COMBDGOTSOldSC_________DCO_EX,31.536,CommercialBuildingOther ServicesOldSpace CoolingDistrict Cooling
TO,COMBDGWSTOldAM______STDELC_EX,31.536,CommercialBuildingWholesale TradeOldAuxiliary MotorsStandard EfficiencyElectricity
TO,COMBDGRTTOldAM______STDELC_EX,31.536,CommercialBuildingRetail TradeOldAuxiliary MotorsStandard EfficiencyElectricity
TO,COMBDGTAWOldAM______STDELC_EX,31.536,CommercialBuildingTransportation and WarehousingOldAuxiliary MotorsStandard EfficiencyElectricity
TO,COMBDGICIOldAM______STDELC_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,COMBDGOFFOldAM______STDELC_EX,31.536,CommercialBuildingOfficesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,COMBDGEDSOldAM______STDELC_EX,31.536,CommercialBuildingEducational ServicesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,COMBDGHLCOldAM______STDELC_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldAuxiliary MotorsStandard EfficiencyElectricity
TO,COMBDGAEROldAM______STDELC_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldAuxiliary MotorsStandard EfficiencyElectricity"
TO,COMBDGAFSOldAM______STDELC_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,COMBDGOTSOldAM______STDELC_EX,31.536,CommercialBuildingOther ServicesOldAuxiliary MotorsStandard EfficiencyElectricity
TO,COMBDGWSTOldAE______STDELC_EX,31.536,CommercialBuildingWholesale TradeOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,COMBDGRTTOldAE______STDELC_EX,31.536,CommercialBuildingRetail TradeOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,COMBDGTAWOldAE______STDELC_EX,31.536,CommercialBuildingTransportation and WarehousingOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,COMBDGICIOldAE______STDELC_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,COMBDGOFFOldAE______STDELC_EX,31.536,CommercialBuildingOfficesOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,COMBDGEDSOldAE______STDELC_EX,31.536,CommercialBuildingEducational ServicesOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,COMBDGHLCOldAE______STDELC_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,COMBDGAEROldAE______STDELC_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldAuxiliary EquipmentStandard EfficiencyElectricity"
TO,COMBDGAFSOldAE______STDELC_EX,31.536,CommercialBuildingAccommodation and Food ServicesOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,COMBDGOTSOldAE______STDELC_EX,31.536,CommercialBuildingOther ServicesOldAuxiliary EquipmentStandard EfficiencyElectricity
TO,COMBDGWSTOldAE______STDNGA_EX,31.536,CommercialBuildingWholesale TradeOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,COMBDGRTTOldAE______STDNGA_EX,31.536,CommercialBuildingRetail TradeOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,COMBDGTAWOldAE______STDNGA_EX,31.536,CommercialBuildingTransportation and WarehousingOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,COMBDGICIOldAE______STDNGA_EX,31.536,CommercialBuildingInformation and Cultural IndustriesOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,COMBDGOFFOldAE______STDNGA_EX,31.536,CommercialBuildingOfficesOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,COMBDGEDSOldAE______STDNGA_EX,31.536,CommercialBuildingEducational ServicesOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,COMBDGHLCOldAE______STDNGA_EX,31.536,CommercialBuildingHealth Care and Social AssistanceOldAuxiliary EquipmentStandard EfficiencyNatural Gas
TO,COMBDGAEROldAE______STDNGA_EX,31.536,"CommercialBuildingArts, Entertainment and RecreationOldAuxiliary EquipmentStandard EfficiencyNatural Gas"
