comm_name,flag,comm_desc
ADEMPUBBDGHSPOldLI,d,Aggregated DemandPublicBuildingHospitalOldLighting
ADEMPUBBDGMUNOldLI,d,Aggregated DemandPublicBuildingMunicipalityOldLighting
ADEMPUBBDGPSIOldLI,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldLighting
ADEMPUBBDGSBDOldLI,d,Aggregated DemandPublicBuildingSchool boardOldLighting
ADEMPUBBDGHSPOldSC,d,Aggregated DemandPublicBuildingHospitalOldSpace Cooling
ADEMPUBBDGMUNOldSC,d,Aggregated DemandPublicBuildingMunicipalityOldSpace Cooling
ADEMPUBBDGPSIOldSC,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Cooling
ADEMPUBBDGSBDOldSC,d,Aggregated DemandPublicBuildingSchool boardOldSpace Cooling
ADEMPUBBDGHSPOldAM,d,Aggregated DemandPublicBuildingHospitalOldAuxiliary Motors
ADEMPUBBDGMUNOldAM,d,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Motors
ADEMPUBBDGPSIOldAM,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Motors
ADEMPUBBDGSBDOldAM,d,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Motors
ADEMPUBBDGHSPOldAE,d,Aggregated DemandPublicBuildingHospitalOldAuxiliary Equipment
ADEMPUBBDGMUNOldAE,d,Aggregated DemandPublicBuildingMunicipalityOldAuxiliary Equipment
ADEMPUBBDGPSIOldAE,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldAuxiliary Equipment
ADEMPUBBDGSBDOldAE,d,Aggregated DemandPublicBuildingSchool boardOldAuxiliary Equipment
ADEMPUBBDGHSPOldSH,d,Aggregated DemandPublicBuildingHospitalOldSpace Heating
ADEMPUBBDGMUNOldSH,d,Aggregated DemandPublicBuildingMunicipalityOldSpace Heating
ADEMPUBBDGPSIOldSH,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Heating
ADEMPUBBDGSBDOldSH,d,Aggregated DemandPublicBuildingSchool boardOldSpace Heating
ADEMPUBBDGHSPOldWH,d,Aggregated DemandPublicBuildingHospitalOldWater Heating
ADEMPUBBDGMUNOldWH,d,Aggregated DemandPublicBuildingMunicipalityOldWater Heating
ADEMPUBBDGPSIOldWH,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldWater Heating
ADEMPUBBDGSBDOldWH,d,Aggregated DemandPublicBuildingSchool boardOldWater Heating
ADEMPUBBDGHSPNewLI,d,Aggregated DemandPublicBuildingHospitalNewLighting
ADEMPUBBDGMUNNewLI,d,Aggregated DemandPublicBuildingMunicipalityNewLighting
ADEMPUBBDGPSINewLI,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewLighting
ADEMPUBBDGSBDNewLI,d,Aggregated DemandPublicBuildingSchool boardNewLighting
ADEMPUBBDGHSPNewSC,d,Aggregated DemandPublicBuildingHospitalNewSpace Cooling
ADEMPUBBDGMUNNewSC,d,Aggregated DemandPublicBuildingMunicipalityNewSpace Cooling
ADEMPUBBDGPSINewSC,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Cooling
ADEMPUBBDGSBDNewSC,d,Aggregated DemandPublicBuildingSchool boardNewSpace Cooling
ADEMPUBBDGHSPNewAM,d,Aggregated DemandPublicBuildingHospitalNewAuxiliary Motors
ADEMPUBBDGMUNNewAM,d,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Motors
ADEMPUBBDGPSINewAM,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Motors
ADEMPUBBDGSBDNewAM,d,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Motors
ADEMPUBBDGHSPNewAE,d,Aggregated DemandPublicBuildingHospitalNewAuxiliary Equipment
ADEMPUBBDGMUNNewAE,d,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Equipment
ADEMPUBBDGPSINewAE,d,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Equipment
ADEMPUBBDGSBDNewAE,d,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Equipment
ADEMPUBBDGHSPNewSH,d,Aggregated DemandPublicBuildingHospitalNewSpace Heating
