regions,input_comm,tech,vintage,output_comm,efficiency,eff_notes
TO,EUEPUBBDGPSINewAM,PUBBDGPSINewAM,2015,ADEMPUBBDGPSINewAM,0.021883527169698234,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsPost-Secondary Institution
TO,EUEPUBBDGSBDNewAM,PUBBDGSBDNewAM,2015,ADEMPUBBDGSBDNewAM,0.039728496518122366,PublicBuildingSchool boardNewAuxiliary MotorsSchool board
TO,EUEPUBBDGHSPNewAE,PUBBDGHSPNewAE,2015,ADEMPUBBDGHSPNewAE,0.0027203601357105272,PublicBuildingHospitalNewAuxiliary EquipmentHospital
TO,EUEPUBBDGMUNNewAE,PUBBDGMUNNewAE,2015,ADEMPUBBDGMUNNewAE,0.007428672431152616,PublicBuildingMunicipalityNewAuxiliary EquipmentMunicipality
TO,EUEPUBBDGPSINewAE,PUBBDGPSINewAE,2015,ADEMPUBBDGPSINewAE,0.004655465189589529,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentPost-Secondary Institution
TO,EUEPUBBDGSBDNewAE,PUBBDGSBDNewAE,2015,ADEMPUBBDGSBDNewAE,0.010166214597229968,PublicBuildingSchool boardNewAuxiliary EquipmentSchool board
TO,EUEPUBBDGHSPNewSH,PUBBDGHSPNewSH,2015,ADEMPUBBDGHSPNewSH,0.0010430597514675401,PublicBuildingHospitalNewSpace HeatingHospital
TO,EUEPUBBDGMUNNewSH,PUBBDGMUNNewSH,2015,ADEMPUBBDGMUNNewSH,0.0015774777926793285,PublicBuildingMunicipalityNewSpace HeatingMunicipality
TO,EUEPUBBDGPSINewSH,PUBBDGPSINewSH,2015,ADEMPUBBDGPSINewSH,0.0012350838006018215,PublicBuildingPost-Secondary InstitutionNewSpace HeatingPost-Secondary Institution
TO,EUEPUBBDGSBDNewSH,PUBBDGSBDNewSH,2015,ADEMPUBBDGSBDNewSH,0.002327989963929624,PublicBuildingSchool boardNewSpace HeatingSchool board
TO,EUEPUBBDGHSPNewWH,PUBBDGHSPNewWH,2015,ADEMPUBBDGHSPNewWH,0.005306868882396018,PublicBuildingHospitalNewWater HeatingHospital
TO,EUEPUBBDGMUNNewWH,PUBBDGMUNNewWH,2015,ADEMPUBBDGMUNNewWH,0.011816753275895485,PublicBuildingMunicipalityNewWater HeatingMunicipality
TO,EUEPUBBDGPSINewWH,PUBBDGPSINewWH,2015,ADEMPUBBDGPSINewWH,0.0096666350549775,PublicBuildingPost-Secondary InstitutionNewWater HeatingPost-Secondary Institution
TO,EUEPUBBDGSBDNewWH,PUBBDGSBDNewWH,2015,ADEMPUBBDGSBDNewWH,0.01797702705502007,PublicBuildingSchool boardNewWater HeatingSchool board
