regions,tech,life,life_notes
TO,PUBBDGHSPOldLI,200,PublicBuildingHospitalOldLightingHospital
TO,PUBBDGMUNOldLI,200,PublicBuildingMunicipalityOldLightingMunicipality
TO,PUBBDGPSIOldLI,200,PublicBuildingPost-Secondary InstitutionOldLightingPost-Secondary Institution
TO,PUBBDGSBDOldLI,200,PublicBuildingSchool boardOldLightingSchool board
TO,PUBBDGHSPOldSC,200,PublicBuildingHospitalOldSpace CoolingHospital
TO,PUBBDGMUNOldSC,200,PublicBuildingMunicipalityOldSpace CoolingMunicipality
TO,PUBBDGPSIOldSC,200,PublicBuildingPost-Secondary InstitutionOldSpace CoolingPost-Secondary Institution
TO,PUBBDGSBDOldSC,200,PublicBuildingSchool boardOldSpace CoolingSchool board
TO,PUBBDGHSPOldAM,200,PublicBuildingHospitalOldAuxiliary MotorsHospital
TO,PUBBDGMUNOldAM,200,PublicBuildingMunicipalityOldAuxiliary MotorsMunicipality
TO,PUBBDGPSIOldAM,200,PublicBuildingPost-Secondary InstitutionOldAuxiliary MotorsPost-Secondary Institution
TO,PUBBDGSBDOldAM,200,PublicBuildingSchool boardOldAuxiliary MotorsSchool board
TO,PUBBDGHSPOldAE,200,PublicBuildingHospitalOldAuxiliary EquipmentHospital
TO,PUBBDGMUNOldAE,200,PublicBuildingMunicipalityOldAuxiliary EquipmentMunicipality
TO,PUBBDGPSIOldAE,200,PublicBuildingPost-Secondary InstitutionOldAuxiliary EquipmentPost-Secondary Institution
TO,PUBBDGSBDOldAE,200,PublicBuildingSchool boardOldAuxiliary EquipmentSchool board
TO,PUBBDGHSPOldSH,200,PublicBuildingHospitalOldSpace HeatingHospital
TO,PUBBDGMUNOldSH,200,PublicBuildingMunicipalityOldSpace HeatingMunicipality
TO,PUBBDGPSIOldSH,200,PublicBuildingPost-Secondary InstitutionOldSpace HeatingPost-Secondary Institution
TO,PUBBDGSBDOldSH,200,PublicBuildingSchool boardOldSpace HeatingSchool board
TO,PUBBDGHSPOldWH,200,PublicBuildingHospitalOldWater HeatingHospital
TO,PUBBDGMUNOldWH,200,PublicBuildingMunicipalityOldWater HeatingMunicipality
TO,PUBBDGPSIOldWH,200,PublicBuildingPost-Secondary InstitutionOldWater HeatingPost-Secondary Institution
TO,PUBBDGSBDOldWH,200,PublicBuildingSchool boardOldWater HeatingSchool board
TO,PUBBDGHSPNewLI,200,PublicBuildingHospitalNewLightingHospital
TO,PUBBDGMUNNewLI,200,PublicBuildingMunicipalityNewLightingMunicipality
TO,PUBBDGPSINewLI,200,PublicBuildingPost-Secondary InstitutionNewLightingPost-Secondary Institution
TO,PUBBDGSBDNewLI,200,PublicBuildingSchool boardNewLightingSchool board
TO,PUBBDGHSPNewSC,200,PublicBuildingHospitalNewSpace CoolingHospital
TO,PUBBDGMUNNewSC,200,PublicBuildingMunicipalityNewSpace CoolingMunicipality
TO,PUBBDGPSINewSC,200,PublicBuildingPost-Secondary InstitutionNewSpace CoolingPost-Secondary Institution
TO,PUBBDGSBDNewSC,200,PublicBuildingSchool boardNewSpace CoolingSchool board
TO,PUBBDGHSPNewAM,200,PublicBuildingHospitalNewAuxiliary MotorsHospital
TO,PUBBDGMUNNewAM,200,PublicBuildingMunicipalityNewAuxiliary MotorsMunicipality
TO,PUBBDGPSINewAM,200,PublicBuildingPost-Secondary InstitutionNewAuxiliary MotorsPost-Secondary Institution
TO,PUBBDGSBDNewAM,200,PublicBuildingSchool boardNewAuxiliary MotorsSchool board
TO,PUBBDGHSPNewAE,200,PublicBuildingHospitalNewAuxiliary EquipmentHospital
TO,PUBBDGMUNNewAE,200,PublicBuildingMunicipalityNewAuxiliary EquipmentMunicipality
TO,PUBBDGPSINewAE,200,PublicBuildingPost-Secondary InstitutionNewAuxiliary EquipmentPost-Secondary Institution
TO,PUBBDGSBDNewAE,200,PublicBuildingSchool boardNewAuxiliary EquipmentSchool board
TO,PUBBDGHSPNewSH,200,PublicBuildingHospitalNewSpace HeatingHospital
TO,PUBBDGMUNNewSH,200,PublicBuildingMunicipalityNewSpace HeatingMunicipality
TO,PUBBDGPSINewSH,200,PublicBuildingPost-Secondary InstitutionNewSpace HeatingPost-Secondary Institution
TO,PUBBDGSBDNewSH,200,PublicBuildingSchool boardNewSpace HeatingSchool board
TO,PUBBDGHSPNewWH,200,PublicBuildingHospitalNewWater HeatingHospital
TO,PUBBDGMUNNewWH,200,PublicBuildingMunicipalityNewWater HeatingMunicipality
TO,PUBBDGPSINewWH,200,PublicBuildingPost-Secondary InstitutionNewWater HeatingPost-Secondary Institution
TO,PUBBDGSBDNewWH,200,PublicBuildingSchool boardNewWater HeatingSchool board
