regions,season_name,time_of_day_name,demand_name,dds,dds_notes
TO,W,D,ADEMPUBBDGHSPNewLI,0.08921458231001575,Aggregated DemandPublicBuildingHospitalNewLighting
TO,W,D,ADEMPUBBDGMUNNewLI,0.08921458231001575,Aggregated DemandPublicBuildingMunicipalityNewLighting
TO,W,D,ADEMPUBBDGPSINewLI,0.08921458231001575,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewLighting
TO,W,D,ADEMPUBBDGSBDNewLI,0.08921458231001575,Aggregated DemandPublicBuildingSchool boardNewLighting
TO,W,D,ADEMPUBBDGHSPNewSC,0.06685983007356609,Aggregated DemandPublicBuildingHospitalNewSpace Cooling
TO,W,D,ADEMPUBBDGMUNNewSC,0.06685983007356609,Aggregated DemandPublicBuildingMunicipalityNewSpace Cooling
TO,W,D,ADEMPUBBDGPSINewSC,0.06685983007356609,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Cooling
TO,W,D,ADEMPUBBDGSBDNewSC,0.06685983007356609,Aggregated DemandPublicBuildingSchool boardNewSpace Cooling
TO,W,D,ADEMPUBBDGHSPNewAM,0.06381015551650494,Aggregated DemandPublicBuildingHospitalNewAuxiliary Motors
TO,W,D,ADEMPUBBDGMUNNewAM,0.06381015551650494,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Motors
TO,W,D,ADEMPUBBDGPSINewAM,0.06381015551650494,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Motors
TO,W,D,ADEMPUBBDGSBDNewAM,0.06381015551650494,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Motors
TO,W,D,ADEMPUBBDGHSPNewAE,0.07513240569627833,Aggregated DemandPublicBuildingHospitalNewAuxiliary Equipment
TO,W,D,ADEMPUBBDGMUNNewAE,0.07513240569627833,Aggregated DemandPublicBuildingMunicipalityNewAuxiliary Equipment
TO,W,D,ADEMPUBBDGPSINewAE,0.07513240569627833,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewAuxiliary Equipment
TO,W,D,ADEMPUBBDGSBDNewAE,0.07513240569627833,Aggregated DemandPublicBuildingSchool boardNewAuxiliary Equipment
TO,W,D,ADEMPUBBDGHSPNewSH,0.12720634692263208,Aggregated DemandPublicBuildingHospitalNewSpace Heating
TO,W,D,ADEMPUBBDGMUNNewSH,0.12720634692263208,Aggregated DemandPublicBuildingMunicipalityNewSpace Heating
TO,W,D,ADEMPUBBDGPSINewSH,0.12720634692263208,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewSpace Heating
TO,W,D,ADEMPUBBDGSBDNewSH,0.12720634692263208,Aggregated DemandPublicBuildingSchool boardNewSpace Heating
TO,W,D,ADEMPUBBDGHSPNewWH,0.09715340026791322,Aggregated DemandPublicBuildingHospitalNewWater Heating
TO,W,D,ADEMPUBBDGMUNNewWH,0.09715340026791322,Aggregated DemandPublicBuildingMunicipalityNewWater Heating
TO,W,D,ADEMPUBBDGPSINewWH,0.09715340026791322,Aggregated DemandPublicBuildingPost-Secondary InstitutionNewWater Heating
TO,W,D,ADEMPUBBDGSBDNewWH,0.09715340026791322,Aggregated DemandPublicBuildingSchool boardNewWater Heating
TO,W,N,ADEMPUBBDGHSPOldLI,0.06041507038480454,Aggregated DemandPublicBuildingHospitalOldLighting
TO,W,N,ADEMPUBBDGMUNOldLI,0.06041507038480454,Aggregated DemandPublicBuildingMunicipalityOldLighting
TO,W,N,ADEMPUBBDGPSIOldLI,0.06041507038480454,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldLighting
TO,W,N,ADEMPUBBDGSBDOldLI,0.06041507038480454,Aggregated DemandPublicBuildingSchool boardOldLighting
TO,W,N,ADEMPUBBDGHSPOldSC,0.033528431302831785,Aggregated DemandPublicBuildingHospitalOldSpace Cooling
TO,W,N,ADEMPUBBDGMUNOldSC,0.033528431302831785,Aggregated DemandPublicBuildingMunicipalityOldSpace Cooling
TO,W,N,ADEMPUBBDGPSIOldSC,0.033528431302831785,Aggregated DemandPublicBuildingPost-Secondary InstitutionOldSpace Cooling
TO,W,N,ADEMPUBBDGSBDOldSC,0.033528431302831785,Aggregated DemandPublicBuildingSchool boardOldSpace Cooling
TO,W,N,ADEMPUBBDGHSPOldAM,0.10303873490152227,Aggregated DemandPublicBuildingHospitalOldAuxiliary Motors
