Electricity for EV charging (TJ)
t_periods,Sub,Sector,Tech_cat,Tech_type_1,Tech_type_2,Output_units,VFlow_In
2045,Freight,Transport,Charging Station,Commercial,120V,TJ,2221.5417128236973
2045,Freight,Transport,Charging Station,Commercial,240V,TJ,1.900698133422834
2045,Freight,Transport,Charging Station,Freight,Fast,TJ,0.441437738657703
2045,Freight,Transport,Charging Station,Freight,Slow,TJ,474.8056952540735
2045,Passenger,Transport,Charging Station,Commercial,120V,TJ,10689.632353052242
2045,Passenger,Transport,Charging Station,Commercial,240V,TJ,1.6560439766725468
2045,Passenger,Transport,Charging Station,Public,240V,TJ,1.6560439766725468
2045,Passenger,Transport,Charging Station,Residential,120V,TJ,0.3430322357706186
2045,Passenger,Transport,Charging Station,Residential,240V,TJ,1.6560439766725468
2045,Public,Transport,Charging Station,Commercial,120V,TJ,80.02778262174287
2045,Public,Transport,Charging Station,Commercial,240V,TJ,0.864899172705504
2045,Public,Transport,Charging Station,Freight,Fast,TJ,0.4222858266
2045,Public,Transport,Charging Station,Freight,Slow,TJ,11.008708489350695
2045,Public,Transport,Charging Station,Public,240V,TJ,0.864899172705504
2045,Public,Transport,Charging Station,Residential,120V,TJ,0.22003404350869118
2045,Public,Transport,Charging Station,Residential,240V,TJ,0.864899172705504
2050,Freight,Transport,Charging Station,Commercial,120V,TJ,737.9223710268078
2050,Freight,Transport,Charging Station,Commercial,240V,TJ,1.8824734283027613
2050,Freight,Transport,Charging Station,Freight,Fast,TJ,1.1106699405136582
2050,Freight,Transport,Charging Station,Freight,Slow,TJ,450.36261781746464
2050,Passenger,Transport,Charging Station,Commercial,120V,TJ,9975.273456350034
2050,Passenger,Transport,Charging Station,Commercial,240V,TJ,4.288142046473311
2050,Passenger,Transport,Charging Station,Public,240V,TJ,4.288142046473311
2050,Passenger,Transport,Charging Station,Residential,120V,TJ,0.8595313566443779
2050,Passenger,Transport,Charging Station,Residential,240V,TJ,4.288142046473311
2050,Public,Transport,Charging Station,Commercial,120V,TJ,72.44949132559697
2050,Public,Transport,Charging Station,Commercial,240V,TJ,1.790939149885444
2050,Public,Transport,Charging Station,Freight,Fast,TJ,0.8478853146904914
2050,Public,Transport,Charging Station,Freight,Slow,TJ,22.58307121776143
2050,Public,Transport,Charging Station,Public,240V,TJ,1.790939149885444
2050,Public,Transport,Charging Station,Residential,120V,TJ,0.4862310358228854
2050,Public,Transport,Charging Station,Residential,240V,TJ,1.790939149885444
