"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2016,Propane,Commercial,Space Heating,971.4056585669389
2016,Propane,Commercial,Water Heating,99.90782461828435
2016,Propane,Industry,Space Heating,21.86056287783289
2016,Propane,Industry,Water Heating,96.27296496715522
2016,Propane,Residential,Space Heating,0.2898715307218822
2016,Propane,Residential,Water Heating,10.130782116482452
2016,Synthetic Gas,Commercial,Auxiliary Equipment,0.41247497265409144
2016,Synthetic Gas,Commercial,Space Cooling,0.18397794717542287
2016,Synthetic Gas,Commercial,Space Heating,1.4661628324159903
2016,Synthetic Gas,Commercial,Water Heating,0.7542961481041831
2016,Synthetic Gas,Public,Auxiliary Equipment,0.04311778241883195
2016,Synthetic Gas,Public,Space Cooling,0.2124477971908629
2016,Synthetic Gas,Public,Space Heating,0.029310056822977174
2016,Synthetic Gas,Public,Water Heating,0.39087805973379225
2016,Synthetic Gas,Residential,Space Heating,0.76629922703551
2016,Synthetic Gas,Residential,Water Heating,0.3145278392592152
2017,Biomass,Industry,Industrial Processes,85.29556957975205
2017,Biomass,Residential,Space Heating,214.32870166259158
2017,Biomass,Residential,Water Heating,20.580567446448548
2017,Bio Methane,Commercial,Auxiliary Equipment,14.223001347551884
2017,Bio Methane,Commercial,Space Cooling,1.4336232099939432
2017,Bio Methane,Commercial,Space Heating,394.0747491794105
2017,Bio Methane,Commercial,Water Heating,84.23811702389861
2017,Bio Methane,Public,Auxiliary Equipment,1.3221547124947706
2017,Bio Methane,Public,Space Cooling,11.314243942179141
2017,Bio Methane,Public,Space Heating,18.411588050480923
2017,Bio Methane,Public,Water Heating,55.32718171929439
2017,Bio Methane,Residential,Space Heating,194.60088012496092
2017,Bio Methane,Residential,Water Heating,112.55897190279272
2017,Wood Pellet,Residential,Space Heating,0.5138588804779672
2017,Wood Pellet,Residential,Water Heating,21.312017507105924
2017,Coal,Industry,Industrial Processes,98.19764041864495
2017,District Cooling,Commercial,Space Cooling,1256.9686022452315
2017,District Cooling,Public,Space Cooling,246.53664467588158
2017,District Cooling,Residential,Space Cooling,50.15170366391559
2017,District Heating,Commercial,Space Heating,2873.3777932765765
2017,District Heating,Commercial,Water Heating,460.16482555377655
2017,District Heating,Public,Space Heating,1495.7822721868476
2017,District Heating,Public,Water Heating,305.4791825194273
2017,District Heating,Residential,Space Heating,46.047244600502154
2017,District Heating,Residential,Water Heating,997.9756801484111
2017,Electricity,Commercial,Auxiliary Equipment,17310.325934252727
2017,Electricity,Commercial,Auxiliary Motors,2280.176546468092
