regions,tech,duration,duration_notes
TO,COMBDGDCOSTGHTSLARCW_23,24,
TO,COMBDGDCOSTGHTSMEDCW_23,24,
TO,COMBDGDCOSTGHTSSMACW_23,24,
TO,COMBDGDHESTGHTSLARHW_23,24,
TO,COMBDGDHESTGHTSMEDHW_23,24,
TO,COMBDGDHESTGHTSSMAHW_23,24,
TO,COMBDGDHESTGPITLARHW_23,336,
TO,COMBDGDHESTGPITMEDHW_23,336,
TO,COMBDGDHESTGPITSMAHW_23,336,
TO,INDBDGDCOSTGHTSLARCW_23,24,
TO,INDBDGDCOSTGHTSMEDCW_23,24,
TO,INDBDGDCOSTGHTSSMACW_23,24,
TO,INDBDGDHESTGHTSLARHW_23,24,
TO,INDBDGDHESTGHTSMEDHW_23,24,
TO,INDBDGDHESTGHTSSMAHW_23,24,
TO,INDBDGDHESTGPITLARHW_23,336,
TO,INDBDGDHESTGPITMEDHW_23,336,
TO,INDBDGDHESTGPITSMAHW_23,336,
TO,PUBBDGDCOSTGHTSLARCW_23,24,
TO,PUBBDGDCOSTGHTSMEDCW_23,24,
TO,PUBBDGDCOSTGHTSSMACW_23,24,
TO,PUBBDGDHESTGHTSLARHW_23,24,
TO,PUBBDGDHESTGHTSMEDHW_23,24,
TO,PUBBDGDHESTGHTSSMAHW_23,24,
TO,PUBBDGDHESTGPITLARHW_23,336,
TO,PUBBDGDHESTGPITMEDHW_23,336,
TO,PUBBDGDHESTGPITSMAHW_23,336,
TO,RESBDGDCOSTGHTSLARCW_23,24,
TO,RESBDGDCOSTGHTSMEDCW_23,24,
TO,RESBDGDCOSTGHTSSMACW_23,24,
TO,RESBDGDHESTGHTSLARHW_23,24,
TO,RESBDGDHESTGHTSMEDHW_23,24,
TO,RESBDGDHESTGHTSSMAHW_23,24,
TO,RESBDGDHESTGPITLARHW_23,336,
TO,RESBDGDHESTGPITMEDHW_23,336,
TO,RESBDGDHESTGPITSMAHW_23,336,
