regions,periods,input_comm,tech,ti_split,ti_split_notes
TO,2039,PUBBDGELC,PUBBDGDCOPRDHEPSMAHWP_23,0.015,PublicBuildingDistrict CoolingProductionHeat PumpSmall
TO,2039,SEEPUBBDGDHEHWPP,PUBBDGDHEAVGSUB___HW_23,0.9705882352941176,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,2039,PUBBDGELC,PUBBDGDHEAVGSUB___HW_23,0.029411764705882353,PublicBuildingDistrict HeatingToronto AverageSubstation
TO,2039,SEEPUBBDGDHEHWC,PUBBDGDHECONHEPLARHWC_23,0.985,PublicBuildingDistrict HeatingConsumptionHeat PumpLarge
TO,2039,PUBBDGELC,PUBBDGDHECONHEPLARHWC_23,0.015,PublicBuildingDistrict HeatingConsumptionHeat PumpLarge
TO,2039,SEEPUBBDGDHEHWC,PUBBDGDHECONHEPMEDHWC_23,0.985,PublicBuildingDistrict HeatingConsumptionHeat PumpMedium
TO,2039,PUBBDGELC,PUBBDGDHECONHEPMEDHWC_23,0.015,PublicBuildingDistrict HeatingConsumptionHeat PumpMedium
TO,2039,SEEPUBBDGDHEHWC,PUBBDGDHECONHEPSMAHWC_23,0.985,PublicBuildingDistrict HeatingConsumptionHeat PumpSmall
TO,2039,PUBBDGELC,PUBBDGDHECONHEPSMAHWC_23,0.015,PublicBuildingDistrict HeatingConsumptionHeat PumpSmall
TO,2039,PUBBDGNGA,PUBBDGDHEPRDBOILARNGA_23,0.95,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,2039,PUBBDGBMTN,PUBBDGDHEPRDBOILARNGA_23,0.05,PublicBuildingDistrict HeatingProductionBoilerLarge
TO,2039,PUBBDGNGA,PUBBDGDHEPRDBOIMEDNGA_23,0.95,PublicBuildingDistrict HeatingProductionBoilerMedium
TO,2039,PUBBDGBMTN,PUBBDGDHEPRDBOIMEDNGA_23,0.05,PublicBuildingDistrict HeatingProductionBoilerMedium
TO,2039,PUBBDGNGA,PUBBDGDHEPRDBOISMANGA_23,0.95,PublicBuildingDistrict HeatingProductionBoilerSmall
TO,2039,PUBBDGBMTN,PUBBDGDHEPRDBOISMANGA_23,0.05,PublicBuildingDistrict HeatingProductionBoilerSmall
TO,2039,PUBBDGNGA,PUBBDGDHEPRDGTULARMNGA_23,0.95,PublicBuildingDistrict HeatingProductionGas TurbineLarge
TO,2039,PUBBDGBMTN,PUBBDGDHEPRDGTULARMNGA_23,0.05,PublicBuildingDistrict HeatingProductionGas TurbineLarge
TO,2039,PUBBDGNGA,PUBBDGDHEPRDGTUMEDMNGA_23,0.95,PublicBuildingDistrict HeatingProductionGas TurbineMedium
TO,2039,PUBBDGBMTN,PUBBDGDHEPRDGTUMEDMNGA_23,0.05,PublicBuildingDistrict HeatingProductionGas TurbineMedium
TO,2039,PUBBDGNGA,PUBBDGDHEPRDGTUSMAMNGA_23,0.95,PublicBuildingDistrict HeatingProductionGas TurbineSmall
TO,2039,PUBBDGBMTN,PUBBDGDHEPRDGTUSMAMNGA_23,0.05,PublicBuildingDistrict HeatingProductionGas TurbineSmall
TO,2039,PUBBDGNGA,PUBBDGDHEPRDICELARMNGA_23,0.95,PublicBuildingDistrict HeatingProductionInternal Combustion EngineLarge
TO,2039,PUBBDGBMTN,PUBBDGDHEPRDICELARMNGA_23,0.05,PublicBuildingDistrict HeatingProductionInternal Combustion EngineLarge
TO,2039,PUBBDGNGA,PUBBDGDHEPRDICEMEDMNGA_23,0.95,PublicBuildingDistrict HeatingProductionInternal Combustion EngineMedium
TO,2039,PUBBDGBMTN,PUBBDGDHEPRDICEMEDMNGA_23,0.05,PublicBuildingDistrict HeatingProductionInternal Combustion EngineMedium
TO,2039,PUBBDGNGA,PUBBDGDHEPRDICESMAMNGA_23,0.95,PublicBuildingDistrict HeatingProductionInternal Combustion EngineSmall
TO,2039,PUBBDGBMTN,PUBBDGDHEPRDICESMAMNGA_23,0.05,PublicBuildingDistrict HeatingProductionInternal Combustion EngineSmall
TO,2039,SEERESBDGDCOCWPP,RESBDGDCOAVGSUB___CW_23,0.9705882352941176,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,2039,RESBDGELC,RESBDGDCOAVGSUB___CW_23,0.029411764705882353,ResidentialBuildingDistrict CoolingToronto AverageSubstation
TO,2039,SEERESBDGDHEHWC,RESBDGDCOCONHEPLARHWC_23,0.9779256038647343,ResidentialBuildingDistrict CoolingConsumptionHeat PumpLarge
TO,2039,RESBDGELC,RESBDGDCOCONHEPLARHWC_23,0.0220743961352657,ResidentialBuildingDistrict CoolingConsumptionHeat PumpLarge
TO,2039,SEERESBDGDHEHWC,RESBDGDCOCONHEPMEDHWC_23,0.9779256038647343,ResidentialBuildingDistrict CoolingConsumptionHeat PumpMedium
TO,2039,RESBDGELC,RESBDGDCOCONHEPMEDHWC_23,0.0220743961352657,ResidentialBuildingDistrict CoolingConsumptionHeat PumpMedium
TO,2039,SEERESBDGDHEHWC,RESBDGDCOCONHEPSMAHWC_23,0.9779256038647343,ResidentialBuildingDistrict CoolingConsumptionHeat PumpSmall
TO,2039,RESBDGELC,RESBDGDCOCONHEPSMAHWC_23,0.0220743961352657,ResidentialBuildingDistrict CoolingConsumptionHeat PumpSmall
TO,2039,RESBDGELC,RESBDGDCOPRDDLAENWELC_23,0.9779256038647343,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2039,RESBDGETHOS,RESBDGDCOPRDDLAENWELC_23,0.0220743961352657,ResidentialBuildingDistrict CoolingProductionDeep Lake CoolingEnwave
TO,2039,SEERESBDGDHEHWP,RESBDGDCOPRDHEPLARHWP_23,0.985,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2039,RESBDGELC,RESBDGDCOPRDHEPLARHWP_23,0.015,ResidentialBuildingDistrict CoolingProductionHeat PumpLarge
TO,2039,SEERESBDGDHEHWP,RESBDGDCOPRDHEPMEDHWP_23,0.985,ResidentialBuildingDistrict CoolingProductionHeat PumpMedium
TO,2039,RESBDGELC,RESBDGDCOPRDHEPMEDHWP_23,0.015,ResidentialBuildingDistrict CoolingProductionHeat PumpMedium
TO,2039,SEERESBDGDHEHWP,RESBDGDCOPRDHEPSMAHWP_23,0.985,ResidentialBuildingDistrict CoolingProductionHeat PumpSmall
TO,2039,RESBDGELC,RESBDGDCOPRDHEPSMAHWP_23,0.015,ResidentialBuildingDistrict CoolingProductionHeat PumpSmall
TO,2039,SEERESBDGDHEHWPP,RESBDGDHEAVGSUB___HW_23,0.9705882352941176,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,2039,RESBDGELC,RESBDGDHEAVGSUB___HW_23,0.029411764705882353,ResidentialBuildingDistrict HeatingToronto AverageSubstation
TO,2039,SEERESBDGDHEHWC,RESBDGDHECONHEPLARHWC_23,0.985,ResidentialBuildingDistrict HeatingConsumptionHeat PumpLarge
TO,2039,RESBDGELC,RESBDGDHECONHEPLARHWC_23,0.015,ResidentialBuildingDistrict HeatingConsumptionHeat PumpLarge
TO,2039,SEERESBDGDHEHWC,RESBDGDHECONHEPMEDHWC_23,0.985,ResidentialBuildingDistrict HeatingConsumptionHeat PumpMedium
TO,2039,RESBDGELC,RESBDGDHECONHEPMEDHWC_23,0.015,ResidentialBuildingDistrict HeatingConsumptionHeat PumpMedium
TO,2039,SEERESBDGDHEHWC,RESBDGDHECONHEPSMAHWC_23,0.985,ResidentialBuildingDistrict HeatingConsumptionHeat PumpSmall
TO,2039,RESBDGELC,RESBDGDHECONHEPSMAHWC_23,0.015,ResidentialBuildingDistrict HeatingConsumptionHeat PumpSmall
TO,2039,RESBDGNGA,RESBDGDHEPRDBOILARNGA_23,0.95,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,2039,RESBDGBMTN,RESBDGDHEPRDBOILARNGA_23,0.05,ResidentialBuildingDistrict HeatingProductionBoilerLarge
TO,2039,RESBDGNGA,RESBDGDHEPRDBOIMEDNGA_23,0.95,ResidentialBuildingDistrict HeatingProductionBoilerMedium
TO,2039,RESBDGBMTN,RESBDGDHEPRDBOIMEDNGA_23,0.05,ResidentialBuildingDistrict HeatingProductionBoilerMedium
