"Discounted and undiscounted Cost breakdown, per subsectors, per periods. (k CAD 2016)"
vintage,sector,Cost,Cost_type,Costs
1970,Long distance transportation,Discounted,FixedCosts,0.35651110314269796
1970,Long distance transportation,Discounted,FixedSubsidies,0.0
1970,Long distance transportation,Undiscounted,FixedCosts,0.37247040255148084
1970,Long distance transportation,Undiscounted,FixedSubsidies,0.0
1970,Passenger transportation,Discounted,FixedCosts,0.3547228583978589
1970,Passenger transportation,Discounted,FixedSubsidies,0.0
1970,Passenger transportation,Undiscounted,FixedCosts,0.3706021066299814
1970,Passenger transportation,Undiscounted,FixedSubsidies,0.0
1970,Public building,Discounted,FixedCosts,0.0
1970,Public building,Discounted,FixedSubsidies,0.0
1970,Public building,Undiscounted,FixedCosts,0.0
1970,Public building,Undiscounted,FixedSubsidies,0.0
1970,Public transportation,Discounted,FixedCosts,0.0
1970,Public transportation,Discounted,FixedSubsidies,0.0
1970,Public transportation,Undiscounted,FixedCosts,0.0
1970,Public transportation,Undiscounted,FixedSubsidies,0.0
1970,Residential building,Discounted,FixedCosts,0.0
1970,Residential building,Discounted,FixedSubsidies,0.0
1970,Residential building,Undiscounted,FixedCosts,0.0
1970,Residential building,Undiscounted,FixedSubsidies,0.0
1975,Commercial building,Discounted,FixedCosts,0.0
1975,Commercial building,Discounted,FixedSubsidies,0.0
1975,Commercial building,Undiscounted,FixedCosts,0.0
1975,Commercial building,Undiscounted,FixedSubsidies,0.0
1975,Freight transportation,Discounted,FixedCosts,0.031458787264307855
1975,Freight transportation,Discounted,FixedSubsidies,0.0
1975,Freight transportation,Undiscounted,FixedCosts,0.035304233465246054
1975,Freight transportation,Undiscounted,FixedSubsidies,0.0
1975,Long distance transportation,Discounted,FixedCosts,0.7467744945438112
1975,Long distance transportation,Discounted,FixedSubsidies,0.0
1975,Long distance transportation,Undiscounted,FixedCosts,0.8380584057408318
1975,Long distance transportation,Undiscounted,FixedSubsidies,0.0
1975,Passenger transportation,Discounted,FixedCosts,0.7430287049914636
1975,Passenger transportation,Discounted,FixedSubsidies,0.0
1975,Passenger transportation,Undiscounted,FixedCosts,0.8338547399174582
1975,Passenger transportation,Undiscounted,FixedSubsidies,0.0
1975,Public building,Discounted,FixedCosts,0.0
1975,Public building,Discounted,FixedSubsidies,0.0
1975,Public building,Undiscounted,FixedCosts,0.0
1975,Public building,Undiscounted,FixedSubsidies,0.0
1975,Public transportation,Discounted,FixedCosts,0.0
1975,Public transportation,Discounted,FixedSubsidies,0.0
1975,Public transportation,Undiscounted,FixedCosts,0.0
1975,Public transportation,Undiscounted,FixedSubsidies,0.0
1975,Residential building,Discounted,FixedCosts,0.0
1975,Residential building,Discounted,FixedSubsidies,0.0
1975,Residential building,Undiscounted,FixedCosts,0.0
1975,Residential building,Undiscounted,FixedSubsidies,0.0
1980,Commercial building,Discounted,FixedCosts,0.0
1980,Commercial building,Discounted,FixedSubsidies,0.0
1980,Commercial building,Undiscounted,FixedCosts,0.0
1980,Commercial building,Undiscounted,FixedSubsidies,0.0
1980,Freight transportation,Discounted,FixedCosts,0.04564035327263758
1980,Freight transportation,Discounted,FixedSubsidies,0.0
1980,Freight transportation,Undiscounted,FixedCosts,0.05491769650149386
1980,Freight transportation,Undiscounted,FixedSubsidies,0.0
1980,Long distance transportation,Discounted,FixedCosts,1.083419124189967
1980,Long distance transportation,Discounted,FixedSubsidies,0.0
1980,Long distance transportation,Undiscounted,FixedCosts,1.303646408930183
1980,Long distance transportation,Undiscounted,FixedSubsidies,0.0
1980,Passenger transportation,Discounted,FixedCosts,1.077984739290837
1980,Passenger transportation,Discounted,FixedSubsidies,0.0
1980,Passenger transportation,Undiscounted,FixedCosts,1.2971073732049352
1980,Passenger transportation,Undiscounted,FixedSubsidies,0.0
1980,Public building,Discounted,FixedCosts,0.0
1980,Public building,Discounted,FixedSubsidies,0.0
1980,Public building,Undiscounted,FixedCosts,0.0
1980,Public building,Undiscounted,FixedSubsidies,0.0
1980,Public transportation,Discounted,FixedCosts,0.0
1980,Public transportation,Discounted,FixedSubsidies,0.0
1980,Public transportation,Undiscounted,FixedCosts,0.0
1980,Public transportation,Undiscounted,FixedSubsidies,0.0
1980,Residential building,Discounted,FixedCosts,0.0
1980,Residential building,Discounted,FixedSubsidies,0.0
1980,Residential building,Undiscounted,FixedCosts,0.0
1980,Residential building,Undiscounted,FixedSubsidies,0.0
1980,Water waste,Discounted,FixedCosts,2209537.439344984
1980,Water waste,Discounted,FixedSubsidies,0.0
1980,Water waste,Undiscounted,FixedCosts,3494233.737210473
1980,Water waste,Undiscounted,FixedSubsidies,0.0
1985,Commercial building,Discounted,FixedCosts,0.0
1985,Commercial building,Discounted,FixedSubsidies,0.0
1985,Commercial building,Undiscounted,FixedCosts,0.0
1985,Commercial building,Undiscounted,FixedSubsidies,0.0
1985,Freight transportation,Discounted,FixedCosts,0.057873496687746655
1985,Freight transportation,Discounted,FixedSubsidies,0.0
1985,Freight transportation,Undiscounted,FixedCosts,0.07453115953774167
1985,Freight transportation,Undiscounted,FixedSubsidies,0.0
1985,Long distance transportation,Discounted,FixedCosts,1.3738117389384947
1985,Long distance transportation,Discounted,FixedSubsidies,0.0
1985,Long distance transportation,Undiscounted,FixedCosts,1.769234412119534
1985,Long distance transportation,Undiscounted,FixedSubsidies,0.0
1985,Passenger transportation,Discounted,FixedCosts,1.36692075685996
1985,Passenger transportation,Discounted,FixedSubsidies,0.0
1985,Passenger transportation,Undiscounted,FixedCosts,1.7603600064924112
1985,Passenger transportation,Undiscounted,FixedSubsidies,0.0
1985,Public building,Discounted,FixedCosts,0.0
1985,Public building,Discounted,FixedSubsidies,0.0
1985,Public building,Undiscounted,FixedCosts,0.0
1985,Public building,Undiscounted,FixedSubsidies,0.0
1985,Public transportation,Discounted,FixedCosts,0.0
1985,Public transportation,Discounted,FixedSubsidies,0.0
1985,Public transportation,Undiscounted,FixedCosts,0.0
1985,Public transportation,Undiscounted,FixedSubsidies,0.0
1985,Residential building,Discounted,FixedCosts,0.0
1985,Residential building,Discounted,FixedSubsidies,0.0
1985,Residential building,Undiscounted,FixedCosts,0.0
1985,Residential building,Undiscounted,FixedSubsidies,0.0
1990,Commercial building,Discounted,FixedCosts,0.0
1990,Commercial building,Discounted,FixedSubsidies,0.0
1990,Commercial building,Undiscounted,FixedCosts,0.0
1990,Commercial building,Undiscounted,FixedSubsidies,0.0
1990,Freight transportation,Discounted,FixedCosts,0.06842591365825104
1990,Freight transportation,Discounted,FixedSubsidies,0.0
1990,Freight transportation,Undiscounted,FixedCosts,0.09414462257398948
1990,Freight transportation,Undiscounted,FixedSubsidies,0.0
1990,Long distance transportation,Discounted,FixedCosts,1.6243069593408608
1990,Long distance transportation,Discounted,FixedSubsidies,0.0
1990,Long distance transportation,Undiscounted,FixedCosts,2.234822415308885
1990,Long distance transportation,Undiscounted,FixedSubsidies,0.0
1990,Passenger transportation,Discounted,FixedCosts,7.007919212297452
1990,Passenger transportation,Discounted,FixedSubsidies,0.0
1990,Passenger transportation,Undiscounted,FixedCosts,7.856735679718958
1990,Passenger transportation,Undiscounted,FixedSubsidies,0.0
1990,Public building,Discounted,FixedCosts,0.0
1990,Public building,Discounted,FixedSubsidies,0.0
1990,Public building,Undiscounted,FixedCosts,0.0
1990,Public building,Undiscounted,FixedSubsidies,0.0
1990,Public transportation,Discounted,FixedCosts,0.0
1990,Public transportation,Discounted,FixedSubsidies,0.0
1990,Public transportation,Undiscounted,FixedCosts,0.0
1990,Public transportation,Undiscounted,FixedSubsidies,0.0
1990,Residential building,Discounted,FixedCosts,22.977919299259085
1990,Residential building,Discounted,FixedSubsidies,0.0
1990,Residential building,Undiscounted,FixedCosts,22.97791929925909
1990,Residential building,Undiscounted,FixedSubsidies,0.0
1995,Commercial building,Discounted,FixedCosts,2392.6423724553088
1995,Commercial building,Discounted,FixedSubsidies,0.0
1995,Commercial building,Undiscounted,FixedCosts,2424.998608190991
1995,Commercial building,Undiscounted,FixedSubsidies,0.0
1995,Freight transportation,Discounted,FixedCosts,129.51701049630148
1995,Freight transportation,Discounted,FixedSubsidies,0.0
1995,Freight transportation,Undiscounted,FixedCosts,135.34762747231244
1995,Freight transportation,Undiscounted,FixedSubsidies,0.0
1995,Long distance transportation,Discounted,FixedCosts,1395.664024282172
1995,Long distance transportation,Discounted,FixedSubsidies,0.0
1995,Long distance transportation,Undiscounted,FixedCosts,1458.9188758036935
1995,Long distance transportation,Undiscounted,FixedSubsidies,0.0
1995,Passenger transportation,Discounted,FixedCosts,13.125133247730663
1995,Passenger transportation,Discounted,FixedSubsidies,0.0
1995,Passenger transportation,Undiscounted,FixedCosts,15.361392112930274
1995,Passenger transportation,Undiscounted,FixedSubsidies,0.0
1995,Public building,Discounted,FixedCosts,584.5447863542295
1995,Public building,Discounted,FixedSubsidies,0.0
1995,Public building,Undiscounted,FixedCosts,592.0674310650633
1995,Public building,Undiscounted,FixedSubsidies,0.0
1995,Public transportation,Discounted,FixedCosts,0.0
