Marginal cost of local energy production (k$/TJ)
Period,Subsector,Energy,Marginal_Costs
2016,Commercial building,Bio Methane,2.3519522074294184
2016,Commercial building,District Cooling,12.26301034560722
2016,Commercial building,District Heating,7.975689954508103
2016,Commercial building,Electricity,41.015804583068494
2016,Industrial building,Bio Methane,-82974592.28640445
2016,Industrial building,Electricity,41.01556610856352
2016,Passenger transportation,Bio Methane,-123.22175202536806
2016,Passenger transportation,Electricity,41.015084081745904
2016,Public building,Bio Methane,2.3441736830792137
2016,Public building,District Cooling,40.26513006399336
2016,Public building,District Heating,4.992297405208074
2016,Public building,Electricity,41.015631651035086
2016,Residential building,Bio Methane,2.348951676629037
2016,Residential building,District Cooling,10.210007182418218
2016,Residential building,District Heating,43.8062674085357
2016,Residential building,Electricity,41.01576852952269
2016,Solid waste,Bio Methane,1.608851747374702
2016,Water waste,Bio Methane,1.355977022778068
2016,Water waste,Electricity,41.015078440904745
2017,Commercial building,Bio Methane,2.6625489484307154
2017,Commercial building,District Cooling,11.588436719462415
2017,Commercial building,District Heating,6.44384546978195
2017,Commercial building,Electricity,40.66842857866348
2017,Industrial building,Bio Methane,-84596479.96801487
2017,Industrial building,Electricity,40.66819004467006
2017,Passenger transportation,Bio Methane,-18.675939522718355
2017,Passenger transportation,Electricity,40.667709231037314
2017,Public building,Bio Methane,2.6562294861726508
2017,Public building,District Cooling,39.92228011239666
2017,Public building,District Heating,5.174444929396092
2017,Public building,Electricity,40.66825652408704
2017,Residential building,Bio Methane,2.6604624171914044
2017,Residential building,District Cooling,3.7500368301746927
2017,Residential building,District Heating,41.08681089325876
2017,Residential building,Electricity,40.66839126888328
2017,Solid waste,Bio Methane,1.9380962324436974
2017,Water waste,Bio Methane,1.6952604768394477
2017,Water waste,Electricity,40.66770778404945
2018,Commercial building,Bio Methane,3.6233499078277567
2018,Commercial building,District Cooling,11.720672881564141
2018,Commercial building,District Heating,7.118913125055009
2018,Commercial building,Electricity,40.30649268387624
2018,Industrial building,Bio Methane,-84823665.3158836
2018,Industrial building,Electricity,40.30625427907607
2018,Passenger transportation,Bio Methane,-7.14521270665279
2018,Passenger transportation,Electricity,40.305775192318926
2018,Public building,Bio Methane,3.6199293881948242
2018,Public building,District Cooling,39.588491634938556
2018,Public building,District Heating,5.248869677022072
2018,Public building,Electricity,40.306322951610255
2018,Residential building,Bio Methane,3.619581861512851
2018,Residential building,District Cooling,2.0445033578369207
2018,Residential building,District Heating,40.32799186152915
2018,Residential building,Electricity,40.306456670626964
2018,Solid waste,Bio Methane,2.691600567423662
2018,Water waste,Bio Methane,2.6837619760398277
2018,Water waste,Electricity,40.30577724358116
2019,Commercial building,Bio Methane,2.840493044418242
2019,Commercial building,District Cooling,11.35043830879549
2019,Commercial building,District Heating,6.1833021201583245
2019,Commercial building,Electricity,39.93113988828941
2019,Industrial building,Bio Methane,-85147197.72949061
2019,Industrial building,Electricity,39.93090164169497
2019,Passenger transportation,Bio Methane,-4.728722881971418
2019,Passenger transportation,Electricity,39.93042398273532
2019,Public building,Bio Methane,2.8372469409747345
2019,Public building,District Cooling,39.19767425743645
2019,Public building,District Heating,4.391466271329165
2019,Public building,Electricity,39.93097102595756
2019,Residential building,Bio Methane,2.8372659659709307
2019,Residential building,District Cooling,-2.8994963509345975
2019,Residential building,District Heating,39.10792891867842
2019,Residential building,Electricity,39.93110334626184
2019,Solid waste,Bio Methane,1.932515347008593
2019,Water waste,Bio Methane,1.928243749135555
2019,Water waste,Electricity,39.93042996462567
2020,Commercial building,Bio Methane,2.230236989281979
2020,Commercial building,District Cooling,11.460717358489857
2020,Commercial building,District Heating,5.755520059434628
2020,Commercial building,Electricity,41.094183735842705
2020,Industrial building,Bio Methane,-85155123.51238048
2020,Industrial building,Electricity,41.09394555450321
2020,Passenger transportation,Bio Methane,1.1025989718324394
2020,Passenger transportation,Electricity,41.09349840536757
2020,Public building,Bio Methane,2.2273639465488784
2020,Public building,District Cooling,40.65183543666874
2020,Public building,District Heating,3.713140316342223
2020,Public building,Electricity,41.09401606860747
2020,Residential building,Bio Methane,2.226932005371482
2020,Residential building,District Cooling,-2.821900531384567
2020,Residential building,District Heating,40.20057959004323
2020,Residential building,Electricity,41.09414264575773
2020,Solid waste,Bio Methane,1.3490632084636243
2020,Water waste,Bio Methane,1.3446689290646874
2020,Water waste,Electricity,41.09347900556959
2021,Commercial building,Bio Methane,3.1781106207421437
2021,Commercial building,District Cooling,11.672915266866594
2021,Commercial building,District Heating,6.622596754294085
2021,Commercial building,Electricity,40.65004430894083
2021,Industrial building,Bio Methane,-84481943.1882096
2021,Industrial building,Electricity,40.64980622579439
2021,Passenger transportation,Bio Methane,2.4480744660789147
2021,Passenger transportation,Electricity,40.64936121826955
2021,Public building,Bio Methane,3.175396048756957
2021,Public building,District Cooling,40.25245368620742
2021,Public building,District Heating,4.781780191987478
2021,Public building,Electricity,40.64987750808847
2021,Residential building,Bio Methane,3.175091698378646
2021,Residential building,District Cooling,-6.080762941034043
2021,Residential building,District Heating,40.33503464866623
2021,Residential building,Electricity,40.65000370757387
2021,Solid waste,Bio Methane,2.3216727866101876
2021,Water waste,Bio Methane,2.3183594040197226
2021,Water waste,Electricity,40.64934462252233
2022,Commercial building,Bio Methane,3.2041705339351
