Marginal abatement cost of GHG emission  per period (k$/tCO2e)
Period,Marginal_Costs
2025,-0.35744663530470605
2030,-0.8204510816947539
2035,-2.0962695599854655
2040,-2.092671498361342
2045,-1.8970277439986751
2050,-0.12994941710136412
