"Discounted and undiscounted Energy Cost breakdown, per periods. (k CAD 2016)"
vintage,sector,Cost,Cost_type,Tech_cat,Tech_type_1,Tech_type_2,Costs
2015,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Pipe,___,327527.3518511579
2015,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Substation,___,22340.616816811067
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Boiler,Large,30592.698628073736
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Deep Lake Cooling,Enwave,21595.722043843216
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Large,2530.410723108979
2015,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Medium,3767.5476435486325
2015,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Medium,284.8369505673895
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Pipe,___,480582.93823721644
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Substation,___,32746.97613555844
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Boiler,Large,41912.263300238366
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Deep Lake Cooling,Enwave,27811.594202898545
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Large,3481.4962599413475
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Medium,4875.856363636362
2015,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Medium,388.5043988269797
2023,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Pipe,___,1144.4991822431032
2023,Distric Thermal Energy,Discounted,FixedCosts,Toronto Average,Substation,___,128.47163369205595
2023,Distric Thermal Energy,Discounted,FixedCosts,Consumption,Heat Pump,Large,79.96467653715261
2023,Distric Thermal Energy,Discounted,FixedCosts,Consumption,Heat Pump,Medium,77.62541566528391
2023,Distric Thermal Energy,Discounted,FixedCosts,Consumption,Heat Pump,Small,233.55163929226754
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Alkaline Electrolyser,___,366.112087052433
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Autothermal Reforming Gas,Carbon Capture and Storage,1015.6215354174308
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Boiler,Large,135.4359768586865
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Boiler,Medium,198.1948027104304
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Boiler,Small,157.73090058342888
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Deep Lake Cooling,Enwave,129.89215375156533
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Enwave,114.68366175909375
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Large,140.809669943949
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Medium,139.5474630526534
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Heat Pump,Small,80.63576721333018
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Steam Methane Reforming,Carbon Capture and Storage,1055.9796159475525
2023,Distric Thermal Energy,Discounted,FixedCosts,Production,Steam Methane Reforming,___,1114.777582278593
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Large,42.08057268860604
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Medium,39.28348660757264
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Hot Tank Storage,Small,37.427543875837834
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Large,66.41461196883469
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Medium,58.46132013869913
2023,Distric Thermal Energy,Discounted,FixedCosts,Storage,Pit Storage,Small,47.28750121491396
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Toronto Average,Pipe,___,6450.510777429365
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Toronto Average,Substation,___,1061.8274125245762
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Consumption,Heat Pump,Large,989.2361572693397
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Consumption,Heat Pump,Medium,1106.9216575737146
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Consumption,Heat Pump,Small,4632.172424250195
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Alkaline Electrolyser,___,1365.0760313411583
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Autothermal Reforming Gas,Carbon Capture and Storage,1615.1183526988402
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Boiler,Large,1119.2396249296448
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Boiler,Medium,1184.0429447128267
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Boiler,Small,1388.4603340073331
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Deep Lake Cooling,Enwave,819.8173169676619
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Gas Turbine,Large,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Gas Turbine,Medium,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Gas Turbine,Small,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Heat Pump,Enwave,713.4512851942113
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Heat Pump,Large,972.5829744222406
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Heat Pump,Medium,1080.2704256838763
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Heat Pump,Small,688.6295531046449
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Internal Combustion Engine,Large,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Internal Combustion Engine,Medium,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Internal Combustion Engine,Small,0.0
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Steam Methane Reforming,Carbon Capture and Storage,1529.7205697016975
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Production,Steam Methane Reforming,___,1337.8103764669174
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Hot Tank Storage,Large,1243.832596749728
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Hot Tank Storage,Medium,1203.7665320521305
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Hot Tank Storage,Small,1166.787795377663
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Pit Storage,Large,336.1755022895659
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Pit Storage,Medium,371.97259072904524
2023,Distric Thermal Energy,Discounted,InvestmentCosts,Storage,Pit Storage,Small,444.75502053454136
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Pipe,___,2039.2427974665043
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Toronto Average,Substation,___,228.6586817964389
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Consumption,Heat Pump,Large,137.0832076905475
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Consumption,Heat Pump,Medium,133.07301971971566
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Consumption,Heat Pump,Small,400.37688216864984
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Alkaline Electrolyser,___,601.6913868810512
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Autothermal Reforming Gas,Carbon Capture and Storage,1809.6115167096252
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Boiler,Large,227.27056005516152
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Boiler,Medium,335.55804498361704
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Boiler,Small,266.5690859232255
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Deep Lake Cooling,Enwave,208.5004692569258
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Enwave,182.03537770749224
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Large,231.71116198460805
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Medium,229.60492865204012
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Heat Pump,Small,128.73836086176433
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Steam Methane Reforming,Carbon Capture and Storage,1881.5206332188432
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Production,Steam Methane Reforming,___,1883.461192960905
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Large,71.53890836230765
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Medium,66.78373341938881
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Hot Tank Storage,Small,63.628545442414875
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Pit Storage,Large,105.6251815341853
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Pit Storage,Medium,92.97634013544871
2023,Distric Thermal Energy,Undiscounted,FixedCosts,Storage,Pit Storage,Small,75.20560238260671
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Toronto Average,Pipe,___,6972.250535419236
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Toronto Average,Substation,___,1147.7117085676193
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Consumption,Heat Pump,Large,1069.2490199862705
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Consumption,Heat Pump,Medium,1196.4533330740555
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Consumption,Heat Pump,Small,5006.838648830753
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Alkaline Electrolyser,___,1475.4881309103555
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Autothermal Reforming Gas,Carbon Capture and Storage,1745.7547453098937
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Boiler,Large,1209.76762049346
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Boiler,Medium,1279.8124582815296
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Boiler,Small,1500.7638373482287
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Deep Lake Cooling,Enwave,886.1269943419351
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Gas Turbine,Large,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Gas Turbine,Medium,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Gas Turbine,Small,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Heat Pump,Enwave,771.157707789033
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Heat Pump,Large,1051.2488697612064
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Heat Pump,Medium,1167.6464568087374
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Heat Pump,Small,744.3283076340764
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Internal Combustion Engine,Large,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Internal Combustion Engine,Medium,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Internal Combustion Engine,Small,0.0
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Steam Methane Reforming,Carbon Capture and Storage,1653.4496924590674
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Production,Steam Methane Reforming,___,1446.0171349916045
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Hot Tank Storage,Large,1344.438105429575
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Hot Tank Storage,Medium,1301.1313579984374
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Hot Tank Storage,Small,1261.1616524241401
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Pit Storage,Large,363.3665467290855
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Pit Storage,Medium,402.0590282472814
2023,Distric Thermal Energy,Undiscounted,InvestmentCosts,Storage,Pit Storage,Small,480.72835424175923
2023,Electricity Energy,Discounted,FixedCosts,Production,PV pannel,Decentralized,171111.63038112075
2023,Electricity Energy,Discounted,FixedCosts,Production,Wind Turbine,Decentralized,432203.8033662156
2023,Electricity Energy,Discounted,FixedCosts,Storage,Battery,Decentralized,22612.939146605746
2023,Electricity Energy,Discounted,InvestmentCosts,Production,PV pannel,Decentralized,1343906.0676530371
2023,Electricity Energy,Discounted,InvestmentCosts,Production,Wind Turbine,Decentralized,669754.6094629394
2023,Electricity Energy,Discounted,InvestmentCosts,Storage,Battery,Decentralized,102723.40455722973
2023,Electricity Energy,Undiscounted,FixedCosts,Production,PV pannel,Decentralized,287405.598198229
2023,Electricity Energy,Undiscounted,FixedCosts,Production,Wind Turbine,Decentralized,770090.9766705041
2023,Electricity Energy,Undiscounted,FixedCosts,Storage,Battery,Decentralized,34870.77882758363
2023,Electricity Energy,Undiscounted,InvestmentCosts,Production,PV pannel,Decentralized,1452605.866892477
2023,Electricity Energy,Undiscounted,InvestmentCosts,Production,Wind Turbine,Decentralized,723926.6928701161
2023,Electricity Energy,Undiscounted,InvestmentCosts,Storage,Battery,Decentralized,111032.03097191859
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Commercial,240V,121.38534555833252
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Freight,Fast,121.04324644390846
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Freight,Slow,187.66050987669234
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Public,240V,83.76827344514375
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Residential,120V,24.268808549646778
2023,Charging Station Energy,Discounted,FixedCosts,Charging Station,Residential,240V,16711.072109675406
2023,Charging Station Energy,Discounted,InvestmentCosts,Charging Station,Commercial,240V,252.53825903818634
2023,Charging Station Energy,Discounted,InvestmentCosts,Charging Station,Freight,Fast,64.88708756026742
2023,Charging Station Energy,Discounted,InvestmentCosts,Charging Station,Freight,Slow,89.44309257236316
