regions,periods,tech,vintage,cost_fixed,cost_fixed_units,cost_fixed_notes
TO,2023,FRETRAROATRULGTCONVDSL____23,2023,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2024,FRETRAROATRULGTCONVDSL____23,2023,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2024,FRETRAROATRULGTCONVDSL____23,2024,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2025,FRETRAROATRULGTCONVDSL____23,2023,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2025,FRETRAROATRULGTCONVDSL____23,2024,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2025,FRETRAROATRULGTCONVDSL____23,2025,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2026,FRETRAROATRULGTCONVDSL____23,2023,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2026,FRETRAROATRULGTCONVDSL____23,2024,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2026,FRETRAROATRULGTCONVDSL____23,2025,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2026,FRETRAROATRULGTCONVDSL____23,2026,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2027,FRETRAROATRULGTCONVDSL____23,2023,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2027,FRETRAROATRULGTCONVDSL____23,2024,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2027,FRETRAROATRULGTCONVDSL____23,2025,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2027,FRETRAROATRULGTCONVDSL____23,2026,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2027,FRETRAROATRULGTCONVDSL____23,2027,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2028,FRETRAROATRULGTCONVDSL____23,2023,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2028,FRETRAROATRULGTCONVDSL____23,2024,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
TO,2028,FRETRAROATRULGTCONVDSL____23,2025,800.0,k$/kunits,Freight TransportationTransportationRoadTruckPassenger Light TrucksConventionnalDiesel2023
