regions,tech,c2a,c2a_notes
TO,RESBDGSDEOldRAG______STDELC_EX,1.706387646,ResidentialBuildingSingle DetachedOldUnitRangeStandard EfficiencyElectricity
TO,RESBDGSATOldRAG______STDELC_EX,1.706387646,ResidentialBuildingSingle AttachedOldUnitRangeStandard EfficiencyElectricity
TO,RESBDGAPAOldAPLOTH___STDELC_EX,0.338431357,ResidentialBuildingApartmentsOldUnitAppliancesOtherStandard EfficiencyElectricity
TO,RESBDGSDEOldAPLOTH___STDELC_EX,0.338431357,ResidentialBuildingSingle DetachedOldUnitAppliancesOtherStandard EfficiencyElectricity
TO,RESBDGSATOldAPLOTH___STDELC_EX,0.338431357,ResidentialBuildingSingle AttachedOldUnitAppliancesOtherStandard EfficiencyElectricity
TO,RESBDGAPAOldCDY______STDNGA_EX,2.822176491,ResidentialBuildingApartmentsOldUnitClothe DryerStandard EfficiencyNatural Gas
TO,RESBDGSDEOldCDY______STDNGA_EX,2.822176491,ResidentialBuildingSingle DetachedOldUnitClothe DryerStandard EfficiencyNatural Gas
TO,RESBDGSATOldCDY______STDNGA_EX,2.822176491,ResidentialBuildingSingle AttachedOldUnitClothe DryerStandard EfficiencyNatural Gas
TO,RESBDGAPAOldRAG______STDNGA_EX,1.706387646,ResidentialBuildingApartmentsOldUnitRangeStandard EfficiencyNatural Gas
TO,RESBDGSDEOldRAG______STDNGA_EX,1.706387646,ResidentialBuildingSingle DetachedOldUnitRangeStandard EfficiencyNatural Gas
TO,RESBDGSATOldRAG______STDNGA_EX,1.706387646,ResidentialBuildingSingle AttachedOldUnitRangeStandard EfficiencyNatural Gas
TO,RESBDGAPAOldWH______STDELC_EX,31.536,ResidentialBuildingApartmentsOldUnitWater HeatingStandard EfficiencyElectricity
TO,RESBDGSDEOldWH______STDELC_EX,31.536,ResidentialBuildingSingle DetachedOldUnitWater HeatingStandard EfficiencyElectricity
TO,RESBDGSATOldWH______STDELC_EX,31.536,ResidentialBuildingSingle AttachedOldUnitWater HeatingStandard EfficiencyElectricity
TO,RESBDGAPAOldWH______STDNGA_EX,31.536,ResidentialBuildingApartmentsOldUnitWater HeatingStandard EfficiencyNatural Gas
TO,RESBDGSDEOldWH______STDNGA_EX,31.536,ResidentialBuildingSingle DetachedOldUnitWater HeatingStandard EfficiencyNatural Gas
TO,RESBDGSATOldWH______STDNGA_EX,31.536,ResidentialBuildingSingle AttachedOldUnitWater HeatingStandard EfficiencyNatural Gas
TO,RESBDGAPAOldWH______STDLFO_EX,31.536,ResidentialBuildingApartmentsOldUnitWater HeatingStandard EfficiencyLight Fuel Oil
TO,RESBDGSDEOldWH______STDLFO_EX,31.536,ResidentialBuildingSingle DetachedOldUnitWater HeatingStandard EfficiencyLight Fuel Oil
TO,RESBDGSATOldWH______STDLFO_EX,31.536,ResidentialBuildingSingle AttachedOldUnitWater HeatingStandard EfficiencyLight Fuel Oil
TO,RESBDGAPAOldLILED___HIGELC_EX,1.0,ResidentialBuildingApartmentsOldFloorLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,RESBDGSDEOldLILED___HIGELC_EX,1.0,ResidentialBuildingSingle DetachedOldFloorLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,RESBDGSATOldLILED___HIGELC_EX,1.0,ResidentialBuildingSingle AttachedOldFloorLightingLight Emitting DiodeHigh EfficiencyElectricity
TO,RESBDGAPAOldLILED___STDELC_EX,1.0,ResidentialBuildingApartmentsOldFloorLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,RESBDGSDEOldLILED___STDELC_EX,1.0,ResidentialBuildingSingle DetachedOldFloorLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,RESBDGSATOldLILED___STDELC_EX,1.0,ResidentialBuildingSingle AttachedOldFloorLightingLight Emitting DiodeStandard EfficiencyElectricity
TO,RESBDGAPAOldLIFLU___STDELC_EX,1.0,ResidentialBuildingApartmentsOldFloorLightingFluorescenteStandard EfficiencyElectricity
TO,RESBDGSDEOldLIFLU___STDELC_EX,1.0,ResidentialBuildingSingle DetachedOldFloorLightingFluorescenteStandard EfficiencyElectricity
TO,RESBDGSATOldLIFLU___STDELC_EX,1.0,ResidentialBuildingSingle AttachedOldFloorLightingFluorescenteStandard EfficiencyElectricity
TO,RESBDGAPAOldLIFLC___STDELC_EX,1.0,ResidentialBuildingApartmentsOldFloorLightingFluocompactStandard EfficiencyElectricity
TO,RESBDGSDEOldLIFLC___STDELC_EX,1.0,ResidentialBuildingSingle DetachedOldFloorLightingFluocompactStandard EfficiencyElectricity
TO,RESBDGSATOldLIFLC___STDELC_EX,1.0,ResidentialBuildingSingle AttachedOldFloorLightingFluocompactStandard EfficiencyElectricity
TO,RESBDGAPAOldLIINC___STDELC_EX,1.0,ResidentialBuildingApartmentsOldFloorLightingIncandescentStandard EfficiencyElectricity
TO,RESBDGSDEOldLIINC___STDELC_EX,1.0,ResidentialBuildingSingle DetachedOldFloorLightingIncandescentStandard EfficiencyElectricity
TO,RESBDGSATOldLIINC___STDELC_EX,1.0,ResidentialBuildingSingle AttachedOldFloorLightingIncandescentStandard EfficiencyElectricity
TO,RESBDGAPAOldLIHAL___STDELC_EX,1.0,ResidentialBuildingApartmentsOldFloorLightingHalogenStandard EfficiencyElectricity
TO,RESBDGSDEOldLIHAL___STDELC_EX,1.0,ResidentialBuildingSingle DetachedOldFloorLightingHalogenStandard EfficiencyElectricity
TO,RESBDGSATOldLIHAL___STDELC_EX,1.0,ResidentialBuildingSingle AttachedOldFloorLightingHalogenStandard EfficiencyElectricity
