regions,season_name,time_of_day_name,tech,cf_tech,cf_tech_notes
TO,W,D,RESBDGSATOldCWA______STDELC_EX,1.0,ResidentialBuildingSingle AttachedOldUnitClothe WasherStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldCDY______STDELC_EX,1.0,ResidentialBuildingApartmentsOldUnitClothe DryerStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldCDY______STDELC_EX,1.0,ResidentialBuildingSingle DetachedOldUnitClothe DryerStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldCDY______STDELC_EX,1.0,ResidentialBuildingSingle AttachedOldUnitClothe DryerStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldRAG______STDELC_EX,0.7553305026573585,ResidentialBuildingApartmentsOldUnitRangeStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldRAG______STDELC_EX,0.7553305026573585,ResidentialBuildingSingle DetachedOldUnitRangeStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldRAG______STDELC_EX,0.7553305026573585,ResidentialBuildingSingle AttachedOldUnitRangeStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldAPLOTH___STDELC_EX,0.6693809608299581,ResidentialBuildingApartmentsOldUnitAppliancesOtherStandard EfficiencyElectricity
TO,W,D,RESBDGSDEOldAPLOTH___STDELC_EX,0.6693809608299581,ResidentialBuildingSingle DetachedOldUnitAppliancesOtherStandard EfficiencyElectricity
TO,W,D,RESBDGSATOldAPLOTH___STDELC_EX,0.6693809608299581,ResidentialBuildingSingle AttachedOldUnitAppliancesOtherStandard EfficiencyElectricity
TO,W,D,RESBDGAPAOldCDY______STDNGA_EX,1.0,ResidentialBuildingApartmentsOldUnitClothe DryerStandard EfficiencyNatural Gas
TO,W,D,RESBDGSDEOldCDY______STDNGA_EX,1.0,ResidentialBuildingSingle DetachedOldUnitClothe DryerStandard EfficiencyNatural Gas
TO,W,D,RESBDGSATOldCDY______STDNGA_EX,1.0,ResidentialBuildingSingle AttachedOldUnitClothe DryerStandard EfficiencyNatural Gas
TO,W,D,RESBDGAPAOldRAG______STDNGA_EX,0.7553305026573585,ResidentialBuildingApartmentsOldUnitRangeStandard EfficiencyNatural Gas
TO,W,D,RESBDGSDEOldRAG______STDNGA_EX,0.7553305026573585,ResidentialBuildingSingle DetachedOldUnitRangeStandard EfficiencyNatural Gas
